"plh0206i06","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","294","0.0311787788114551","0.0281408331236549","0.0342167244992553"
"1 Strongly disagree","2005","no migration background","East Germany","131","0.0330102278101622","0.0280087696666825","0.038011685953642"
"1 Strongly disagree","2005","direct migration background","West Germany","54","0.0277494445639821","0.0209640268095204","0.0345348623184438"
"1 Strongly disagree","2005","direct migration background","East Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","375","0.0291950053144908","0.0262522854996091","0.0321377251293726"
"2 on scale 1-7 ","2005","no migration background","East Germany","170","0.0371453297469525","0.0318512080875921","0.0424394514063128"
"2 on scale 1-7 ","2005","direct migration background","West Germany","67","0.0302928254180272","0.0232125436885974","0.037373107147457"
"2 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","716","0.0574274665815424","0.0533607317801792","0.0614942013829056"
"3 on scale 1-7 ","2005","no migration background","East Germany","268","0.0579845994420302","0.0514420536692243","0.0645271452148362"
"3 on scale 1-7 ","2005","direct migration background","West Germany","123","0.0458608908039681","0.037219424608144","0.0545023569997923"
"3 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","37","0.0543352397262081","0.0385683062104418","0.0701021732419745"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2005","no migration background","West Germany","2010","0.160715010628573","0.154295357215562","0.167134664041584"
"4 on scale 1-7","2005","no migration background","East Germany","822","0.17087898465159","0.160342039326823","0.181415929976357"
"4 on scale 1-7","2005","direct migration background","West Germany","352","0.176917804833746","0.161153757938443","0.192681851729049"
"4 on scale 1-7","2005","direct migration background","East Germany","","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","152","0.191789782954971","0.164404783173806","0.219174782736136"
"4 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2005","no migration background","West Germany","2893","0.224813774613347","0.217516795293235","0.23211075393346"
"5 on scale 1-7","2005","no migration background","East Germany","1077","0.214628674140202","0.203135424777991","0.226121923502414"
"5 on scale 1-7","2005","direct migration background","West Germany","456","0.197196779015807","0.18076007233254","0.213633485699074"
"5 on scale 1-7","2005","direct migration background","East Germany","","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","173","0.221964990441289","0.193059546100359","0.25087043478222"
"5 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2005","no migration background","West Germany","3436","0.266926316593033","0.259194204444236","0.274658428741829"
"6 on scale 1-7","2005","no migration background","East Germany","1254","0.234020467261172","0.222168322663819","0.245872611858525"
"6 on scale 1-7","2005","direct migration background","West Germany","537","0.223097237998109","0.205898729986141","0.240295746010077"
"6 on scale 1-7","2005","direct migration background","East Germany","31","0.207465550114348","0.128385037703243","0.286546062525452"
"6 on scale 1-7","2005","indirect migration background","West Germany","182","0.237994526461807","0.208373481881046","0.267615571042568"
"6 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"7 Strongly agree","2005","no migration background","West Germany","2849","0.229743647457559","0.222390588749038","0.23709670616608"
"7 Strongly agree","2005","no migration background","East Germany","1180","0.252331716947891","0.240172605536217","0.264490828359565"
"7 Strongly agree","2005","direct migration background","West Germany","662","0.29888501736636","0.279974341967367","0.317795692765353"
"7 Strongly agree","2005","direct migration background","East Germany","30","0.418775963051486","0.322559351036752","0.51499257506622"
"7 Strongly agree","2005","indirect migration background","West Germany","213","0.257250644994959","0.226846190376391","0.287655099613527"
"7 Strongly agree","2005","indirect migration background","East Germany","","","",""
"1 Strongly disagree","2006","no migration background","West Germany","","","",""
"1 Strongly disagree","2006","no migration background","East Germany","","","",""
"1 Strongly disagree","2006","direct migration background","West Germany","","","",""
"1 Strongly disagree","2006","direct migration background","East Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2006","no migration background","West Germany","","","",""
"4 on scale 1-7","2006","no migration background","East Germany","","","",""
"4 on scale 1-7","2006","direct migration background","West Germany","","","",""
"4 on scale 1-7","2006","direct migration background","East Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2006","no migration background","West Germany","","","",""
"5 on scale 1-7","2006","no migration background","East Germany","","","",""
"5 on scale 1-7","2006","direct migration background","West Germany","","","",""
"5 on scale 1-7","2006","direct migration background","East Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2006","no migration background","West Germany","","","",""
