"plh0206i06","year","age_gr","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","127","0.0267524163152293","0.0224131906955689","0.0310916419348897"
"1 Strongly disagree","2005","35-65 y.","252","0.0283782343256524","0.0253542546661771","0.0314022139851277"
"1 Strongly disagree","2005","66 and older","123","0.0413614358424839","0.0349975603301323","0.0477253113548355"
"2 on scale 1-7 ","2005","16-34 y.","189","0.0325274013856284","0.0277569104056164","0.0372978923656403"
"2 on scale 1-7 ","2005","35-65 y.","350","0.0308634793568824","0.0277139005116188","0.034013058202146"
"2 on scale 1-7 ","2005","66 and older","97","0.0259531881425303","0.0208718078786512","0.0310345684064094"
"3 on scale 1-7 ","2005","16-34 y.","346","0.0658557521698107","0.0591857974292981","0.0725257069103233"
"3 on scale 1-7 ","2005","35-65 y.","612","0.0514245388657014","0.0474023847376523","0.0554466929937505"
"3 on scale 1-7 ","2005","66 and older","196","0.0561073839940586","0.0487526371472961","0.0634621308408211"
"4 on scale 1-7","2005","16-34 y.","937","0.181047473661792","0.170692603544261","0.191402343779322"
"4 on scale 1-7","2005","35-65 y.","1786","0.156320713789344","0.149707165623026","0.162934261955663"
"4 on scale 1-7","2005","66 and older","631","0.168789852670502","0.156819002101939","0.180760703239065"
"5 on scale 1-7","2005","16-34 y.","1276","0.23421710007308","0.222828215543439","0.24560598460272"
"5 on scale 1-7","2005","35-65 y.","2585","0.218855783281483","0.211326005016123","0.226385561546842"
"5 on scale 1-7","2005","66 and older","760","0.201246042236186","0.188432576558604","0.214059507913767"
"6 on scale 1-7","2005","16-34 y.","1358","0.2572593602742","0.245504343743298","0.269014376805103"
"6 on scale 1-7","2005","35-65 y.","3144","0.260622542246043","0.252628311970486","0.2686167725216"
"6 on scale 1-7","2005","66 and older","947","0.234540322047303","0.220998835517749","0.248081808576856"
"7 Strongly agree","2005","16-34 y.","1079","0.20234049612026","0.191536877738485","0.213144114502035"
"7 Strongly agree","2005","35-65 y.","2854","0.253534708134894","0.245612229381548","0.26145718688824"
"7 Strongly agree","2005","66 and older","1007","0.272001775066937","0.257780208003229","0.286223342130645"
"1 Strongly disagree","2006","16-34 y.","","","",""
"1 Strongly disagree","2006","35-65 y.","","","",""
"1 Strongly disagree","2006","66 and older","","","",""
"2 on scale 1-7 ","2006","16-34 y.","","","",""
"2 on scale 1-7 ","2006","35-65 y.","","","",""
"2 on scale 1-7 ","2006","66 and older","","","",""
"3 on scale 1-7 ","2006","16-34 y.","","","",""
"3 on scale 1-7 ","2006","35-65 y.","","","",""
"3 on scale 1-7 ","2006","66 and older","","","",""
"4 on scale 1-7","2006","16-34 y.","","","",""
"4 on scale 1-7","2006","35-65 y.","","","",""
"4 on scale 1-7","2006","66 and older","","","",""
"5 on scale 1-7","2006","16-34 y.","","","",""
"5 on scale 1-7","2006","35-65 y.","","","",""
"5 on scale 1-7","2006","66 and older","","","",""
"6 on scale 1-7","2006","16-34 y.","","","",""
"6 on scale 1-7","2006","35-65 y.","","","",""
"6 on scale 1-7","2006","66 and older","","","",""
"7 Strongly agree","2006","16-34 y.","","","",""
"7 Strongly agree","2006","35-65 y.","","","",""
"7 Strongly agree","2006","66 and older","","","",""
"1 Strongly disagree","2007","16-34 y.","","","",""
"1 Strongly disagree","2007","35-65 y.","","","",""
"1 Strongly disagree","2007","66 and older","","","",""
"2 on scale 1-7 ","2007","16-34 y.","","","",""
"2 on scale 1-7 ","2007","35-65 y.","","","",""
"2 on scale 1-7 ","2007","66 and older","","","",""
"3 on scale 1-7 ","2007","16-34 y.","","","",""
"3 on scale 1-7 ","2007","35-65 y.","","","",""
"3 on scale 1-7 ","2007","66 and older","","","",""
"4 on scale 1-7","2007","16-34 y.","","","",""
"4 on scale 1-7","2007","35-65 y.","","","",""
"4 on scale 1-7","2007","66 and older","","","",""
"5 on scale 1-7","2007","16-34 y.","","","",""
"5 on scale 1-7","2007","35-65 y.","","","",""
"5 on scale 1-7","2007","66 and older","","","",""
"6 on scale 1-7","2007","16-34 y.","","","",""
"6 on scale 1-7","2007","35-65 y.","","","",""
"6 on scale 1-7","2007","66 and older","","","",""
"7 Strongly agree","2007","16-34 y.","","","",""
"7 Strongly agree","2007","35-65 y.","","","",""
"7 Strongly agree","2007","66 and older","","","",""
"1 Strongly disagree","2008","16-34 y.","","","",""
"1 Strongly disagree","2008","35-65 y.","","","",""
"1 Strongly disagree","2008","66 and older","","","",""
"2 on scale 1-7 ","2008","16-34 y.","","","",""
"2 on scale 1-7 ","2008","35-65 y.","","","",""
"2 on scale 1-7 ","2008","66 and older","","","",""
"3 on scale 1-7 ","2008","16-34 y.","","","",""
"3 on scale 1-7 ","2008","35-65 y.","","","",""
"3 on scale 1-7 ","2008","66 and older","","","",""
"4 on scale 1-7","2008","16-34 y.","","","",""
"4 on scale 1-7","2008","35-65 y.","","","",""
"4 on scale 1-7","2008","66 and older","","","",""
"5 on scale 1-7","2008","16-34 y.","","","",""
"5 on scale 1-7","2008","35-65 y.","","","",""
"5 on scale 1-7","2008","66 and older","","","",""
"6 on scale 1-7","2008","16-34 y.","","","",""
"6 on scale 1-7","2008","35-65 y.","","","",""
"6 on scale 1-7","2008","66 and older","","","",""
"7 Strongly agree","2008","16-34 y.","","","",""
"7 Strongly agree","2008","35-65 y.","","","",""
"7 Strongly agree","2008","66 and older","","","",""
"1 Strongly disagree","2009","16-34 y.","","","",""
"1 Strongly disagree","2009","35-65 y.","","","",""
"1 Strongly disagree","2009","66 and older","","","",""
"2 on scale 1-7 ","2009","16-34 y.","","","",""
"2 on scale 1-7 ","2009","35-65 y.","","","",""
"2 on scale 1-7 ","2009","66 and older","","","",""
"3 on scale 1-7 ","2009","16-34 y.","","","",""
"3 on scale 1-7 ","2009","35-65 y.","","","",""
"3 on scale 1-7 ","2009","66 and older","","","",""
"4 on scale 1-7","2009","16-34 y.","","","",""
"4 on scale 1-7","2009","35-65 y.","","","",""
"4 on scale 1-7","2009","66 and older","","","",""
"5 on scale 1-7","2009","16-34 y.","","","",""
"5 on scale 1-7","2009","35-65 y.","","","",""
"5 on scale 1-7","2009","66 and older","","","",""
"6 on scale 1-7","2009","16-34 y.","","","",""
"6 on scale 1-7","2009","35-65 y.","","","",""
"6 on scale 1-7","2009","66 and older","","","",""
"7 Strongly agree","2009","16-34 y.","","","",""
"7 Strongly agree","2009","35-65 y.","","","",""
"7 Strongly agree","2009","66 and older","","","",""
"1 Strongly disagree","2010","16-34 y.","82","0.0205679312563304","0.0159160159225337","0.025219846590127"
"1 Strongly disagree","2010","35-65 y.","223","0.0258915802654975","0.022620352577178","0.029162807953817"
"1 Strongly disagree","2010","66 and older","120","0.0354776606318204","0.0297550652519975","0.0412002560116433"
"2 on scale 1-7 ","2010","16-34 y.","128","0.0233998905950147","0.0184452217404716","0.0283545594495578"
"2 on scale 1-7 ","2010","35-65 y.","306","0.0335131618073755","0.0298060684800066","0.0372202551347444"
"2 on scale 1-7 ","2010","66 and older","136","0.0345911769364802","0.0289379332272541","0.0402444206457063"
"3 on scale 1-7 ","2010","16-34 y.","270","0.0753493796966721","0.0666981466870001","0.0840006127063442"
"3 on scale 1-7 ","2010","35-65 y.","579","0.0647065132935368","0.0596392228198452","0.0697738037672284"
"3 on scale 1-7 ","2010","66 and older","228","0.0633512469825292","0.0558155162731014","0.070886977691957"
"4 on scale 1-7","2010","16-34 y.","607","0.181639781816987","0.169003273822216","0.194276289811759"
"4 on scale 1-7","2010","35-65 y.","1413","0.156061698541372","0.148586351502539","0.163537045580205"
"4 on scale 1-7","2010","66 and older","649","0.168131552912545","0.156562139370704","0.179700966454386"
"5 on scale 1-7","2010","16-34 y.","878","0.235469677391769","0.221563294341006","0.249376060442532"
"5 on scale 1-7","2010","35-65 y.","2120","0.226405756177929","0.217785340802471","0.235026171553388"
"5 on scale 1-7","2010","66 and older","865","0.206263918178154","0.193746663166814","0.218781173189494"
"6 on scale 1-7","2010","16-34 y.","986","0.271500120625696","0.256923760433192","0.2860764808182"
"6 on scale 1-7","2010","35-65 y.","2609","0.279835016767113","0.270588144137621","0.289081889396606"
"6 on scale 1-7","2010","66 and older","1053","0.241013205066113","0.227782075082402","0.254244335049824"
"7 Strongly agree","2010","16-34 y.","625","0.19207321861753","0.179161955097372","0.204984482137689"
"7 Strongly agree","2010","35-65 y.","1804","0.213586273147175","0.205144375979914","0.222028170314436"
"7 Strongly agree","2010","66 and older","963","0.251171239292358","0.237754850990493","0.264587627594223"
"1 Strongly disagree","2011","16-34 y.","","","",""
"1 Strongly disagree","2011","35-65 y.","","","",""
"1 Strongly disagree","2011","66 and older","","","",""
"2 on scale 1-7 ","2011","16-34 y.","","","",""
"2 on scale 1-7 ","2011","35-65 y.","","","",""
"2 on scale 1-7 ","2011","66 and older","","","",""
"3 on scale 1-7 ","2011","16-34 y.","","","",""
"3 on scale 1-7 ","2011","35-65 y.","","","",""
"3 on scale 1-7 ","2011","66 and older","","","",""
"4 on scale 1-7","2011","16-34 y.","","","",""
"4 on scale 1-7","2011","35-65 y.","","","",""
"4 on scale 1-7","2011","66 and older","","","",""
"5 on scale 1-7","2011","16-34 y.","","","",""
"5 on scale 1-7","2011","35-65 y.","","","",""
"5 on scale 1-7","2011","66 and older","","","",""
"6 on scale 1-7","2011","16-34 y.","","","",""
"6 on scale 1-7","2011","35-65 y.","","","",""
"6 on scale 1-7","2011","66 and older","","","",""
"7 Strongly agree","2011","16-34 y.","","","",""
"7 Strongly agree","2011","35-65 y.","","","",""
"7 Strongly agree","2011","66 and older","","","",""
"1 Strongly disagree","2012","16-34 y.","","","",""
"1 Strongly disagree","2012","35-65 y.","","","",""
"1 Strongly disagree","2012","66 and older","","","",""
"2 on scale 1-7 ","2012","16-34 y.","","","",""
"2 on scale 1-7 ","2012","35-65 y.","","","",""
"2 on scale 1-7 ","2012","66 and older","","","",""
"3 on scale 1-7 ","2012","16-34 y.","","","",""
"3 on scale 1-7 ","2012","35-65 y.","","","",""
"3 on scale 1-7 ","2012","66 and older","","","",""
"4 on scale 1-7","2012","16-34 y.","","","",""
"4 on scale 1-7","2012","35-65 y.","","","",""
"4 on scale 1-7","2012","66 and older","","","",""
"5 on scale 1-7","2012","16-34 y.","","","",""
"5 on scale 1-7","2012","35-65 y.","","","",""
"5 on scale 1-7","2012","66 and older","","","",""
"6 on scale 1-7","2012","16-34 y.","","","",""
