"plh0206i06","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","271","0.0447547419270959","0.0401752589092038","0.0493342249449879","1"
"1 Strongly disagree","2005","Employed","231","0.0213999100714879","0.0188953698883289","0.0239044502546468","1"
"2 on scale 1-7 ","2005","Employed","385","0.0291475078677295","0.0262361422882924","0.0320588734471666","2"
"2 on scale 1-7 ","2005","Not Employed","251","0.0318038944727115","0.0279173709852646","0.0356904179601583","2"
"3 on scale 1-7 ","2005","Not Employed","453","0.0582804454059721","0.0530917078551205","0.0634691829568237","3"
"3 on scale 1-7 ","2005","Employed","701","0.0546713247472353","0.0507368150614797","0.0586058344329909","3"
"4 on scale 1-7","2005","Employed","2010","0.164008158493843","0.157599706285575","0.17041661070211","4"
"4 on scale 1-7","2005","Not Employed","1344","0.16732251796007","0.159055381907328","0.175589654012812","4"
"5 on scale 1-7","2005","Not Employed","1691","0.207263967503806","0.198286255241257","0.216241679766356","5"
"5 on scale 1-7","2005","Employed","2930","0.226780519330313","0.219533262195576","0.23402777646505","5"
"6 on scale 1-7","2005","Employed","3539","0.264206853986965","0.256576067305506","0.271837640668424","6"
"6 on scale 1-7","2005","Not Employed","1910","0.239025473102742","0.229579501580709","0.248471444624774","6"
"7 Strongly agree","2005","Employed","3029","0.239785725502427","0.232396497334565","0.247174953670289","7"
"7 Strongly agree","2005","Not Employed","1911","0.251548959627603","0.241938759317365","0.261159159937841","7"
"1 Strongly disagree","2006","Not Employed","","","","","1"
"1 Strongly disagree","2006","Employed","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","Employed","","","","","2"
"3 on scale 1-7 ","2006","Employed","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","","","","","3"
"4 on scale 1-7","2006","Not Employed","","","","","4"
"4 on scale 1-7","2006","Employed","","","","","4"
"5 on scale 1-7","2006","Employed","","","","","5"
"5 on scale 1-7","2006","Not Employed","","","","","5"
"6 on scale 1-7","2006","Employed","","","","","6"
"6 on scale 1-7","2006","Not Employed","","","","","6"
"7 Strongly agree","2006","Employed","","","","","7"
"7 Strongly agree","2006","Not Employed","","","","","7"
"1 Strongly disagree","2007","Not Employed","","","","","1"
"1 Strongly disagree","2007","Employed","","","","","1"
"2 on scale 1-7 ","2007","Employed","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","","","","","3"
"3 on scale 1-7 ","2007","Employed","","","","","3"
"4 on scale 1-7","2007","Employed","","","","","4"
"4 on scale 1-7","2007","Not Employed","","","","","4"
"5 on scale 1-7","2007","Employed","","","","","5"
"5 on scale 1-7","2007","Not Employed","","","","","5"
"6 on scale 1-7","2007","Employed","","","","","6"
"6 on scale 1-7","2007","Not Employed","","","","","6"
"7 Strongly agree","2007","Not Employed","","","","","7"
