"plh0206i06","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","370","0.0305250481193778","0.0278271107925155","0.0332229854462402"
"1 Strongly disagree","2005","East Germany","132","0.0319848248590114","0.0271259906476087","0.0368436590704141"
"2 on scale 1-7 ","2005","West Germany","457","0.0284057161113667","0.0258002781982858","0.0310111540244476"
"2 on scale 1-7 ","2005","East Germany","179","0.0381487085880586","0.0328592296028953","0.0434381875732219"
"3 on scale 1-7 ","2005","West Germany","876","0.0554982146181713","0.0519075381178784","0.0590888911184641"
"3 on scale 1-7 ","2005","East Germany","278","0.0588624508790683","0.0523631786164164","0.0653617231417201"
"4 on scale 1-7","2005","West Germany","2514","0.16463870182538","0.158822512651639","0.17045489099912"
"4 on scale 1-7","2005","East Germany","840","0.168421355061127","0.158087336147316","0.178755373974937"
"5 on scale 1-7","2005","West Germany","3522","0.220414434551198","0.213913327872826","0.226915541229569"
"5 on scale 1-7","2005","East Germany","1099","0.212417570971605","0.201123195072402","0.223711946870807"
"6 on scale 1-7","2005","West Germany","4155","0.258829782715059","0.25196065667156","0.265698908758558"
"6 on scale 1-7","2005","East Germany","1294","0.23324612188777","0.221568505194009","0.244923738581531"
"7 Strongly agree","2005","West Germany","3724","0.241688102059448","0.234974015244735","0.248402188874161"
"7 Strongly agree","2005","East Germany","1216","0.256918967753361","0.244853749526384","0.268984185980338"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
"3 on scale 1-7 ","2007","East Germany","","","",""
"4 on scale 1-7","2007","West Germany","","","",""
"4 on scale 1-7","2007","East Germany","","","",""
"5 on scale 1-7","2007","West Germany","","","",""
"5 on scale 1-7","2007","East Germany","","","",""
"6 on scale 1-7","2007","West Germany","","","",""
"6 on scale 1-7","2007","East Germany","","","",""
"7 Strongly agree","2007","West Germany","","","",""
"7 Strongly agree","2007","East Germany","","","",""
"1 Strongly disagree","2008","West Germany","","","",""
"1 Strongly disagree","2008","East Germany","","","",""
"2 on scale 1-7 ","2008","West Germany","","","",""
"2 on scale 1-7 ","2008","East Germany","","","",""
"3 on scale 1-7 ","2008","West Germany","","","",""
"3 on scale 1-7 ","2008","East Germany","","","",""
"4 on scale 1-7","2008","West Germany","","","",""
"4 on scale 1-7","2008","East Germany","","","",""
"5 on scale 1-7","2008","West Germany","","","",""
"5 on scale 1-7","2008","East Germany","","","",""
"6 on scale 1-7","2008","West Germany","","","",""
"6 on scale 1-7","2008","East Germany","","","",""
"7 Strongly agree","2008","West Germany","","","",""
"7 Strongly agree","2008","East Germany","","","",""
"1 Strongly disagree","2009","West Germany","","","",""
"1 Strongly disagree","2009","East Germany","","","",""
"2 on scale 1-7 ","2009","West Germany","","","",""
"2 on scale 1-7 ","2009","East Germany","","","",""
"3 on scale 1-7 ","2009","West Germany","","","",""
"3 on scale 1-7 ","2009","East Germany","","","",""
"4 on scale 1-7","2009","West Germany","","","",""
"4 on scale 1-7","2009","East Germany","","","",""
"5 on scale 1-7","2009","West Germany","","","",""
"5 on scale 1-7","2009","East Germany","","","",""
"6 on scale 1-7","2009","West Germany","","","",""
"6 on scale 1-7","2009","East Germany","","","",""
"7 Strongly agree","2009","West Germany","","","",""
"7 Strongly agree","2009","East Germany","","","",""
"1 Strongly disagree","2010","West Germany","326","0.0273029109835366","0.0244477805802563","0.0301580413868169"
"1 Strongly disagree","2010","East Germany","99","0.0271064908939754","0.0221531872448892","0.0320597945430616"
"2 on scale 1-7 ","2010","West Germany","434","0.0313742397638443","0.0283200411409721","0.0344284383867166"
"2 on scale 1-7 ","2010","East Germany","136","0.0324969499898474","0.0270884962175996","0.0379054037620952"
"3 on scale 1-7 ","2010","West Germany","818","0.0668577316405684","0.0624816802462196","0.0712337830349173"
"3 on scale 1-7 ","2010","East Germany","259","0.0658975769587051","0.0583299864841595","0.0734651674332506"
"4 on scale 1-7","2010","West Germany","1987","0.166054086340199","0.159534404687471","0.172573767992928"
"4 on scale 1-7","2010","East Germany","682","0.159665267652621","0.148492596063469","0.170837939241774"
"5 on scale 1-7","2010","West Germany","2902","0.224395093109428","0.217086065271465","0.231704120947391"
"5 on scale 1-7","2010","East Germany","961","0.217176659070223","0.204600034215076","0.229753283925369"
"6 on scale 1-7","2010","West Germany","3463","0.265396206107146","0.257660381711392","0.2731320305029"
"6 on scale 1-7","2010","East Germany","1185","0.277873389239218","0.264210082970623","0.291536695507814"
"7 Strongly agree","2010","West Germany","2585","0.218619732055278","0.21137856506733","0.225860899043225"
"7 Strongly agree","2010","East Germany","807","0.21978366619541","0.207152865703296","0.232414466687524"
"1 Strongly disagree","2011","West Germany","","","",""
"1 Strongly disagree","2011","East Germany","","","",""
"2 on scale 1-7 ","2011","West Germany","","","",""
"2 on scale 1-7 ","2011","East Germany","","","",""
"3 on scale 1-7 ","2011","West Germany","","","",""
"3 on scale 1-7 ","2011","East Germany","","","",""
"4 on scale 1-7","2011","West Germany","","","",""
