"plh0206i06","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","no migration background","109","0.0211566535992672","0.0177567168235273","0.0245565903750071","1"
"1 Strongly disagree","2005","Full Time","direct migration background","12","","","","1"
"1 Strongly disagree","2005","Full Time","indirect migration background","6","","","","1"
"1 Strongly disagree","2005","Part Time","no migration background","86","0.0215904646614451","0.0171075934046413","0.0260733359182489","1"
"1 Strongly disagree","2005","Part Time","direct migration background","14","","","","1"
"1 Strongly disagree","2005","Part Time","indirect migration background","4","","","","1"
"1 Strongly disagree","2005","Not Working","no migration background","230","0.0466917427635325","0.0415843593413531","0.0517991261857118","1"
"1 Strongly disagree","2005","Not Working","direct migration background","29","","","","1"
"1 Strongly disagree","2005","Not Working","indirect migration background","12","","","","1"
"2 on scale 1-7 ","2005","Part Time","indirect migration background","3","","","","2"
"2 on scale 1-7 ","2005","Full Time","no migration background","214","0.0307944953623593","0.026712850274696","0.0348761404500226","2"
"2 on scale 1-7 ","2005","Full Time","indirect migration background","9","","","","2"
"2 on scale 1-7 ","2005","Part Time","no migration background","130","0.0321637346214284","0.0267218526963829","0.037605616546474","2"
"2 on scale 1-7 ","2005","Part Time","direct migration background","11","","","","2"
"2 on scale 1-7 ","2005","Not Working","no migration background","201","0.0303457980745187","0.0261932041262093","0.0344983920228282","2"
"2 on scale 1-7 ","2005","Not Working","direct migration background","47","0.0469572039801038","0.0338060998969662","0.0601083080632413","2"
"2 on scale 1-7 ","2005","Not Working","indirect migration background","3","","","","2"
"2 on scale 1-7 ","2005","Full Time","direct migration background","18","","","","2"
"3 on scale 1-7 ","2005","Full Time","direct migration background","34","0.0381366058367498","0.0249060567494535","0.051367154924046","3"
"3 on scale 1-7 ","2005","Full Time","no migration background","383","0.0538451126783711","0.0485124388564747","0.0591777865002676","3"
"3 on scale 1-7 ","2005","Part Time","indirect migration background","11","","","","3"
"3 on scale 1-7 ","2005","Not Working","no migration background","374","0.0599658954568265","0.0542183063935431","0.0657134845201099","3"
"3 on scale 1-7 ","2005","Full Time","indirect migration background","12","","","","3"
"3 on scale 1-7 ","2005","Part Time","no migration background","227","0.0594741521852319","0.052179334684204","0.0667689696862598","3"
"3 on scale 1-7 ","2005","Part Time","direct migration background","34","0.0587400130107438","0.0391422120234953","0.0783378139979923","3"
"3 on scale 1-7 ","2005","Not Working","direct migration background","61","0.0483509788536131","0.0350158892943997","0.0616860684128264","3"
"3 on scale 1-7 ","2005","Not Working","indirect migration background","18","","","","3"
"4 on scale 1-7","2005","Full Time","direct migration background","123","0.187110825457659","0.16016972829455","0.214051922620768","4"
"4 on scale 1-7","2005","Full Time","indirect migration background","59","0.155250832461463","0.116059319974933","0.194442344947993","4"
"4 on scale 1-7","2005","Part Time","indirect migration background","37","0.210509171982493","0.15651646652687","0.264501877438116","4"
"4 on scale 1-7","2005","Not Working","no migration background","1112","0.163183322852102","0.154237613318894","0.172129032385311","4"
"4 on scale 1-7","2005","Not Working","direct migration background","168","0.182171598014141","0.158176290101345","0.206166905926937","4"
"4 on scale 1-7","2005","Part Time","direct migration background","71","0.140482723996566","0.111521008005803","0.169444439987329","4"
"4 on scale 1-7","2005","Part Time","no migration background","687","0.171747615435083","0.160114617817358","0.183380613052809","4"
"4 on scale 1-7","2005","Not Working","indirect migration background","64","0.215422043821169","0.167439125440824","0.263404962201514","4"
"4 on scale 1-7","2005","Full Time","no migration background","1033","0.157509376484779","0.148902877911747","0.166115875057812","4"
"5 on scale 1-7","2005","Part Time","no migration background","925","0.2276175782944","0.214685032540176","0.240550124048625","5"
"5 on scale 1-7","2005","Part Time","indirect migration background","48","0.217014813048301","0.162420488642985","0.271609137453617","5"
"5 on scale 1-7","2005","Not Working","no migration background","1440","0.209713710161696","0.199858466218163","0.219568954105228","5"
"5 on scale 1-7","2005","Full Time","direct migration background","166","0.216599234711443","0.188143447441277","0.245055021981609","5"
"5 on scale 1-7","2005","Full Time","indirect migration background","71","0.196485212621597","0.153484758555","0.239485666688194","5"
"5 on scale 1-7","2005","Part Time","direct migration background","115","0.188370549583524","0.155781557674802","0.220959541492246","5"
"5 on scale 1-7","2005","Not Working","direct migration background","189","0.178469359858231","0.154665432590445","0.202273287126018","5"
"5 on scale 1-7","2005","Not Working","indirect migration background","62","0.269360316311081","0.217582709664294","0.321137922957868","5"
"5 on scale 1-7","2005","Full Time","no migration background","1605","0.233536640349091","0.223540922926145","0.243532357772037","5"
"6 on scale 1-7","2005","Not Working","no migration background","1640","0.244621105533468","0.234214930453514","0.255027280613422","6"
"6 on scale 1-7","2005","Not Working","direct migration background","219","0.219879701740365","0.194132605434295","0.245626798046434","6"
