"ple0012","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","(0) in school","","","",""
"Yes","2009","no migration background","(1a) inadequately completed","3","","",""
"Yes","2009","no migration background","(1b) general elementary school","145","1","1","1"
"Yes","2009","no migration background","(1c) basic vocational qualification","533","1","1","1"
"Yes","2009","no migration background","(2b) intermediate general qualification","5","","",""
"Yes","2009","no migration background","(2a) intermediate vocational","222","1","1","1"
"Yes","2009","no migration background","(2c_gen) general maturity certificate","3","","",""
"Yes","2009","no migration background","(2c_voc) vocational maturity certificate","43","1","1","1"
"Yes","2009","no migration background","(3a) lower tertiary education","117","1","1","1"
"Yes","2009","no migration background","(3b) higher tertiary education","109","1","1","1"
"Yes","2009","direct migration background","(0) in school","","","",""
"Yes","2009","direct migration background","(1a) inadequately completed","13","","",""
"Yes","2009","direct migration background","(1b) general elementary school","35","1","1","1"
"Yes","2009","direct migration background","(1c) basic vocational qualification","39","1","1","1"
"Yes","2009","direct migration background","(2b) intermediate general qualification","4","","",""
"Yes","2009","direct migration background","(2a) intermediate vocational","1","","",""
"Yes","2009","direct migration background","(2c_gen) general maturity certificate","4","","",""
"Yes","2009","direct migration background","(2c_voc) vocational maturity certificate","11","","",""
"Yes","2009","direct migration background","(3a) lower tertiary education","9","","",""
"Yes","2009","direct migration background","(3b) higher tertiary education","4","","",""
"Yes","2009","indirect migration background","(0) in school","","","",""
"Yes","2009","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2009","indirect migration background","(1b) general elementary school","1","","",""
"Yes","2009","indirect migration background","(1c) basic vocational qualification","1","","",""
"Yes","2009","indirect migration background","(2b) intermediate general qualification","1","","",""
"Yes","2009","indirect migration background","(2a) intermediate vocational","2","","",""
"Yes","2009","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2009","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2009","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2009","indirect migration background","(3b) higher tertiary education","1","","",""
"Yes","2010","no migration background","(0) in school","","","",""
"Yes","2010","no migration background","(1a) inadequately completed","","","",""
"Yes","2010","no migration background","(1b) general elementary school","","","",""
"Yes","2010","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","no migration background","(2a) intermediate vocational","","","",""
"Yes","2010","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","no migration background","(3a) lower tertiary education","","","",""
"Yes","2010","no migration background","(3b) higher tertiary education","","","",""
"Yes","2010","direct migration background","(0) in school","","","",""
"Yes","2010","direct migration background","(1a) inadequately completed","","","",""
"Yes","2010","direct migration background","(1b) general elementary school","","","",""
"Yes","2010","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2010","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2010","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2010","indirect migration background","(0) in school","","","",""
"Yes","2010","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2010","indirect migration background","(1b) general elementary school","","","",""
"Yes","2010","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2010","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2010","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2011","no migration background","(0) in school","","","",""
"Yes","2011","no migration background","(1a) inadequately completed","12","","",""
"Yes","2011","no migration background","(1b) general elementary school","177","1","1","1"
"Yes","2011","no migration background","(1c) basic vocational qualification","647","1","1","1"
"Yes","2011","no migration background","(2b) intermediate general qualification","16","","",""
"Yes","2011","no migration background","(2a) intermediate vocational","298","1","1","1"
"Yes","2011","no migration background","(2c_gen) general maturity certificate","9","","",""
"Yes","2011","no migration background","(2c_voc) vocational maturity certificate","52","1","1","1"
"Yes","2011","no migration background","(3a) lower tertiary education","144","1","1","1"
"Yes","2011","no migration background","(3b) higher tertiary education","137","1","1","1"
"Yes","2011","direct migration background","(0) in school","","","",""
"Yes","2011","direct migration background","(1a) inadequately completed","18","","",""
"Yes","2011","direct migration background","(1b) general elementary school","43","1","1","1"
"Yes","2011","direct migration background","(1c) basic vocational qualification","47","1","1","1"
"Yes","2011","direct migration background","(2b) intermediate general qualification","6","","",""
"Yes","2011","direct migration background","(2a) intermediate vocational","3","","",""
"Yes","2011","direct migration background","(2c_gen) general maturity certificate","8","","",""
"Yes","2011","direct migration background","(2c_voc) vocational maturity certificate","16","","",""
"Yes","2011","direct migration background","(3a) lower tertiary education","5","","",""
"Yes","2011","direct migration background","(3b) higher tertiary education","13","","",""
"Yes","2011","indirect migration background","(0) in school","","","",""
"Yes","2011","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2011","indirect migration background","(1b) general elementary school","1","","",""
"Yes","2011","indirect migration background","(1c) basic vocational qualification","5","","",""
"Yes","2011","indirect migration background","(2b) intermediate general qualification","1","","",""
"Yes","2011","indirect migration background","(2a) intermediate vocational","3","","",""
"Yes","2011","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2011","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2011","indirect migration background","(3b) higher tertiary education","1","","",""
"Yes","2012","no migration background","(0) in school","","","",""
"Yes","2012","no migration background","(1a) inadequately completed","","","",""
"Yes","2012","no migration background","(1b) general elementary school","","","",""
"Yes","2012","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","no migration background","(2a) intermediate vocational","","","",""
"Yes","2012","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","no migration background","(3a) lower tertiary education","","","",""
"Yes","2012","no migration background","(3b) higher tertiary education","","","",""
"Yes","2012","direct migration background","(0) in school","","","",""
"Yes","2012","direct migration background","(1a) inadequately completed","","","",""
"Yes","2012","direct migration background","(1b) general elementary school","","","",""
"Yes","2012","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2012","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2012","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2012","indirect migration background","(0) in school","","","",""
"Yes","2012","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2012","indirect migration background","(1b) general elementary school","","","",""
"Yes","2012","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2012","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2012","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2013","no migration background","(0) in school","","","",""
"Yes","2013","no migration background","(1a) inadequately completed","12","","",""
"Yes","2013","no migration background","(1b) general elementary school","160","1","1","1"
"Yes","2013","no migration background","(1c) basic vocational qualification","622","1","1","1"
"Yes","2013","no migration background","(2b) intermediate general qualification","18","","",""
"Yes","2013","no migration background","(2a) intermediate vocational","331","1","1","1"
"Yes","2013","no migration background","(2c_gen) general maturity certificate","11","","",""
"Yes","2013","no migration background","(2c_voc) vocational maturity certificate","61","1","1","1"
"Yes","2013","no migration background","(3a) lower tertiary education","153","1","1","1"
"Yes","2013","no migration background","(3b) higher tertiary education","156","1","1","1"
"Yes","2013","direct migration background","(0) in school","","","",""
"Yes","2013","direct migration background","(1a) inadequately completed","13","","",""
"Yes","2013","direct migration background","(1b) general elementary school","37","1","1","1"
"Yes","2013","direct migration background","(1c) basic vocational qualification","48","1","1","1"
"Yes","2013","direct migration background","(2b) intermediate general qualification","5","","",""
"Yes","2013","direct migration background","(2a) intermediate vocational","4","","",""
"Yes","2013","direct migration background","(2c_gen) general maturity certificate","6","","",""
"Yes","2013","direct migration background","(2c_voc) vocational maturity certificate","15","","",""
"Yes","2013","direct migration background","(3a) lower tertiary education","7","","",""
"Yes","2013","direct migration background","(3b) higher tertiary education","14","","",""
"Yes","2013","indirect migration background","(0) in school","","","",""
"Yes","2013","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2013","indirect migration background","(1b) general elementary school","2","","",""
"Yes","2013","indirect migration background","(1c) basic vocational qualification","5","","",""
"Yes","2013","indirect migration background","(2b) intermediate general qualification","2","","",""
"Yes","2013","indirect migration background","(2a) intermediate vocational","5","","",""
"Yes","2013","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2013","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2013","indirect migration background","(3a) lower tertiary education","1","","",""
"Yes","2013","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2014","no migration background","(0) in school","","","",""
"Yes","2014","no migration background","(1a) inadequately completed","","","",""
"Yes","2014","no migration background","(1b) general elementary school","","","",""
"Yes","2014","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","no migration background","(2a) intermediate vocational","","","",""
"Yes","2014","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","no migration background","(3a) lower tertiary education","","","",""
"Yes","2014","no migration background","(3b) higher tertiary education","","","",""
"Yes","2014","direct migration background","(0) in school","","","",""
"Yes","2014","direct migration background","(1a) inadequately completed","","","",""
"Yes","2014","direct migration background","(1b) general elementary school","","","",""
"Yes","2014","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2014","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2014","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2014","indirect migration background","(0) in school","","","",""
"Yes","2014","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2014","indirect migration background","(1b) general elementary school","","","",""
"Yes","2014","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2014","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2014","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2015","no migration background","(0) in school","","","",""
"Yes","2015","no migration background","(1a) inadequately completed","19","","",""
"Yes","2015","no migration background","(1b) general elementary school","146","1","1","1"
"Yes","2015","no migration background","(1c) basic vocational qualification","581","1","1","1"
"Yes","2015","no migration background","(2b) intermediate general qualification","24","","",""
"Yes","2015","no migration background","(2a) intermediate vocational","356","1","1","1"
"Yes","2015","no migration background","(2c_gen) general maturity certificate","12","","",""
"Yes","2015","no migration background","(2c_voc) vocational maturity certificate","74","1","1","1"
"Yes","2015","no migration background","(3a) lower tertiary education","158","1","1","1"
"Yes","2015","no migration background","(3b) higher tertiary education","156","1","1","1"
"Yes","2015","direct migration background","(0) in school","","","",""
"Yes","2015","direct migration background","(1a) inadequately completed","30","1","1","1"
"Yes","2015","direct migration background","(1b) general elementary school","49","1","1","1"
"Yes","2015","direct migration background","(1c) basic vocational qualification","75","1","1","1"
"Yes","2015","direct migration background","(2b) intermediate general qualification","2","","",""
"Yes","2015","direct migration background","(2a) intermediate vocational","4","","",""
"Yes","2015","direct migration background","(2c_gen) general maturity certificate","10","","",""
"Yes","2015","direct migration background","(2c_voc) vocational maturity certificate","41","1","1","1"
"Yes","2015","direct migration background","(3a) lower tertiary education","9","","",""
"Yes","2015","direct migration background","(3b) higher tertiary education","30","1","1","1"
"Yes","2015","indirect migration background","(0) in school","","","",""
"Yes","2015","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2015","indirect migration background","(1b) general elementary school","2","","",""
"Yes","2015","indirect migration background","(1c) basic vocational qualification","9","","",""
"Yes","2015","indirect migration background","(2b) intermediate general qualification","5","","",""
"Yes","2015","indirect migration background","(2a) intermediate vocational","11","","",""
"Yes","2015","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"Yes","2015","indirect migration background","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2015","indirect migration background","(3a) lower tertiary education","3","","",""
"Yes","2015","indirect migration background","(3b) higher tertiary education","3","","",""
"Yes","2016","no migration background","(0) in school","","","",""
"Yes","2016","no migration background","(1a) inadequately completed","","","",""
"Yes","2016","no migration background","(1b) general elementary school","","","",""
"Yes","2016","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2016","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2016","no migration background","(2a) intermediate vocational","","","",""
"Yes","2016","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2016","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2016","no migration background","(3a) lower tertiary education","","","",""
"Yes","2016","no migration background","(3b) higher tertiary education","","","",""
"Yes","2016","direct migration background","(0) in school","","","",""
"Yes","2016","direct migration background","(1a) inadequately completed","","","",""
"Yes","2016","direct migration background","(1b) general elementary school","","","",""
"Yes","2016","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2016","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2016","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2016","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2016","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2016","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2016","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2016","indirect migration background","(0) in school","","","",""
"Yes","2016","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2016","indirect migration background","(1b) general elementary school","","","",""
"Yes","2016","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2016","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2016","indirect migration background","(2a) intermediate vocational","","","",""
