"ple0012","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Employed","vocational + Abi","224","0.913446726508357","0.878166079694695","0.94872737332202","2"
"No","2009","Employed","inadequately","71","0.998728378362606","0.990496773927307","1.00695998279791","2"
"No","2009","Employed","higher vocational","871","0.962904027079424","0.950637953760535","0.975170100398312","2"
"No","2009","Not Employed","in school","252","1","1","1","2"
"No","2009","Not Employed","inadequately","86","0.933684407790418","0.884165608770769","0.983203206810068","2"
"No","2009","Not Employed","higher vocational","365","0.843448760358221","0.808942261304485","0.877955259411958","2"
"No","2009","Employed","general elemantary","735","0.961869279314808","0.948199611780388","0.975538946849229","2"
"No","2009","Employed","higher education","2850","0.974656211344358","0.968976997087653","0.980335425601063","2"
"No","2009","Not Employed","general elemantary","886","0.833165039470291","0.81069963160511","0.855630447335472","2"
"No","2009","Not Employed","middle vocational","3036","0.859532863598689","0.84810913210309","0.870956595094287","2"
"No","2009","Not Employed","higher education","959","0.873713252810429","0.854145649708789","0.89328085591207","2"
"No","2009","Employed","in school","61","1","1","1","2"
"No","2009","Employed","middle vocational","5340","0.959259160551034","0.954061464769741","0.964456856332328","2"
"No","2009","Employed","vocational + Abi","746","0.979037493640327","0.968845750522125","0.989229236758528","2"
"Yes","2009","Not Employed","in school","","","","","1"
"Yes","2009","Not Employed","inadequately","11","","","","1"
"Yes","2009","Not Employed","general elemantary","172","0.166834960529709","0.144369552664528","0.18930036839489","1"
"Yes","2009","Not Employed","middle vocational","518","0.140467136401311","0.129043404905713","0.15189086789691","1"
"Yes","2009","Not Employed","vocational + Abi","20","","","","1"
"Yes","2009","Not Employed","higher vocational","61","0.156551239641779","0.122044740588042","0.191057738695515","1"
"Yes","2009","Not Employed","higher education","148","0.126286747189571","0.10671914408793","0.145854350291211","1"
"Yes","2009","Employed","in school","","","","","1"
"Yes","2009","Employed","inadequately","1","","","","1"
"Yes","2009","Employed","general elemantary","19","","","","1"
"Yes","2009","Employed","middle vocational","217","0.0407408394489657","0.0355431436676723","0.045938535230259","1"
