"ple0012","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","no migration background","708","1","1","1"
"Yes","2009","lower secondary degree","direct migration background","36","1","1","1"
"Yes","2009","lower secondary degree","indirect migration background","2","","",""
"Yes","2009","secondary school degree","no migration background","270","1","1","1"
"Yes","2009","secondary school degree","direct migration background","9","","",""
"Yes","2009","secondary school degree","indirect migration background","3","","",""
"Yes","2009","college entrance qualification","no migration background","191","1","1","1"
"Yes","2009","college entrance qualification","direct migration background","11","","",""
"Yes","2009","college entrance qualification","indirect migration background","1","","",""
"Yes","2009","Other degree","no migration background","8","","",""
"Yes","2009","Other degree","direct migration background","51","1","1","1"
"Yes","2009","Other degree","indirect migration background","1","","",""
"Yes","2009","no degree/no degree yet","no migration background","3","","",""
"Yes","2009","no degree/no degree yet","direct migration background","13","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","","","",""
"Yes","2010","lower secondary degree","no migration background","","","",""
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","","","",""
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","","","",""
"Yes","2010","college entrance qualification","direct migration background","","","",""
"Yes","2010","college entrance qualification","indirect migration background","","","",""
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","","","",""
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","849","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","32","1","1","1"
"Yes","2011","lower secondary degree","indirect migration background","6","","",""
"Yes","2011","secondary school degree","no migration background","373","1","1","1"
"Yes","2011","secondary school degree","direct migration background","14","","",""
"Yes","2011","secondary school degree","indirect migration background","4","","",""
"Yes","2011","college entrance qualification","no migration background","241","1","1","1"
"Yes","2011","college entrance qualification","direct migration background","10","","",""
"Yes","2011","college entrance qualification","indirect migration background","1","","",""
"Yes","2011","Other degree","no migration background","16","","",""
"Yes","2011","Other degree","direct migration background","85","1","1","1"
"Yes","2011","Other degree","indirect migration background","","","",""
"Yes","2011","no degree/no degree yet","no migration background","13","","",""
"Yes","2011","no degree/no degree yet","direct migration background","18","","",""
