"ple0012","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Couple + C. LE 16 ","2390","0.986216612538545","0.981581932569986","0.990851292507104","2"
"No","2009","Not Employed","Single parent ","276","0.960984268492576","0.938812910371227","0.983155626613924","2"
"No","2009","Not Employed","Couple + C. LE 16 ","414","0.972266509933645","0.956727821054196","0.987805198813094","2"
"No","2009","Not Employed","(Married) couple without C. ","2849","0.844444941740907","0.832248085431443","0.856641798050371","2"
"No","2009","Employed","Single parent ","692","0.986757199882087","0.978307028980699","0.995207370783474","2"
"No","2009","Employed","Couple + C. GT 16 ","2232","0.963140401048731","0.955481671819033","0.970799130278429","2"
"No","2009","Employed","Couple + C. LE and GT 16","862","0.981800495463333","0.972963694781189","0.990637296145477","2"
"No","2009","Not Employed","1-pers.-HH","1212","0.830597053128475","0.811421623769452","0.849772482487498","2"
"No","2009","Not Employed","Couple + C. GT 16 ","775","0.933577016237599","0.916736991937083","0.950417040538115","2"
"No","2009","Not Employed","Couple + C. LE and GT 16","294","0.966120575100281","0.945715965026205","0.986525185174356","2"
"No","2009","Employed","1-pers.-HH","1383","0.954171547988161","0.943370953264218","0.964972142712104","2"
"No","2009","Employed","(Married) couple without C. ","3134","0.95252634537789","0.945258913234106","0.959793777521673","2"
"Yes","2009","Not Employed","1-pers.-HH","258","0.169402946871525","0.150227517512502","0.188578376230548","1"
"Yes","2009","Not Employed","(Married) couple without C. ","543","0.155555058259093","0.143358201949629","0.167751914568557","1"
"Yes","2009","Not Employed","Single parent ","17","","","","1"
"Yes","2009","Not Employed","Couple + C. LE 16 ","15","","","","1"
"Yes","2009","Not Employed","Couple + C. GT 16 ","65","0.0664229837624009","0.0495829594618845","0.0832630080629174","1"
"Yes","2009","Not Employed","Couple + C. LE and GT 16","8","","","","1"
"Yes","2009","Employed","1-pers.-HH","57","0.0458284520118391","0.0350278572878966","0.0566290467357817","1"
"Yes","2009","Employed","(Married) couple without C. ","155","0.0474736546221103","0.0402062224783268","0.0547410867658938","1"
"Yes","2009","Employed","Single parent ","11","","","","1"
"Yes","2009","Employed","Couple + C. LE 16 ","41","0.0137833874614551","0.00914870749289607","0.0184180674300141","1"
"Yes","2009","Employed","Couple + C. GT 16 ","93","0.036859598951269","0.0292008697215705","0.0445183281809674","1"
"Yes","2009","Employed","Couple + C. LE and GT 16","17","","","","1"
"No","2010","Employed","Couple + C. LE 16 ","","","","","2"
"No","2010","Employed","Couple + C. LE and GT 16","","","","","2"
"No","2010","Not Employed","(Married) couple without C. ","","","","","2"
"No","2010","Not Employed","Couple + C. LE 16 ","","","","","2"
"No","2010","Employed","Single parent ","","","","","2"
"No","2010","Employed","Couple + C. GT 16 ","","","","","2"
"No","2010","Not Employed","1-pers.-HH","","","","","2"
"No","2010","Not Employed","Single parent ","","","","","2"
"No","2010","Not Employed","Couple + C. GT 16 ","","","","","2"
"No","2010","Not Employed","Couple + C. LE and GT 16","","","","","2"
"No","2010","Employed","1-pers.-HH","","","","","2"
"No","2010","Employed","(Married) couple without C. ","","","","","2"
"Yes","2010","Not Employed","1-pers.-HH","","","","","1"
"Yes","2010","Not Employed","(Married) couple without C. ","","","","","1"
"Yes","2010","Not Employed","Single parent ","","","","","1"
"Yes","2010","Not Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2010","Not Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2010","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2010","Employed","1-pers.-HH","","","","","1"
"Yes","2010","Employed","(Married) couple without C. ","","","","","1"
