"ple0012","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","in school","West Germany","","","",""
"Yes","2009","in school","East Germany","","","",""
"Yes","2009","inadequately","West Germany","11","","",""
"Yes","2009","inadequately","East Germany","1","","",""
"Yes","2009","general elemantary","West Germany","154","0.107949454739492","0.0924809510854287","0.123417958393556"
"Yes","2009","general elemantary","East Germany","37","0.161142735860149","0.11695958599897","0.205325885721328"
"Yes","2009","middle vocational","West Germany","494","0.0748469094508166","0.0685469229711966","0.0811468959304365"
"Yes","2009","middle vocational","East Germany","241","0.0953611771490877","0.0836323900357811","0.107089964262394"
"Yes","2009","vocational + Abi","West Germany","30","0.0409054882129515","0.0275899071981965","0.0542210692277064"
"Yes","2009","vocational + Abi","East Germany","3","","",""
"Yes","2009","higher vocational","West Germany","67","0.076964008148741","0.0601474315167846","0.0937805847806974"
"Yes","2009","higher vocational","East Germany","35","0.0730097970563157","0.0466087094717549","0.0994108846408765"
"Yes","2009","higher education","West Germany","127","0.0408151889121583","0.0335382124030323","0.0480921654212843"
"Yes","2009","higher education","East Germany","113","0.0900663875124267","0.0739294481703337","0.10620332685452"
"No","2009","in school","West Germany","258","1","1","1"
"No","2009","in school","East Germany","55","1","1","1"
"No","2009","inadequately","West Germany","142","0.963218233931892","0.933393195481913","0.993043272381871"
"No","2009","inadequately","East Germany","15","","",""
"No","2009","general elemantary","West Germany","1392","0.892050545260508","0.876582041606444","0.907519048914571"
"No","2009","general elemantary","East Germany","229","0.838857264139851","0.794674114278672","0.88304041400103"
"No","2009","middle vocational","West Germany","6208","0.925153090549183","0.918853104069564","0.931453077028803"
"No","2009","middle vocational","East Germany","2168","0.904638822850912","0.892910035737606","0.916367609964219"
"No","2009","vocational + Abi","West Germany","820","0.959094511787049","0.945778930772294","0.972410092801803"
"No","2009","vocational + Abi","East Germany","150","0.98483658532383","0.965473125071764","1.0042000455759"
"No","2009","higher vocational","West Germany","898","0.923035991851259","0.906219415219303","0.939852568483215"
"No","2009","higher vocational","East Germany","338","0.926990202943684","0.900589115359123","0.953391290528245"
"No","2009","higher education","West Germany","2713","0.959184811087842","0.951907834578716","0.966461787596968"
"No","2009","higher education","East Germany","1096","0.909933612487573","0.89379667314548","0.926070551829666"
"Yes","2010","in school","West Germany","","","",""
"Yes","2010","in school","East Germany","","","",""
"Yes","2010","inadequately","West Germany","","","",""
"Yes","2010","inadequately","East Germany","","","",""
"Yes","2010","general elemantary","West Germany","","","",""
"Yes","2010","general elemantary","East Germany","","","",""
"Yes","2010","middle vocational","West Germany","","","",""
"Yes","2010","middle vocational","East Germany","","","",""
"Yes","2010","vocational + Abi","West Germany","","","",""
"Yes","2010","vocational + Abi","East Germany","","","",""
"Yes","2010","higher vocational","West Germany","","","",""
"Yes","2010","higher vocational","East Germany","","","",""
"Yes","2010","higher education","West Germany","","","",""
"Yes","2010","higher education","East Germany","","","",""
"No","2010","in school","West Germany","","","",""
"No","2010","in school","East Germany","","","",""
"No","2010","inadequately","West Germany","","","",""
"No","2010","inadequately","East Germany","","","",""
"No","2010","general elemantary","West Germany","","","",""
"No","2010","general elemantary","East Germany","","","",""
"No","2010","middle vocational","West Germany","","","",""
"No","2010","middle vocational","East Germany","","","",""
"No","2010","vocational + Abi","West Germany","","","",""
"No","2010","vocational + Abi","East Germany","","","",""
"No","2010","higher vocational","West Germany","","","",""
"No","2010","higher vocational","East Germany","","","",""
"No","2010","higher education","West Germany","","","",""
"No","2010","higher education","East Germany","","","",""
"Yes","2011","in school","West Germany","","","",""
"Yes","2011","in school","East Germany","","","",""
"Yes","2011","inadequately","West Germany","21","","",""
"Yes","2011","inadequately","East Germany","2","","",""
"Yes","2011","general elemantary","West Germany","195","0.115837999942351","0.101406098309338","0.130269901575364"
"Yes","2011","general elemantary","East Germany","48","0.174381293439591","0.13137300037282","0.217389586506362"
"Yes","2011","middle vocational","West Germany","642","0.0867434159964677","0.0805380590749679","0.0929487729179675"
"Yes","2011","middle vocational","East Germany","295","0.117991666989226","0.105697552153677","0.130285781824774"
"Yes","2011","vocational + Abi","West Germany","39","0.0378059439474264","0.0261638758223018","0.049448012072551"
"Yes","2011","vocational + Abi","East Germany","3","","",""
"Yes","2011","higher vocational","West Germany","77","0.0772851165218366","0.0611327880626704","0.0934374449810028"
"Yes","2011","higher vocational","East Germany","47","0.0975536230936581","0.0686208665223531","0.126486379664963"
"Yes","2011","higher education","West Germany","162","0.0438247340839822","0.0368489386234866","0.0508005295444777"
"Yes","2011","higher education","East Germany","138","0.096769727489516","0.0806489554904475","0.112890499488584"
"No","2011","in school","West Germany","278","1","1","1"
"No","2011","in school","East Germany","35","1","1","1"
"No","2011","inadequately","West Germany","183","0.870684504075506","0.824638844351621","0.916730163799391"
"No","2011","inadequately","East Germany","27","","",""
"No","2011","general elemantary","West Germany","1694","0.884162000057649","0.869730098424636","0.898593901690662"
"No","2011","general elemantary","East Germany","251","0.825618706560409","0.782610413493638","0.86862699962718"
"No","2011","middle vocational","West Germany","7261","0.913256584003532","0.907051227082032","0.919461940925032"
"No","2011","middle vocational","East Germany","2350","0.882008333010775","0.869714218175226","0.894302447846323"
"No","2011","vocational + Abi","West Germany","992","0.962194056052574","0.950551987927449","0.973836124177698"
"No","2011","vocational + Abi","East Germany","175","0.989086598459709","0.973823759711871","1.00434943720755"
"No","2011","higher vocational","West Germany","973","0.922714883478163","0.906562555018997","0.93886721193733"
"No","2011","higher vocational","East Germany","357","0.902446376906342","0.873513620335037","0.931379133477647"
"No","2011","higher education","West Germany","3146","0.956175265916018","0.949199470455522","0.963151061376513"
"No","2011","higher education","East Germany","1154","0.903230272510484","0.887109500511416","0.919351044509553"
"Yes","2012","in school","West Germany","","","",""
"Yes","2012","in school","East Germany","","","",""
"Yes","2012","inadequately","West Germany","","","",""
"Yes","2012","inadequately","East Germany","","","",""
"Yes","2012","general elemantary","West Germany","","","",""
"Yes","2012","general elemantary","East Germany","","","",""
"Yes","2012","middle vocational","West Germany","","","",""
"Yes","2012","middle vocational","East Germany","","","",""
"Yes","2012","vocational + Abi","West Germany","","","",""
"Yes","2012","vocational + Abi","East Germany","","","",""
"Yes","2012","higher vocational","West Germany","","","",""
"Yes","2012","higher vocational","East Germany","","","",""
"Yes","2012","higher education","West Germany","","","",""
"Yes","2012","higher education","East Germany","","","",""
"No","2012","in school","West Germany","","","",""
"No","2012","in school","East Germany","","","",""
"No","2012","inadequately","West Germany","","","",""
"No","2012","inadequately","East Germany","","","",""
"No","2012","general elemantary","West Germany","","","",""
"No","2012","general elemantary","East Germany","","","",""
"No","2012","middle vocational","West Germany","","","",""
"No","2012","middle vocational","East Germany","","","",""
"No","2012","vocational + Abi","West Germany","","","",""
"No","2012","vocational + Abi","East Germany","","","",""
"No","2012","higher vocational","West Germany","","","",""
"No","2012","higher vocational","East Germany","","","",""
"No","2012","higher education","West Germany","","","",""
"No","2012","higher education","East Germany","","","",""
"Yes","2013","in school","West Germany","","","",""
"Yes","2013","in school","East Germany","","","",""
"Yes","2013","inadequately","West Germany","16","","",""
"Yes","2013","inadequately","East Germany","2","","",""
"Yes","2013","general elemantary","West Germany","187","0.123755316609828","0.107709808915228","0.139800824304428"
"Yes","2013","general elemantary","East Germany","37","0.15125610914303","0.10666307289781","0.19584914538825"
"Yes","2013","middle vocational","West Germany","631","0.0930264282309227","0.0862642482452187","0.0997886082166266"
"Yes","2013","middle vocational","East Germany","318","0.136129526727085","0.122326230875964","0.149932822578205"
"Yes","2013","vocational + Abi","West Germany","44","0.0485860773400657","0.0347828447958819","0.0623893098842496"
"Yes","2013","vocational + Abi","East Germany","5","","",""
