"ple0012","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","16-34 y.","1-pers.-HH","547","0.986763772576868","0.977229945713348","0.996297599440387","2"
"No","2009","16-34 y.","Couple + C. GT 16 ","1078","0.993672194506454","0.988945218767608","0.9983991702453","2"
"No","2009","35-65 y.","Couple + C. GT 16 ","1782","0.939506619997889","0.928798370864081","0.950214869131697","2"
"No","2009","16-34 y.","Single parent ","403","1","1","1","2"
"No","2009","16-34 y.","Couple + C. LE 16 ","749","0.988216859395454","0.980539995119548","0.995893723671361","2"
"No","2009","66 and older","1-pers.-HH","950","0.805895456439793","0.783319383850934","0.828471529028652","2"
"No","2009","66 and older","(Married) couple without C. ","2242","0.830936806541895","0.816838345569852","0.845035267513938","2"
"No","2009","66 and older","Couple + C. LE 16 ","4","","","","2"
"No","2009","66 and older","Couple + C. GT 16 ","147","0.821750218084637","0.765839347322579","0.877661088846694","2"
"No","2009","66 and older","Couple + C. LE and GT 16","2","","","","2"
"No","2009","35-65 y.","Couple + C. LE and GT 16","783","0.965858471024347","0.953329668806469","0.978387273242225","2"
"No","2009","16-34 y.","(Married) couple without C. ","741","0.996689971587215","0.992562752452378","1.00081719072205","2"
"No","2009","66 and older","Single parent ","50","0.826428424638036","0.732153938919873","0.9207029103562","2"
"No","2009","16-34 y.","Couple + C. LE and GT 16","371","0.999865796364664","0.998688652299687","1.00104294042964","2"
"No","2009","35-65 y.","1-pers.-HH","1098","0.932533248974307","0.918215714108913","0.946850783839702","2"
"No","2009","35-65 y.","(Married) couple without C. ","3000","0.929230604352809","0.920375986577542","0.938085222128075","2"
"No","2009","35-65 y.","Single parent ","515","0.972844344778098","0.95901974227826","0.986668947277935","2"
"No","2009","35-65 y.","Couple + C. LE 16 ","2051","0.982704646089488","0.977123431983676","0.9882858601953","2"
"Yes","2009","16-34 y.","1-pers.-HH","5","","","","1"
"Yes","2009","16-34 y.","(Married) couple without C. ","3","","","","1"
"Yes","2009","16-34 y.","Single parent ","","","","","1"
"Yes","2009","16-34 y.","Couple + C. LE 16 ","10","","","","1"
"Yes","2009","16-34 y.","Couple + C. GT 16 ","3","","","","1"
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","1","","","","1"
"Yes","2009","35-65 y.","1-pers.-HH","81","0.0674667510256925","0.0531492161602981","0.0817842858910869","1"
"Yes","2009","35-65 y.","(Married) couple without C. ","222","0.0707693956471915","0.0619147778719247","0.0796240134224584","1"
"Yes","2009","35-65 y.","Single parent ","16","","","","1"
"Yes","2009","35-65 y.","Couple + C. LE 16 ","45","0.0172953539105118","0.0117141398046999","0.0228765680163238","1"
"Yes","2009","35-65 y.","Couple + C. GT 16 ","122","0.060493380002111","0.049785130868303","0.0712016291359191","1"
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","24","","","","1"
"Yes","2009","66 and older","1-pers.-HH","229","0.194104543560207","0.171528470971348","0.216680616149066","1"
"Yes","2009","66 and older","(Married) couple without C. ","473","0.169063193458105","0.154964732486062","0.183161654430148","1"
"Yes","2009","66 and older","Single parent ","12","","","","1"
"Yes","2009","66 and older","Couple + C. LE 16 ","1","","","","1"
"Yes","2009","66 and older","Couple + C. GT 16 ","33","0.178249781915363","0.122338911153306","0.234160652677421","1"
"Yes","2009","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","2010","35-65 y.","Couple + C. GT 16 ","","","","","2"
"No","2010","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"No","2010","66 and older","1-pers.-HH","","","","","2"
"No","2010","66 and older","(Married) couple without C. ","","","","","2"
"No","2010","16-34 y.","1-pers.-HH","","","","","2"
"No","2010","16-34 y.","Single parent ","","","","","2"
"No","2010","16-34 y.","Couple + C. LE 16 ","","","","","2"
"No","2010","16-34 y.","Couple + C. GT 16 ","","","","","2"
"No","2010","66 and older","Single parent ","","","","","2"
"No","2010","66 and older","Couple + C. LE 16 ","","","","","2"
"No","2010","66 and older","Couple + C. GT 16 ","","","","","2"
"No","2010","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","2010","16-34 y.","(Married) couple without C. ","","","","","2"
"No","2010","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"No","2010","35-65 y.","1-pers.-HH","","","","","2"
"No","2010","35-65 y.","(Married) couple without C. ","","","","","2"
"No","2010","35-65 y.","Single parent ","","","","","2"
"No","2010","35-65 y.","Couple + C. LE 16 ","","","","","2"
"Yes","2010","16-34 y.","1-pers.-HH","","","","","1"
"Yes","2010","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","2010","16-34 y.","Single parent ","","","","","1"
"Yes","2010","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","2010","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","2010","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","2010","35-65 y.","1-pers.-HH","","","","","1"
"Yes","2010","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","2010","35-65 y.","Single parent ","","","","","1"
"Yes","2010","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","2010","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","2010","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","2010","66 and older","1-pers.-HH","","","","","1"
"Yes","2010","66 and older","(Married) couple without C. ","","","","","1"
"Yes","2010","66 and older","Single parent ","","","","","1"
"Yes","2010","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","2010","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","2010","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","2011","16-34 y.","1-pers.-HH","633","0.989886282501447","0.982122277366977","0.997650287635918","2"
"No","2011","35-65 y.","Couple + C. GT 16 ","1797","0.932994075810428","0.921824703489661","0.944163448131194","2"
"No","2011","35-65 y.","Couple + C. LE and GT 16","816","0.958466734943006","0.945022085940474","0.971911383945538","2"
"No","2011","66 and older","1-pers.-HH","1176","0.823494125649182","0.803836819472927","0.843151431825437","2"
"No","2011","66 and older","(Married) couple without C. ","2754","0.819701118510531","0.806698463939229","0.832703773081832","2"
"No","2011","66 and older","Single parent ","66","0.810180988809771","0.724779299982878","0.895582677636663","2"
"No","2011","66 and older","Couple + C. LE 16 ","5","","","","2"
"No","2011","66 and older","Couple + C. GT 16 ","170","0.826288642035194","0.77429945737257","0.878277826697818","2"
"No","2011","66 and older","Couple + C. LE and GT 16","1","","","","2"
"No","2011","16-34 y.","(Married) couple without C. ","825","0.991053040267437","0.984666126630517","0.997439953904357","2"
"No","2011","16-34 y.","Single parent ","444","0.984603718574088","0.973215295914467","0.995992141233709","2"
"No","2011","16-34 y.","Couple + C. LE 16 ","801","0.99157659179162","0.985278907476193","0.997874276107048","2"
"No","2011","16-34 y.","Couple + C. GT 16 ","1067","0.992458677249311","0.987279858890217","0.997637495608405","2"
"No","2011","16-34 y.","Couple + C. LE and GT 16","385","0.99741790288468","0.992361781701979","1.00247402406738","2"
"No","2011","35-65 y.","1-pers.-HH","1382","0.929642655227209","0.916661240911683","0.942624069542735","2"
"No","2011","35-65 y.","(Married) couple without C. ","3622","0.91926603328665","0.910772500348182","0.927759566225118","2"
"No","2011","35-65 y.","Single parent ","618","0.945439270603742","0.927897959142067","0.962980582065417","2"
"No","2011","35-65 y.","Couple + C. LE 16 ","2248","0.976834148813274","0.970687699146234","0.982980598480315","2"
"Yes","2011","16-34 y.","1-pers.-HH","5","","","","1"
"Yes","2011","16-34 y.","(Married) couple without C. ","10","","","","1"
"Yes","2011","16-34 y.","Single parent ","5","","","","1"
"Yes","2011","16-34 y.","Couple + C. LE 16 ","8","","","","1"
"Yes","2011","16-34 y.","Couple + C. GT 16 ","5","","","","1"
"Yes","2011","16-34 y.","Couple + C. LE and GT 16","2","","","","1"
"Yes","2011","35-65 y.","1-pers.-HH","109","0.0703573447727908","0.0573759304572645","0.0833387590883171","1"
"Yes","2011","35-65 y.","(Married) couple without C. ","330","0.0807339667133498","0.0722404337748817","0.089227499651818","1"
"Yes","2011","35-65 y.","Single parent ","26","","","","1"
"Yes","2011","35-65 y.","Couple + C. LE 16 ","53","0.0231658511867255","0.0170194015196854","0.0293123008537656","1"
"Yes","2011","35-65 y.","Couple + C. GT 16 ","128","0.0670059241895724","0.0558365518688058","0.078175296510339","1"
"Yes","2011","35-65 y.","Couple + C. LE and GT 16","30","0.0415332650569943","0.0280886160544622","0.0549779140595264","1"
"Yes","2011","66 and older","1-pers.-HH","269","0.176505874350818","0.156848568174563","0.196163180527073","1"
"Yes","2011","66 and older","(Married) couple without C. ","604","0.180298881489469","0.167296226918168","0.193301536060771","1"
"Yes","2011","66 and older","Single parent ","15","","","","1"
"Yes","2011","66 and older","Couple + C. LE 16 ","2","","","","1"
"Yes","2011","66 and older","Couple + C. GT 16 ","34","0.173711357964806","0.121722173302182","0.22570054262743","1"
"Yes","2011","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","2012","16-34 y.","1-pers.-HH","","","","","2"
"No","2012","16-34 y.","(Married) couple without C. ","","","","","2"
"No","2012","16-34 y.","Single parent ","","","","","2"
"No","2012","16-34 y.","Couple + C. LE 16 ","","","","","2"
"No","2012","16-34 y.","Couple + C. GT 16 ","","","","","2"
"No","2012","35-65 y.","Couple + C. GT 16 ","","","","","2"
"No","2012","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"No","2012","66 and older","1-pers.-HH","","","","","2"
"No","2012","66 and older","(Married) couple without C. ","","","","","2"
"No","2012","66 and older","Single parent ","","","","","2"
"No","2012","66 and older","Couple + C. LE 16 ","","","","","2"
"No","2012","66 and older","Couple + C. GT 16 ","","","","","2"
"No","2012","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","2012","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"No","2012","35-65 y.","1-pers.-HH","","","","","2"
"No","2012","35-65 y.","(Married) couple without C. ","","","","","2"
"No","2012","35-65 y.","Single parent ","","","","","2"
"No","2012","35-65 y.","Couple + C. LE 16 ","","","","","2"
"Yes","2012","16-34 y.","1-pers.-HH","","","","","1"
"Yes","2012","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","2012","16-34 y.","Single parent ","","","","","1"
"Yes","2012","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","2012","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","2012","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","2012","35-65 y.","1-pers.-HH","","","","","1"
"Yes","2012","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","2012","35-65 y.","Single parent ","","","","","1"
"Yes","2012","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","2012","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","2012","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","2012","66 and older","1-pers.-HH","","","","","1"
"Yes","2012","66 and older","(Married) couple without C. ","","","","","1"
"Yes","2012","66 and older","Single parent ","","","","","1"
"Yes","2012","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","2012","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","2012","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","2013","16-34 y.","1-pers.-HH","609","0.99792300359765","0.99431311437385","1.00153289282145","2"
"No","2013","16-34 y.","(Married) couple without C. ","732","0.997281921499817","0.993517966762157","1.00104587623748","2"
"No","2013","16-34 y.","Single parent ","397","0.98072701814709","0.967287503323121","0.994166532971058","2"
"No","2013","16-34 y.","Couple + C. LE 16 ","695","0.991643868719878","0.984914862632055","0.998372874807701","2"
"No","2013","16-34 y.","Couple + C. GT 16 ","839","0.997603106932278","0.994300208100027","1.00090600576453","2"
