"ple0012","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","369","1","1","1"
"Yes","2009","lower secondary degree","Female","377","1","1","1"
"Yes","2009","secondary school degree","Male","155","1","1","1"
"Yes","2009","secondary school degree","Female","127","1","1","1"
"Yes","2009","college entrance qualification","Male","148","1","1","1"
"Yes","2009","college entrance qualification","Female","55","1","1","1"
"Yes","2009","Other degree","Male","32","1","1","1"
"Yes","2009","Other degree","Female","28","","",""
"Yes","2009","no degree/no degree yet","Male","3","","",""
"Yes","2009","no degree/no degree yet","Female","13","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","452","1","1","1"
"Yes","2011","lower secondary degree","Female","435","1","1","1"
"Yes","2011","secondary school degree","Male","210","1","1","1"
"Yes","2011","secondary school degree","Female","181","1","1","1"
"Yes","2011","college entrance qualification","Male","182","1","1","1"
"Yes","2011","college entrance qualification","Female","70","1","1","1"
"Yes","2011","Other degree","Male","53","1","1","1"
"Yes","2011","Other degree","Female","48","1","1","1"
"Yes","2011","no degree/no degree yet","Male","13","","",""
"Yes","2011","no degree/no degree yet","Female","18","","",""
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","436","1","1","1"
"Yes","2013","lower secondary degree","Female","406","1","1","1"
"Yes","2013","secondary school degree","Male","230","1","1","1"
"Yes","2013","secondary school degree","Female","201","1","1","1"
"Yes","2013","college entrance qualification","Male","206","1","1","1"
"Yes","2013","college entrance qualification","Female","78","1","1","1"
"Yes","2013","Other degree","Male","55","1","1","1"
"Yes","2013","Other degree","Female","51","1","1","1"
"Yes","2013","no degree/no degree yet","Male","10","","",""
"Yes","2013","no degree/no degree yet","Female","17","","",""
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","410","1","1","1"
"Yes","2015","lower secondary degree","Female","385","1","1","1"
"Yes","2015","secondary school degree","Male","240","1","1","1"
"Yes","2015","secondary school degree","Female","226","1","1","1"
"Yes","2015","college entrance qualification","Male","218","1","1","1"
"Yes","2015","college entrance qualification","Female","114","1","1","1"
"Yes","2015","Other degree","Male","97","1","1","1"
"Yes","2015","Other degree","Female","76","1","1","1"
"Yes","2015","no degree/no degree yet","Male","19","","",""
"Yes","2015","no degree/no degree yet","Female","31","1","1","1"
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","407","1","1","1"
"Yes","2017","lower secondary degree","Female","360","1","1","1"
"Yes","2017","secondary school degree","Male","273","1","1","1"
"Yes","2017","secondary school degree","Female","268","1","1","1"
"Yes","2017","college entrance qualification","Male","239","1","1","1"
"Yes","2017","college entrance qualification","Female","121","1","1","1"
"Yes","2017","Other degree","Male","114","1","1","1"
"Yes","2017","Other degree","Female","92","1","1","1"
"Yes","2017","no degree/no degree yet","Male","26","","",""
"Yes","2017","no degree/no degree yet","Female","36","1","1","1"
"Yes","2018","lower secondary degree","Male","","","",""
"Yes","2018","lower secondary degree","Female","","","",""
"Yes","2018","secondary school degree","Male","","","",""
"Yes","2018","secondary school degree","Female","","","",""
"Yes","2018","college entrance qualification","Male","","","",""
"Yes","2018","college entrance qualification","Female","","","",""
"Yes","2018","Other degree","Male","","","",""
"Yes","2018","Other degree","Female","","","",""
"Yes","2018","no degree/no degree yet","Male","","","",""
"Yes","2018","no degree/no degree yet","Female","","","",""
"Yes","2019","lower secondary degree","Male","377","1","1","1"
"Yes","2019","lower secondary degree","Female","328","1","1","1"
"Yes","2019","secondary school degree","Male","290","1","1","1"
"Yes","2019","secondary school degree","Female","266","1","1","1"
"Yes","2019","college entrance qualification","Male","265","1","1","1"
"Yes","2019","college entrance qualification","Female","133","1","1","1"
"Yes","2019","Other degree","Male","100","1","1","1"
"Yes","2019","Other degree","Female","86","1","1","1"
"Yes","2019","no degree/no degree yet","Male","27","","",""
"Yes","2019","no degree/no degree yet","Female","34","1","1","1"
