"ple0012","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","lower secondary degree","7","","",""
"Yes","2009","16-34 y.","secondary school degree","8","","",""
"Yes","2009","16-34 y.","college entrance qualification","6","","",""
"Yes","2009","16-34 y.","Other degree","1","","",""
"Yes","2009","16-34 y.","no degree/no degree yet","","","",""
"Yes","2009","35-65 y.","lower secondary degree","217","1","1","1"
"Yes","2009","35-65 y.","secondary school degree","166","1","1","1"
"Yes","2009","35-65 y.","college entrance qualification","105","1","1","1"
"Yes","2009","35-65 y.","Other degree","26","","",""
"Yes","2009","35-65 y.","no degree/no degree yet","9","","",""
"Yes","2009","66 and older","lower secondary degree","522","1","1","1"
"Yes","2009","66 and older","secondary school degree","108","1","1","1"
"Yes","2009","66 and older","college entrance qualification","92","1","1","1"
"Yes","2009","66 and older","Other degree","33","1","1","1"
"Yes","2009","66 and older","no degree/no degree yet","7","","",""
"Yes","2010","16-34 y.","lower secondary degree","","","",""
"Yes","2010","16-34 y.","secondary school degree","","","",""
"Yes","2010","16-34 y.","college entrance qualification","","","",""
"Yes","2010","16-34 y.","Other degree","","","",""
"Yes","2010","16-34 y.","no degree/no degree yet","","","",""
"Yes","2010","35-65 y.","lower secondary degree","","","",""
"Yes","2010","35-65 y.","secondary school degree","","","",""
"Yes","2010","35-65 y.","college entrance qualification","","","",""
"Yes","2010","35-65 y.","Other degree","","","",""
"Yes","2010","35-65 y.","no degree/no degree yet","","","",""
"Yes","2010","66 and older","lower secondary degree","","","",""
"Yes","2010","66 and older","secondary school degree","","","",""
"Yes","2010","66 and older","college entrance qualification","","","",""
"Yes","2010","66 and older","Other degree","","","",""
"Yes","2010","66 and older","no degree/no degree yet","","","",""
"Yes","2011","16-34 y.","lower secondary degree","10","","",""
"Yes","2011","16-34 y.","secondary school degree","12","","",""
"Yes","2011","16-34 y.","college entrance qualification","11","","",""
"Yes","2011","16-34 y.","Other degree","1","","",""
"Yes","2011","16-34 y.","no degree/no degree yet","","","",""
"Yes","2011","35-65 y.","lower secondary degree","284","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","227","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","118","1","1","1"
"Yes","2011","35-65 y.","Other degree","46","1","1","1"
"Yes","2011","35-65 y.","no degree/no degree yet","17","","",""
"Yes","2011","66 and older","lower secondary degree","593","1","1","1"
"Yes","2011","66 and older","secondary school degree","152","1","1","1"
"Yes","2011","66 and older","college entrance qualification","123","1","1","1"
"Yes","2011","66 and older","Other degree","54","1","1","1"
"Yes","2011","66 and older","no degree/no degree yet","14","","",""
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
"Yes","2012","66 and older","college entrance qualification","","","",""
"Yes","2012","66 and older","Other degree","","","",""
"Yes","2012","66 and older","no degree/no degree yet","","","",""
"Yes","2013","16-34 y.","lower secondary degree","6","","",""
"Yes","2013","16-34 y.","secondary school degree","8","","",""
"Yes","2013","16-34 y.","college entrance qualification","9","","",""
"Yes","2013","16-34 y.","Other degree","","","",""
"Yes","2013","16-34 y.","no degree/no degree yet","","","",""
"Yes","2013","35-65 y.","lower secondary degree","271","1","1","1"
"Yes","2013","35-65 y.","secondary school degree","239","1","1","1"
"Yes","2013","35-65 y.","college entrance qualification","126","1","1","1"
"Yes","2013","35-65 y.","Other degree","50","1","1","1"
"Yes","2013","35-65 y.","no degree/no degree yet","13","","",""
"Yes","2013","66 and older","lower secondary degree","565","1","1","1"
"Yes","2013","66 and older","secondary school degree","184","1","1","1"
"Yes","2013","66 and older","college entrance qualification","149","1","1","1"
"Yes","2013","66 and older","Other degree","56","1","1","1"
"Yes","2013","66 and older","no degree/no degree yet","14","","",""
"Yes","2014","16-34 y.","lower secondary degree","","","",""
"Yes","2014","16-34 y.","secondary school degree","","","",""
"Yes","2014","16-34 y.","college entrance qualification","","","",""
"Yes","2014","16-34 y.","Other degree","","","",""
"Yes","2014","16-34 y.","no degree/no degree yet","","","",""
"Yes","2014","35-65 y.","lower secondary degree","","","",""
"Yes","2014","35-65 y.","secondary school degree","","","",""
"Yes","2014","35-65 y.","college entrance qualification","","","",""
"Yes","2014","35-65 y.","Other degree","","","",""
"Yes","2014","35-65 y.","no degree/no degree yet","","","",""
"Yes","2014","66 and older","lower secondary degree","","","",""
"Yes","2014","66 and older","secondary school degree","","","",""
"Yes","2014","66 and older","college entrance qualification","","","",""
"Yes","2014","66 and older","Other degree","","","",""
"Yes","2014","66 and older","no degree/no degree yet","","","",""
"Yes","2015","16-34 y.","lower secondary degree","14","","",""
"Yes","2015","16-34 y.","secondary school degree","15","","",""
"Yes","2015","16-34 y.","college entrance qualification","17","","",""
"Yes","2015","16-34 y.","Other degree","2","","",""
"Yes","2015","16-34 y.","no degree/no degree yet","4","","",""
"Yes","2015","35-65 y.","lower secondary degree","248","1","1","1"
"Yes","2015","35-65 y.","secondary school degree","278","1","1","1"
"Yes","2015","35-65 y.","college entrance qualification","161","1","1","1"
"Yes","2015","35-65 y.","Other degree","102","1","1","1"
"Yes","2015","35-65 y.","no degree/no degree yet","33","1","1","1"
"Yes","2015","66 and older","lower secondary degree","533","1","1","1"
"Yes","2015","66 and older","secondary school degree","173","1","1","1"
"Yes","2015","66 and older","college entrance qualification","154","1","1","1"
"Yes","2015","66 and older","Other degree","69","1","1","1"
"Yes","2015","66 and older","no degree/no degree yet","13","","",""
"Yes","2016","16-34 y.","lower secondary degree","","","",""
"Yes","2016","16-34 y.","secondary school degree","","","",""
"Yes","2016","16-34 y.","college entrance qualification","","","",""
"Yes","2016","16-34 y.","Other degree","","","",""
"Yes","2016","16-34 y.","no degree/no degree yet","","","",""
"Yes","2016","35-65 y.","lower secondary degree","","","",""
"Yes","2016","35-65 y.","secondary school degree","","","",""
"Yes","2016","35-65 y.","college entrance qualification","","","",""
"Yes","2016","35-65 y.","Other degree","","","",""
"Yes","2016","35-65 y.","no degree/no degree yet","","","",""
"Yes","2016","66 and older","lower secondary degree","","","",""
"Yes","2016","66 and older","secondary school degree","","","",""
"Yes","2016","66 and older","college entrance qualification","","","",""
"Yes","2016","66 and older","Other degree","","","",""
"Yes","2016","66 and older","no degree/no degree yet","","","",""
"Yes","2017","16-34 y.","lower secondary degree","13","","",""
"Yes","2017","16-34 y.","secondary school degree","21","","",""
"Yes","2017","16-34 y.","college entrance qualification","12","","",""
"Yes","2017","16-34 y.","Other degree","4","","",""
"Yes","2017","16-34 y.","no degree/no degree yet","4","","",""
"Yes","2017","35-65 y.","lower secondary degree","268","1","1","1"
"Yes","2017","35-65 y.","secondary school degree","311","1","1","1"
"Yes","2017","35-65 y.","college entrance qualification","179","1","1","1"
"Yes","2017","35-65 y.","Other degree","131","1","1","1"
"Yes","2017","35-65 y.","no degree/no degree yet","41","1","1","1"
"Yes","2017","66 and older","lower secondary degree","486","1","1","1"
"Yes","2017","66 and older","secondary school degree","209","1","1","1"
"Yes","2017","66 and older","college entrance qualification","169","1","1","1"
"Yes","2017","66 and older","Other degree","71","1","1","1"
"Yes","2017","66 and older","no degree/no degree yet","17","","",""
"Yes","2018","16-34 y.","lower secondary degree","","","",""
"Yes","2018","16-34 y.","secondary school degree","","","",""
"Yes","2018","16-34 y.","college entrance qualification","","","",""
"Yes","2018","16-34 y.","Other degree","","","",""
"Yes","2018","16-34 y.","no degree/no degree yet","","","",""
"Yes","2018","35-65 y.","lower secondary degree","","","",""
"Yes","2018","35-65 y.","secondary school degree","","","",""
"Yes","2018","35-65 y.","college entrance qualification","","","",""
"Yes","2018","35-65 y.","Other degree","","","",""
"Yes","2018","35-65 y.","no degree/no degree yet","","","",""
