"ple0012","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","vocational + Abi","149","0.947313720173391","0.91214327036696","0.982484169979822","2"
"No","2009","Single parent ","in school","45","1","1","1","2"
"No","2009","(Married) couple without C. ","vocational + Abi","275","0.929638018507851","0.900403200499237","0.958872836516464","2"
"No","2009","1-pers.-HH","inadequately","24","","","","2"
"No","2009","(Married) couple without C. ","middle vocational","3128","0.894829590736499","0.88469241153158","0.904966769941418","2"
"No","2009","1-pers.-HH","in school","1","","","","2"
"No","2009","Couple + C. LE 16 ","middle vocational","1333","0.983920143663088","0.977230250007608","0.990610037318567","2"
"No","2009","Couple + C. LE 16 ","in school","","","","","2"
"No","2009","Couple + C. GT 16 ","general elemantary","331","0.954951077192781","0.933033041159131","0.976869113226432","2"
"No","2009","Couple + C. GT 16 ","middle vocational","1492","0.947709158141009","0.936756740823351","0.958661575458667","2"
"No","2009","Single parent ","higher education","152","0.986973157914095","0.969064626392095","1.0048816894361","2"
"No","2009","Couple + C. GT 16 ","higher education","559","0.957182115662758","0.940748856525191","0.973615374800326","2"
"No","2009","Couple + C. LE and GT 16","in school","119","1","1","1","2"
"No","2009","Couple + C. LE and GT 16","inadequately","10","","","","2"
"No","2009","Couple + C. LE and GT 16","general elemantary","134","0.959876146177893","0.927013939189488","0.992738353166298","2"
"No","2009","Couple + C. LE and GT 16","middle vocational","479","0.977730322168224","0.96467841866832","0.990782225668128","2"
"No","2009","Couple + C. LE and GT 16","vocational + Abi","66","0.957057782546328","0.909223985266917","1.00489157982574","2"
"No","2009","Couple + C. LE and GT 16","higher vocational","77","0.985357652784202","0.958701155162816","1.01201415040559","2"
"No","2009","Couple + C. LE and GT 16","higher education","203","0.973770179957449","0.952103077404026","0.995437282510871","2"
"No","2009","1-pers.-HH","general elemantary","316","0.802460367961953","0.763246524161564","0.841674211762342","2"
"No","2009","1-pers.-HH","middle vocational","1329","0.888631060655065","0.872732164992091","0.90452995631804","2"
"No","2009","(Married) couple without C. ","higher vocational","465","0.888940817424548","0.861856588256044","0.916025046593051","2"
"No","2009","(Married) couple without C. ","higher education","1586","0.922764212536474","0.910234834539363","0.935293590533584","2"
"No","2009","Couple + C. LE 16 ","inadequately","24","","","","2"
"No","2009","Couple + C. LE 16 ","general elemantary","175","0.977097942663915","0.955305038861186","0.998890846466644","2"
"No","2009","Couple + C. GT 16 ","vocational + Abi","137","0.979174053893817","0.955603442198985","1.00274466558865","2"
"No","2009","Couple + C. GT 16 ","higher vocational","191","0.931845017200495","0.897678902238318","0.966011132162672","2"
"No","2009","1-pers.-HH","higher vocational","173","0.925729519598144","0.888247814508036","0.963211224688252","2"
"No","2009","1-pers.-HH","higher education","574","0.939599950726945","0.92072601294469","0.958473888509199","2"
"No","2009","(Married) couple without C. ","in school","3","","","","2"
"No","2009","(Married) couple without C. ","inadequately","49","0.964580280740204","0.915280730408645","1.01387983107176","2"
"No","2009","(Married) couple without C. ","general elemantary","445","0.852604720423488","0.82210610904521","0.883103331801766","2"
"No","2009","Single parent ","inadequately","17","","","","2"
"No","2009","Single parent ","general elemantary","167","0.980296274987252","0.959526264651169","1.00106628532334","2"
"No","2009","Single parent ","middle vocational","461","0.968053684418346","0.952337914475768","0.983769454360925","2"
"No","2009","Single parent ","vocational + Abi","44","1","1","1","2"
"No","2009","Single parent ","higher vocational","35","1","1","1","2"
"No","2009","Couple + C. LE 16 ","vocational + Abi","284","0.99807409100457","0.992984007199503","1.00316417480964","2"
"No","2009","Couple + C. LE 16 ","higher vocational","279","0.960994590816656","0.938749996631125","0.983239185002186","2"
"No","2009","Couple + C. LE 16 ","higher education","696","0.993796217380212","0.988004295493662","0.999588139266763","2"
"No","2009","Couple + C. GT 16 ","in school","139","1","1","1","2"
"No","2009","Couple + C. GT 16 ","inadequately","28","","","","2"
"Yes","2009","1-pers.-HH","in school","","","","","1"
"Yes","2009","1-pers.-HH","inadequately","1","","","","1"
"Yes","2009","1-pers.-HH","general elemantary","80","0.197539632038047","0.158325788237658","0.236753475838436","1"
"Yes","2009","1-pers.-HH","middle vocational","175","0.111368939344935","0.0954700436819599","0.127267835007909","1"
"Yes","2009","1-pers.-HH","vocational + Abi","6","","","","1"
"Yes","2009","1-pers.-HH","higher vocational","15","","","","1"
"Yes","2009","1-pers.-HH","higher education","38","0.0604000492730553","0.0415261114908007","0.0792739870553099","1"
"Yes","2009","(Married) couple without C. ","in school","","","","","1"
"Yes","2009","(Married) couple without C. ","inadequately","5","","","","1"
"Yes","2009","(Married) couple without C. ","general elemantary","74","0.147395279576512","0.116896668198234","0.17789389095479","1"
"Yes","2009","(Married) couple without C. ","middle vocational","390","0.105170409263501","0.0950332300585821","0.11530758846842","1"
"Yes","2009","(Married) couple without C. ","vocational + Abi","19","","","","1"
"Yes","2009","(Married) couple without C. ","higher vocational","52","0.111059182575452","0.0839749534069489","0.138143411743956","1"
"Yes","2009","(Married) couple without C. ","higher education","158","0.077235787463526","0.0647064094664157","0.0897651654606364","1"
"Yes","2009","Single parent ","in school","","","","","1"
"Yes","2009","Single parent ","inadequately","1","","","","1"
"Yes","2009","Single parent ","general elemantary","5","","","","1"
"Yes","2009","Single parent ","middle vocational","20","","","","1"
"Yes","2009","Single parent ","vocational + Abi","","","","","1"
"Yes","2009","Single parent ","higher vocational","","","","","1"
"Yes","2009","Single parent ","higher education","2","","","","1"
"Yes","2009","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2009","Couple + C. LE 16 ","inadequately","2","","","","1"
"Yes","2009","Couple + C. LE 16 ","general elemantary","6","","","","1"
"Yes","2009","Couple + C. LE 16 ","middle vocational","25","","","","1"
"Yes","2009","Couple + C. LE 16 ","vocational + Abi","1","","","","1"
"Yes","2009","Couple + C. LE 16 ","higher vocational","12","","","","1"
"Yes","2009","Couple + C. LE 16 ","higher education","10","","","","1"
"Yes","2009","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2009","Couple + C. GT 16 ","inadequately","3","","","","1"
"Yes","2009","Couple + C. GT 16 ","general elemantary","13","","","","1"
"Yes","2009","Couple + C. GT 16 ","middle vocational","95","0.052290841858991","0.0413384245413331","0.063243259176649","1"
"Yes","2009","Couple + C. GT 16 ","vocational + Abi","4","","","","1"
"Yes","2009","Couple + C. GT 16 ","higher vocational","18","","","","1"
"Yes","2009","Couple + C. GT 16 ","higher education","24","","","","1"
"Yes","2009","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","general elemantary","3","","","","1"
"Yes","2009","Couple + C. LE and GT 16","middle vocational","12","","","","1"
"Yes","2009","Couple + C. LE and GT 16","vocational + Abi","3","","","","1"
"Yes","2009","Couple + C. LE and GT 16","higher vocational","1","","","","1"
"Yes","2009","Couple + C. LE and GT 16","higher education","6","","","","1"
"No","2010","1-pers.-HH","in school","","","","","2"
"No","2010","1-pers.-HH","inadequately","","","","","2"
"No","2010","1-pers.-HH","general elemantary","","","","","2"
"No","2010","1-pers.-HH","middle vocational","","","","","2"
"No","2010","1-pers.-HH","vocational + Abi","","","","","2"
"No","2010","(Married) couple without C. ","middle vocational","","","","","2"
"No","2010","(Married) couple without C. ","vocational + Abi","","","","","2"
"No","2010","(Married) couple without C. ","higher vocational","","","","","2"
"No","2010","(Married) couple without C. ","higher education","","","","","2"
"No","2010","Single parent ","in school","","","","","2"
"No","2010","Single parent ","higher education","","","","","2"
"No","2010","Couple + C. LE 16 ","in school","","","","","2"
"No","2010","Couple + C. LE 16 ","inadequately","","","","","2"
"No","2010","Couple + C. LE 16 ","general elemantary","","","","","2"
"No","2010","Couple + C. LE 16 ","middle vocational","","","","","2"
"No","2010","Couple + C. GT 16 ","general elemantary","","","","","2"
"No","2010","Couple + C. GT 16 ","middle vocational","","","","","2"
"No","2010","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"No","2010","Couple + C. GT 16 ","higher vocational","","","","","2"
"No","2010","Couple + C. GT 16 ","higher education","","","","","2"
"No","2010","Couple + C. LE and GT 16","in school","","","","","2"
"No","2010","Couple + C. LE and GT 16","inadequately","","","","","2"
"No","2010","Couple + C. LE and GT 16","general elemantary","","","","","2"
"No","2010","Couple + C. LE and GT 16","middle vocational","","","","","2"
"No","2010","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"No","2010","Couple + C. LE and GT 16","higher vocational","","","","","2"
"No","2010","Couple + C. LE and GT 16","higher education","","","","","2"
"No","2010","1-pers.-HH","higher vocational","","","","","2"
"No","2010","1-pers.-HH","higher education","","","","","2"
"No","2010","(Married) couple without C. ","in school","","","","","2"
"No","2010","(Married) couple without C. ","inadequately","","","","","2"
"No","2010","(Married) couple without C. ","general elemantary","","","","","2"
"No","2010","Single parent ","inadequately","","","","","2"
"No","2010","Single parent ","general elemantary","","","","","2"
"No","2010","Single parent ","middle vocational","","","","","2"
"No","2010","Single parent ","vocational + Abi","","","","","2"
"No","2010","Single parent ","higher vocational","","","","","2"
"No","2010","Couple + C. LE 16 ","vocational + Abi","","","","","2"
"No","2010","Couple + C. LE 16 ","higher vocational","","","","","2"
"No","2010","Couple + C. LE 16 ","higher education","","","","","2"
"No","2010","Couple + C. GT 16 ","in school","","","","","2"
"No","2010","Couple + C. GT 16 ","inadequately","","","","","2"
"Yes","2010","1-pers.-HH","in school","","","","","1"
"Yes","2010","1-pers.-HH","inadequately","","","","","1"
"Yes","2010","1-pers.-HH","general elemantary","","","","","1"
"Yes","2010","1-pers.-HH","middle vocational","","","","","1"
"Yes","2010","1-pers.-HH","vocational + Abi","","","","","1"
"Yes","2010","1-pers.-HH","higher vocational","","","","","1"
"Yes","2010","1-pers.-HH","higher education","","","","","1"
"Yes","2010","(Married) couple without C. ","in school","","","","","1"
"Yes","2010","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2010","(Married) couple without C. ","general elemantary","","","","","1"
"Yes","2010","(Married) couple without C. ","middle vocational","","","","","1"
"Yes","2010","(Married) couple without C. ","vocational + Abi","","","","","1"
"Yes","2010","(Married) couple without C. ","higher vocational","","","","","1"
"Yes","2010","(Married) couple without C. ","higher education","","","","","1"
"Yes","2010","Single parent ","in school","","","","","1"
"Yes","2010","Single parent ","inadequately","","","","","1"
"Yes","2010","Single parent ","general elemantary","","","","","1"
"Yes","2010","Single parent ","middle vocational","","","","","1"
"Yes","2010","Single parent ","vocational + Abi","","","","","1"
"Yes","2010","Single parent ","higher vocational","","","","","1"
"Yes","2010","Single parent ","higher education","","","","","1"
"Yes","2010","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2010","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2010","Couple + C. LE 16 ","general elemantary","","","","","1"
"Yes","2010","Couple + C. LE 16 ","middle vocational","","","","","1"
"Yes","2010","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Yes","2010","Couple + C. LE 16 ","higher vocational","","","","","1"
"Yes","2010","Couple + C. LE 16 ","higher education","","","","","1"
"Yes","2010","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2010","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2010","Couple + C. GT 16 ","general elemantary","","","","","1"
"Yes","2010","Couple + C. GT 16 ","middle vocational","","","","","1"
"Yes","2010","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Yes","2010","Couple + C. GT 16 ","higher vocational","","","","","1"
"Yes","2010","Couple + C. GT 16 ","higher education","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","middle vocational","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","higher education","","","","","1"
"No","2011","1-pers.-HH","inadequately","40","0.867227872021745","0.770217262420171","0.96423848162332","2"
"No","2011","(Married) couple without C. ","vocational + Abi","351","0.941713496712015","0.918032631440672","0.965394361983358","2"
"No","2011","1-pers.-HH","in school","7","","","","2"
"No","2011","(Married) couple without C. ","middle vocational","3769","0.880560698432377","0.870857339190886","0.890264057673869","2"
"No","2011","Single parent ","higher education","173","0.97920374324411","0.958121303149239","1.00028618333898","2"
"No","2011","Couple + C. LE 16 ","in school","","","","","2"
"No","2011","1-pers.-HH","general elemantary","413","0.829234548042259","0.796184498152556","0.862284597931961","2"
"No","2011","1-pers.-HH","middle vocational","1614","0.892077857466045","0.877850132001628","0.906305582930462","2"
"No","2011","1-pers.-HH","vocational + Abi","196","0.965448369133085","0.940323785441727","0.990572952824443","2"
