"ple0012","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","inadequately","38","0.952410603664389","0.888777798027517","1.01604340930126","2"
"No","2009","66 and older","vocational + Abi","82","0.84873745850298","0.777433341624545","0.920041575381416","2"
"No","2009","66 and older","higher vocational","267","0.842639601515228","0.802742462120767","0.882536740909689","2"
"No","2009","66 and older","middle vocational","1786","0.820255595124652","0.804196013980606","0.836315176268699","2"
"No","2009","66 and older","general elemantary","523","0.773860810147474","0.742161166875917","0.805560453419031","2"
"No","2009","35-65 y.","higher vocational","861","0.945247392024165","0.930458307248276","0.960036476800054","2"
"No","2009","35-65 y.","higher education","2517","0.970488366348297","0.964006916958906","0.976969815737688","2"
"No","2009","66 and older","higher education","755","0.848320531837712","0.824753956530582","0.871887107144842","2"
"No","2009","35-65 y.","middle vocational","4803","0.938303053144102","0.931710005344982","0.944896100943222","2"
"No","2009","35-65 y.","vocational + Abi","551","0.966782894581529","0.952045548088218","0.981520241074839","2"
"No","2009","66 and older","in school","","","","","2"
"No","2009","35-65 y.","in school","","","","","2"
"No","2009","35-65 y.","inadequately","78","0.94722331409226","0.899691337423937","0.994755290760583","2"
"No","2009","35-65 y.","general elemantary","550","0.926658825941515","0.905623175398756","0.947694476484274","2"
"No","2009","16-34 y.","higher vocational","108","0.997674040325656","0.988630670979256","1.00671740967206","2"
"No","2009","16-34 y.","higher education","537","0.995321389971028","0.989565780699427","1.00107699924263","2"
"No","2009","16-34 y.","general elemantary","548","0.982684346874977","0.971812283304375","0.99355641044558","2"
"No","2009","16-34 y.","middle vocational","1787","0.992570865521588","0.988602767598575","0.996538963444601","2"
"No","2009","16-34 y.","vocational + Abi","337","0.997997720859762","0.993232129199571","1.00276331251995","2"
"No","2009","16-34 y.","in school","313","1","1","1","2"
"No","2009","16-34 y.","inadequately","41","1","1","1","2"
"Yes","2009","16-34 y.","in school","","","","","1"
"Yes","2009","16-34 y.","inadequately","","","","","1"
"Yes","2009","16-34 y.","general elemantary","5","","","","1"
"Yes","2009","16-34 y.","middle vocational","12","","","","1"
"Yes","2009","16-34 y.","vocational + Abi","1","","","","1"
"Yes","2009","16-34 y.","higher vocational","1","","","","1"
"Yes","2009","16-34 y.","higher education","3","","","","1"
"Yes","2009","35-65 y.","in school","","","","","1"
"Yes","2009","35-65 y.","inadequately","7","","","","1"
"Yes","2009","35-65 y.","general elemantary","40","0.0733411740584851","0.0523055235157258","0.0943768246012444","1"
"Yes","2009","35-65 y.","middle vocational","313","0.0616969468558982","0.0551038990567784","0.0682899946550179","1"
"Yes","2009","35-65 y.","vocational + Abi","17","","","","1"
"Yes","2009","35-65 y.","higher vocational","48","0.054752607975835","0.039963523199946","0.069541692751724","1"
"Yes","2009","35-65 y.","higher education","102","0.0295116336517029","0.0230301842623121","0.0359930830410936","1"
"Yes","2009","66 and older","in school","","","","","1"
"Yes","2009","66 and older","inadequately","5","","","","1"
"Yes","2009","66 and older","general elemantary","146","0.226139189852526","0.194439546580969","0.257838833124084","1"
"Yes","2009","66 and older","middle vocational","410","0.179744404875348","0.163684823731301","0.195803986019394","1"
"Yes","2009","66 and older","vocational + Abi","15","","","","1"
"Yes","2009","66 and older","higher vocational","53","0.157360398484772","0.117463259090311","0.197257537879233","1"
"Yes","2009","66 and older","higher education","135","0.151679468162288","0.128112892855158","0.175246043469418","1"
"No","2010","66 and older","inadequately","","","","","2"
"No","2010","66 and older","vocational + Abi","","","","","2"
"No","2010","66 and older","general elemantary","","","","","2"
"No","2010","66 and older","middle vocational","","","","","2"
"No","2010","35-65 y.","middle vocational","","","","","2"
"No","2010","35-65 y.","vocational + Abi","","","","","2"
"No","2010","66 and older","higher vocational","","","","","2"
"No","2010","35-65 y.","higher vocational","","","","","2"
"No","2010","66 and older","higher education","","","","","2"
"No","2010","35-65 y.","higher education","","","","","2"
"No","2010","66 and older","in school","","","","","2"
"No","2010","16-34 y.","higher vocational","","","","","2"
"No","2010","16-34 y.","higher education","","","","","2"
"No","2010","35-65 y.","in school","","","","","2"
"No","2010","35-65 y.","inadequately","","","","","2"
"No","2010","35-65 y.","general elemantary","","","","","2"
"No","2010","16-34 y.","in school","","","","","2"
"No","2010","16-34 y.","inadequately","","","","","2"
"No","2010","16-34 y.","general elemantary","","","","","2"
"No","2010","16-34 y.","middle vocational","","","","","2"
"No","2010","16-34 y.","vocational + Abi","","","","","2"
"Yes","2010","35-65 y.","general elemantary","","","","","1"
