"ple0012","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","746","1","1","1"
"Yes","2009","secondary school degree","282","1","1","1"
"Yes","2009","college entrance qualification","203","1","1","1"
"Yes","2009","Other degree","60","1","1","1"
"Yes","2009","no degree/no degree yet","16","","",""
"Yes","2010","lower secondary degree","","","",""
"Yes","2010","secondary school degree","","","",""
"Yes","2010","college entrance qualification","","","",""
"Yes","2010","Other degree","","","",""
"Yes","2010","no degree/no degree yet","","","",""
"Yes","2011","lower secondary degree","887","1","1","1"
"Yes","2011","secondary school degree","391","1","1","1"
"Yes","2011","college entrance qualification","252","1","1","1"
"Yes","2011","Other degree","101","1","1","1"
"Yes","2011","no degree/no degree yet","31","1","1","1"
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","842","1","1","1"
"Yes","2013","secondary school degree","431","1","1","1"
"Yes","2013","college entrance qualification","284","1","1","1"
"Yes","2013","Other degree","106","1","1","1"
"Yes","2013","no degree/no degree yet","27","","",""
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","795","1","1","1"
"Yes","2015","secondary school degree","466","1","1","1"
"Yes","2015","college entrance qualification","332","1","1","1"
"Yes","2015","Other degree","173","1","1","1"
"Yes","2015","no degree/no degree yet","50","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","767","1","1","1"
"Yes","2017","secondary school degree","541","1","1","1"
"Yes","2017","college entrance qualification","360","1","1","1"
"Yes","2017","Other degree","206","1","1","1"
"Yes","2017","no degree/no degree yet","62","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","705","1","1","1"
"Yes","2019","secondary school degree","556","1","1","1"
"Yes","2019","college entrance qualification","398","1","1","1"
"Yes","2019","Other degree","186","1","1","1"
"Yes","2019","no degree/no degree yet","61","1","1","1"
