"ple0012","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","Male","170","0.0340225136474996","0.0287779610048962","0.0392670662901031"
"Yes","2009","Full Time","Female","50","0.0173605637865907","0.0121610732688396","0.0225600543043419"
"Yes","2009","Part Time","Male","76","0.0672744310295918","0.0529576168562995","0.081591245202884"
"Yes","2009","Part Time","Female","88","0.0328775218977499","0.0265554170707815","0.0391996267247182"
"Yes","2009","Not Working","Male","463","0.151271449320473","0.138180667458736","0.164362231182211"
"Yes","2009","Not Working","Female","467","0.120307598490595","0.110228504431665","0.130386692549526"
"No","2009","Full Time","Male","4420","0.9659774863525","0.960732933709897","0.971222038995104"
"No","2009","Full Time","Female","2374","0.982639436213409","0.977439945695658","0.98783892673116"
"No","2009","Part Time","Male","1100","0.932725568970408","0.918408754797116","0.9470423831437"
"No","2009","Part Time","Female","2968","0.96712247810225","0.960800373275282","0.973444582929219"
"No","2009","Not Working","Male","2415","0.848728550679527","0.835637768817789","0.861819332541264"
"No","2009","Not Working","Female","3535","0.879692401509405","0.869613307450474","0.889771495568335"
"Yes","2010","Full Time","Male","","","",""
"Yes","2010","Full Time","Female","","","",""
"Yes","2010","Part Time","Male","","","",""
"Yes","2010","Part Time","Female","","","",""
"Yes","2010","Not Working","Male","","","",""
"Yes","2010","Not Working","Female","","","",""
"No","2010","Full Time","Male","","","",""
"No","2010","Full Time","Female","","","",""
"No","2010","Part Time","Male","","","",""
"No","2010","Part Time","Female","","","",""
"No","2010","Not Working","Male","","","",""
"No","2010","Not Working","Female","","","",""
"Yes","2011","Full Time","Male","236","0.0448840368675071","0.0391593193047304","0.0506087544302838"
"Yes","2011","Full Time","Female","73","0.0259986549216234","0.0200886109865037","0.0319086988567431"
"Yes","2011","Part Time","Male","99","0.0764615858274473","0.0624817364979648","0.0904414351569297"
"Yes","2011","Part Time","Female","101","0.0335410120674603","0.02758982702841","0.0394921971065105"
"Yes","2011","Not Working","Male","579","0.16034588965997","0.148059238256183","0.172632541063757"
"Yes","2011","Not Working","Female","585","0.13792374907855","0.128086595332544","0.147760902824557"
"No","2011","Full Time","Male","4789","0.955115963132493","0.949391245569716","0.96084068069527"
"No","2011","Full Time","Female","2712","0.974001345078377","0.968091301143257","0.979911389013496"
"No","2011","Part Time","Male","1289","0.923538414172553","0.90955856484307","0.937518263502035"
"No","2011","Part Time","Female","3415","0.96645898793254","0.960507802893489","0.97241017297159"
"No","2011","Not Working","Male","2847","0.83965411034003","0.827367458936243","0.851940761743817"
"No","2011","Not Working","Female","4135","0.86207625092145","0.852239097175443","0.871913404667456"
"Yes","2012","Full Time","Male","","","",""
"Yes","2012","Full Time","Female","","","",""
"Yes","2012","Part Time","Male","","","",""
"Yes","2012","Part Time","Female","","","",""
"Yes","2012","Not Working","Male","","","",""
"Yes","2012","Not Working","Female","","","",""
"No","2012","Full Time","Male","","","",""
"No","2012","Full Time","Female","","","",""
"No","2012","Part Time","Male","","","",""
"No","2012","Part Time","Female","","","",""
"No","2012","Not Working","Male","","","",""
"No","2012","Not Working","Female","","","",""
"Yes","2013","Full Time","Male","223","0.0451193283187183","0.0390001540663135","0.0512385025711231"
"Yes","2013","Full Time","Female","51","0.0196546787526526","0.0142953129973959","0.0250140445079094"
"Yes","2013","Part Time","Male","106","0.0799106926583621","0.0649623861794884","0.0948589991372359"
"Yes","2013","Part Time","Female","128","0.041800509833616","0.035007158895603","0.0485938607716289"
"Yes","2013","Not Working","Male","613","0.186692777403679","0.173170687397378","0.200214867409979"
"Yes","2013","Not Working","Female","585","0.148476968332763","0.137705467378974","0.159248469286551"
"No","2013","Full Time","Male","4197","0.954880671681282","0.948761497428877","0.960999845933687"
"No","2013","Full Time","Female","2526","0.980345321247347","0.974985955492091","0.985704687002604"
"No","2013","Part Time","Male","1158","0.920089307341638","0.905141000862764","0.935037613820512"
"No","2013","Part Time","Female","3206","0.958199490166384","0.951406139228371","0.964992841104397"
"No","2013","Not Working","Male","2577","0.813307222596321","0.799785132590021","0.826829312602622"
"No","2013","Not Working","Female","3601","0.851523031667237","0.840751530713449","0.862294532621026"
"Yes","2014","Full Time","Male","","","",""
"Yes","2014","Full Time","Female","","","",""
"Yes","2014","Part Time","Male","","","",""
"Yes","2014","Part Time","Female","","","",""
"Yes","2014","Not Working","Male","","","",""
"Yes","2014","Not Working","Female","","","",""
"No","2014","Full Time","Male","","","",""
"No","2014","Full Time","Female","","","",""
"No","2014","Part Time","Male","","","",""
"No","2014","Part Time","Female","","","",""
"No","2014","Not Working","Male","","","",""
"No","2014","Not Working","Female","","","",""
"Yes","2015","Full Time","Male","268","0.0443379223608531","0.0392407725399335","0.0494350721817727"
"Yes","2015","Full Time","Female","73","0.0240914661485847","0.0188271485314335","0.0293557837657359"
"Yes","2015","Part Time","Male","126","0.0798774848235293","0.0673914688696703","0.0923635007773884"
"Yes","2015","Part Time","Female","172","0.0344379390447291","0.0295415642237896","0.0393343138656686"
"Yes","2015","Not Working","Male","601","0.185094673747573","0.172118211912576","0.19807113558257"
"Yes","2015","Not Working","Female","605","0.137502589102828","0.128019499890499","0.146985678315158"
"No","2015","Full Time","Male","5997","0.955662077639147","0.950564927818227","0.960759227460066"
"No","2015","Full Time","Female","3186","0.975908533851415","0.970644216234264","0.981172851468566"
"No","2015","Part Time","Male","1685","0.920122515176471","0.907636499222612","0.93260853113033"
"No","2015","Part Time","Female","5156","0.965562060955271","0.960665686134331","0.97045843577621"
"No","2015","Not Working","Male","2840","0.814905326252427","0.80192886441743","0.827881788087424"
"No","2015","Not Working","Female","4461","0.862497410897171","0.853014321684842","0.871980500109501"
"Yes","2016","Full Time","Male","","","",""
"Yes","2016","Full Time","Female","","","",""
"Yes","2016","Part Time","Male","","","",""
"Yes","2016","Part Time","Female","","","",""
"Yes","2016","Not Working","Male","","","",""
"Yes","2016","Not Working","Female","","","",""
"No","2016","Full Time","Male","","","",""
"No","2016","Full Time","Female","","","",""
"No","2016","Part Time","Male","","","",""
"No","2016","Part Time","Female","","","",""
"No","2016","Not Working","Male","","","",""
"No","2016","Not Working","Female","","","",""
"Yes","2017","Full Time","Male","303","0.0488943404958264","0.0437226080556339","0.054066072936019"
"Yes","2017","Full Time","Female","99","0.0269792689809065","0.0217796704686535","0.0321788674931595"
"Yes","2017","Part Time","Male","139","0.084297023713572","0.0723427698611206","0.0962512775660234"
"Yes","2017","Part Time","Female","182","0.0368892309113119","0.0319546735416458","0.0418237882809781"
"Yes","2017","Not Working","Male","626","0.178634137526115","0.166095392701857","0.191172882350372"
"Yes","2017","Not Working","Female","618","0.139117272191004","0.129571568931327","0.148662975450681"
"No","2017","Full Time","Male","6376","0.951105659504174","0.945933927063981","0.956277391944366"
"No","2017","Full Time","Female","3631","0.973020731019094","0.967821132506841","0.978220329531347"
"No","2017","Part Time","Male","1936","0.915702976286428","0.903748722433977","0.927657230138879"
"No","2017","Part Time","Female","5423","0.963110769088688","0.958176211719022","0.968045326458354"
"No","2017","Not Working","Male","2959","0.821365862473885","0.808827117649628","0.833904607298143"
"No","2017","Not Working","Female","4431","0.860882727808996","0.85133702454932","0.870428431068673"
"Yes","2018","Full Time","Male","","","",""
"Yes","2018","Full Time","Female","","","",""
"Yes","2018","Part Time","Male","","","",""
"Yes","2018","Part Time","Female","","","",""
"Yes","2018","Not Working","Male","","","",""
"Yes","2018","Not Working","Female","","","",""
"No","2018","Full Time","Male","","","",""
"No","2018","Full Time","Female","","","",""
"No","2018","Part Time","Male","","","",""
"No","2018","Part Time","Female","","","",""
"No","2018","Not Working","Male","","","",""
"No","2018","Not Working","Female","","","",""
"Yes","2019","Full Time","Male","314","0.0479635003058021","0.042889748011097","0.0530372526005072"
"Yes","2019","Full Time","Female","107","0.0287352199732042","0.02335586667526","0.0341145732711485"
"Yes","2019","Part Time","Male","151","0.0713262981715643","0.0601000058244978","0.0825525905186308"
"Yes","2019","Part Time","Female","196","0.0423823820094312","0.0369151432012013","0.047849620817661"
"Yes","2019","Not Working","Male","616","0.176619405058427","0.164021559444037","0.189217250672818"
"Yes","2019","Not Working","Female","567","0.144931814316883","0.134755439896796","0.15510818873697"
"No","2019","Full Time","Male","6500","0.952036499694198","0.946962747399493","0.957110251988903"
"No","2019","Full Time","Female","3598","0.971264780026796","0.965885426728851","0.97664413332474"
"No","2019","Part Time","Male","1868","0.928673701828436","0.917447409481369","0.939899994175502"
"No","2019","Part Time","Female","5020","0.957617617990569","0.952150379182339","0.963084856798799"
"No","2019","Not Working","Male","2904","0.823380594941572","0.810782749327182","0.835978440555963"
"No","2019","Not Working","Female","4030","0.855068185683117","0.84489181126303","0.865244560103204"
