"ple0012","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","in school","Male","","","",""
"Yes","2009","in school","Female","","","",""
"Yes","2009","inadequately","Male","3","","",""
"Yes","2009","inadequately","Female","9","","",""
"Yes","2009","general elemantary","Male","43","0.0842702865608791","0.0612830085150563","0.107257564606702"
"Yes","2009","general elemantary","Female","148","0.127321761167389","0.108850445593671","0.145793076741107"
"Yes","2009","middle vocational","Male","397","0.0867231232710031","0.0783065522391033","0.0951396943029029"
"Yes","2009","middle vocational","Female","338","0.0715488927598837","0.064269656258202","0.0788281292615654"
"Yes","2009","vocational + Abi","Male","19","","",""
"Yes","2009","vocational + Abi","Female","14","","",""
"Yes","2009","higher vocational","Male","69","0.0865661600461229","0.0669201957746112","0.106212124317635"
"Yes","2009","higher vocational","Female","33","0.0609542778901222","0.040977853482745","0.0809307022974994"
"Yes","2009","higher education","Male","177","0.0671421845995797","0.0566652730563615","0.0776190961427979"
"Yes","2009","higher education","Female","63","0.0320888989815997","0.0240732759847954","0.040104521978404"
"No","2009","in school","Male","169","1","1","1"
"No","2009","in school","Female","144","1","1","1"
"No","2009","inadequately","Male","67","0.97011925536067","0.930234462453769","1.01000404826757"
"No","2009","inadequately","Female","90","0.956682337220093","0.916582105732806","0.996782568707381"
"No","2009","general elemantary","Male","518","0.915729713439121","0.892742435393298","0.938716991484944"
"No","2009","general elemantary","Female","1103","0.872678238832611","0.854206923258893","0.891149554406329"
"No","2009","middle vocational","Male","3898","0.913276876728997","0.904860305697097","0.921693447760897"
"No","2009","middle vocational","Female","4478","0.928451107240116","0.921171870738435","0.935730343741798"
"No","2009","vocational + Abi","Male","374","0.94297610729394","0.920049985738653","0.965902228849227"
"No","2009","vocational + Abi","Female","596","0.976269225326569","0.964190421412475","0.988348029240662"
"No","2009","higher vocational","Male","718","0.913433839953877","0.893787875682365","0.933079804225389"
"No","2009","higher vocational","Female","518","0.939045722109878","0.919069297702501","0.959022146517255"
"No","2009","higher education","Male","2015","0.93285781540042","0.922380903857202","0.943334726943639"
"No","2009","higher education","Female","1794","0.9679111010184","0.959895478021596","0.975926724015205"
"Yes","2010","in school","Male","","","",""
"Yes","2010","in school","Female","","","",""
"Yes","2010","inadequately","Male","","","",""
"Yes","2010","inadequately","Female","","","",""
"Yes","2010","general elemantary","Male","","","",""
"Yes","2010","general elemantary","Female","","","",""
"Yes","2010","middle vocational","Male","","","",""
"Yes","2010","middle vocational","Female","","","",""
"Yes","2010","vocational + Abi","Male","","","",""
"Yes","2010","vocational + Abi","Female","","","",""
"Yes","2010","higher vocational","Male","","","",""
"Yes","2010","higher vocational","Female","","","",""
"Yes","2010","higher education","Male","","","",""
"Yes","2010","higher education","Female","","","",""
"No","2010","in school","Male","","","",""
"No","2010","in school","Female","","","",""
"No","2010","inadequately","Male","","","",""
"No","2010","inadequately","Female","","","",""
"No","2010","general elemantary","Male","","","",""
"No","2010","general elemantary","Female","","","",""
"No","2010","middle vocational","Male","","","",""
"No","2010","middle vocational","Female","","","",""
"No","2010","vocational + Abi","Male","","","",""
"No","2010","vocational + Abi","Female","","","",""
"No","2010","higher vocational","Male","","","",""
"No","2010","higher vocational","Female","","","",""
"No","2010","higher education","Male","","","",""
"No","2010","higher education","Female","","","",""
"Yes","2011","in school","Male","","","",""
"Yes","2011","in school","Female","","","",""
"Yes","2011","inadequately","Male","9","","",""
"Yes","2011","inadequately","Female","14","","",""
"Yes","2011","general elemantary","Male","66","0.10028095796154","0.0775535700775569","0.123008345845523"
