"m11124","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","35-65 y.","Not Working","365","0.220716944483063","0.202295207833039","0.239138681133086","1"
"Disabled","1984","66 and older","Not Working","261","0.207770467374596","0.184920086583867","0.230620848165326","1"
"Disabled","1984","16-34 y.","Full Time","43","0.0245868702711858","0.018149265900999","0.0310244746413726","1"
"Disabled","1984","35-65 y.","Full Time","260","0.0968384627852909","0.0869355929157211","0.106741332654861","1"
"Disabled","1984","35-65 y.","Part Time","94","0.110843760547307","0.0908489281795769","0.130838592915036","1"
"Disabled","1984","66 and older","Part Time","10","","","","1"
"Disabled","1984","16-34 y.","Not Working","27","","","","1"
"Disabled","1984","66 and older","Full Time","","","","","1"
"Disabled","1984","16-34 y.","Part Time","11","","","","1"
"Not disabled","1984","16-34 y.","Full Time","2180","0.975413129728814","0.968975525358627","0.981850734099001","0"
"Not disabled","1984","16-34 y.","Part Time","886","0.98384303290771","0.975592258801131","0.992093807014289","0"
"Not disabled","1984","16-34 y.","Not Working","1457","0.980158585554148","0.973063369425653","0.987253801682643","0"
"Not disabled","1984","35-65 y.","Full Time","3166","0.903161537214709","0.893258667345139","0.913064407084279","0"
"Not disabled","1984","35-65 y.","Part Time","853","0.889156239452693","0.869161407084964","0.909151071820423","0"
"Not disabled","1984","35-65 y.","Not Working","1582","0.779283055516937","0.760861318866914","0.797704792166961","0"
"Not disabled","1984","66 and older","Full Time","22","","","","0"
"Not disabled","1984","66 and older","Part Time","32","0.780308950329654","0.655092057758247","0.905525842901061","0"
"Not disabled","1984","66 and older","Not Working","950","0.792229532625404","0.769379151834674","0.815079913416133","0"
"Disabled","1985","35-65 y.","Not Working","327","0.224178257423689","0.204793519648345","0.243562995199033","1"
"Disabled","1985","66 and older","Not Working","222","0.193347870520049","0.16969596178445","0.216999779255648","1"
"Disabled","1985","16-34 y.","Full Time","33","0.0212639657733988","0.0148427966632481","0.0276851348835496","1"
"Disabled","1985","16-34 y.","Not Working","31","0.025957614205622","0.0174943176118753","0.0344209107993686","1"
"Disabled","1985","35-65 y.","Full Time","218","0.0958328606770907","0.0853378605840741","0.106327860770107","1"
"Disabled","1985","35-65 y.","Part Time","86","0.103406941421613","0.0840445577810894","0.122769325062136","1"
"Disabled","1985","66 and older","Part Time","4","","","","1"
"Disabled","1985","66 and older","Full Time","3","","","","1"
"Disabled","1985","16-34 y.","Part Time","10","","","","1"
"Not disabled","1985","16-34 y.","Full Time","1906","0.978736034226601","0.97231486511645","0.985157203336752","0"
"Not disabled","1985","16-34 y.","Part Time","874","0.987994236037304","0.980814738277354","0.995173733797254","0"
"Not disabled","1985","16-34 y.","Not Working","1325","0.974042385794378","0.965579089200631","0.982505682388125","0"
"Not disabled","1985","35-65 y.","Full Time","2804","0.904167139322909","0.893672139229893","0.914662139415926","0"
"Not disabled","1985","35-65 y.","Part Time","864","0.896593058578387","0.877230674937864","0.915955442218911","0"
"Not disabled","1985","35-65 y.","Not Working","1451","0.775821742576311","0.756437004800967","0.795206480351655","0"
"Not disabled","1985","66 and older","Full Time","15","","","","0"
"Not disabled","1985","66 and older","Part Time","23","","","","0"
"Not disabled","1985","66 and older","Not Working","849","0.806652129479951","0.783000220744352","0.83030403821555","0"
"Disabled","1986","16-34 y.","Not Working","3","","","","1"
"Disabled","1986","16-34 y.","Full Time","1","","","","1"
"Disabled","1986","35-65 y.","Part Time","","","","","1"
"Disabled","1986","35-65 y.","Not Working","","","","","1"
"Disabled","1986","66 and older","Full Time","","","","","1"
"Disabled","1986","66 and older","Part Time","","","","","1"
"Disabled","1986","66 and older","Not Working","2","","","","1"
"Disabled","1986","35-65 y.","Full Time","2","","","","1"
"Disabled","1986","16-34 y.","Part Time","","","","","1"
"Not disabled","1986","16-34 y.","Full Time","1963","0.999813984203931","0.999210852906472","1.00041711550139","0"
"Not disabled","1986","16-34 y.","Part Time","887","1","1","1","0"
"Not disabled","1986","16-34 y.","Not Working","1244","0.998670478142116","0.996648047153828","1.0006929091304","0"
"Not disabled","1986","35-65 y.","Full Time","2885","0.999656592650688","0.998980735506363","1.00033244979501","0"
"Not disabled","1986","35-65 y.","Part Time","918","1","1","1","0"
"Not disabled","1986","35-65 y.","Not Working","1693","1","1","1","0"
"Not disabled","1986","66 and older","Full Time","14","","","","0"
"Not disabled","1986","66 and older","Part Time","28","","","","0"
"Not disabled","1986","66 and older","Not Working","1003","0.999626597045801","0.998432133674804","1.0008210604168","0"
"Disabled","1987","16-34 y.","Full Time","39","0.0224878538477785","0.0159638780182024","0.0290118296773545","1"
"Disabled","1987","16-34 y.","Not Working","27","","","","1"
"Disabled","1987","35-65 y.","Not Working","304","0.227187939195766","0.206682197107589","0.247693681283944","1"
"Disabled","1987","35-65 y.","Part Time","69","0.0929417217352068","0.0736148531048672","0.112268590365546","1"
"Disabled","1987","66 and older","Part Time","4","","","","1"
"Disabled","1987","66 and older","Not Working","233","0.21423055857683","0.18924687384333","0.23921424331033","1"
