"m11124","year","migback","n","percent","lower_confidence","upper_confidence"
"Disabled","1989","no migration background","767","0.131663803980906","0.123633135708668","0.139694472253144"
"Disabled","1989","direct migration background","171","0.0979722554911185","0.0865389023619185","0.109405608620319"
"Disabled","1989","indirect migration background","9","","",""
"Not disabled","1990","no migration background","","","",""
"Not disabled","1990","direct migration background","","","",""
"Not disabled","1990","indirect migration background","","","",""
"Disabled","1990","no migration background","","","",""
"Disabled","1990","direct migration background","","","",""
"Disabled","1990","indirect migration background","","","",""
"Not disabled","1991","no migration background","9875","0.895455436233233","0.889641498146002","0.901269374320465"
"Not disabled","1991","direct migration background","2446","0.900126083723658","0.888680100595922","0.911572066851394"
"Not disabled","1991","indirect migration background","343","0.945249039253947","0.921449775214135","0.969048303293759"
"Disabled","1991","no migration background","764","0.104544563766767","0.0987306256795356","0.110358501853998"
"Disabled","1991","direct migration background","190","0.0998739162763418","0.0884279331486054","0.111319899404078"
"Disabled","1991","indirect migration background","8","","",""
"Not disabled","1992","no migration background","9353","0.878428170564863","0.872124802540206","0.88473153858952"
"Not disabled","1992","direct migration background","2340","0.884262854378457","0.871858341527958","0.896667367228956"
"Not disabled","1992","indirect migration background","399","0.944410548744899","0.92225901568191","0.966562081807889"
"Disabled","1992","no migration background","972","0.121571829435137","0.11526846141048","0.127875197459794"
"Disabled","1992","direct migration background","215","0.115737145621543","0.103332632771044","0.128141658472041"
"Disabled","1992","indirect migration background","12","","",""
"Not disabled","1993","no migration background","","","",""
"Not disabled","1993","direct migration background","","","",""
"Not disabled","1993","indirect migration background","","","",""
"Disabled","1993","no migration background","","","",""
"Disabled","1993","direct migration background","","","",""
"Disabled","1993","indirect migration background","","","",""
"Not disabled","1994","no migration background","9103","0.881383771193296","0.875055032499791","0.887712509886802"
"Not disabled","1994","direct migration background","2135","0.871678297530078","0.858187790562645","0.885168804497512"
"Not disabled","1994","indirect migration background","484","0.957063268122443","0.939205371345085","0.974921164899801"
"Disabled","1994","no migration background","924","0.118616228806704","0.112287490113198","0.124944967500209"
"Disabled","1994","direct migration background","226","0.128321702469922","0.114831195502488","0.141812209437355"
"Disabled","1994","indirect migration background","11","","",""
"Not disabled","1995","no migration background","8969","0.870185160924604","0.863581862672649","0.876788459176559"
"Not disabled","1995","direct migration background","2546","0.889404339511997","0.877764620423255","0.90104405860074"
"Not disabled","1995","indirect migration background","499","0.961866823100562","0.945245255904909","0.978488390296215"
"Disabled","1995","no migration background","983","0.129814839075396","0.123211540823441","0.136418137327351"
"Disabled","1995","direct migration background","243","0.110595660488002","0.0989559413992602","0.122235379576745"
"Disabled","1995","indirect migration background","11","","",""
"Not disabled","1996","no migration background","8921","0.868831483550012","0.862186981951777","0.875475985148247"
"Not disabled","1996","direct migration background","2370","0.880033582792447","0.867572924920832","0.892494240664062"
"Not disabled","1996","indirect migration background","537","0.971802695917852","0.957943097222982","0.985662294612722"
"Disabled","1996","no migration background","995","0.131168516449988","0.124524014851753","0.137813018048223"
"Disabled","1996","direct migration background","242","0.119966417207553","0.107505759335938","0.132427075079167"
"Disabled","1996","indirect migration background","11","","",""
"Not disabled","1997","no migration background","8806","0.868495967106566","0.861802957010597","0.875188977202535"
"Not disabled","1997","direct migration background","2260","0.893015281993457","0.880857620423489","0.905172943563425"
"Not disabled","1997","indirect migration background","559","0.961904030861564","0.946257446209146","0.977550615513981"
"Disabled","1997","no migration background","988","0.131504032893434","0.124811022797465","0.138197042989404"
"Disabled","1997","direct migration background","223","0.106984718006543","0.0948270564365753","0.119142379576511"
"Disabled","1997","indirect migration background","16","","",""
"Not disabled","1998","no migration background","10074","0.868069380021189","0.861818676272072","0.874320083770305"
"Not disabled","1998","direct migration background","2184","0.888298491527987","0.875732740820288","0.900864242235687"
"Not disabled","1998","indirect migration background","588","0.971272049219839","0.957950571853618","0.98459352658606"
"Disabled","1998","no migration background","1186","0.131930619978811","0.125679916229695","0.138181323727927"
"Disabled","1998","direct migration background","230","0.111701508472013","0.099135757764313","0.124267259179712"
"Disabled","1998","indirect migration background","16","","",""
"Not disabled","1999","no migration background","9739","0.862372988225585","0.855908781664026","0.868837194787144"
"Not disabled","1999","direct migration background","2002","0.883427197303256","0.87007497846572","0.896779416140792"
"Not disabled","1999","indirect migration background","593","0.964802207868168","0.950202329578829","0.979402086157506"
"Disabled","1999","no migration background","1172","0.137627011774415","0.131162805212856","0.144091218335974"
"Disabled","1999","direct migration background","217","0.116572802696744","0.103220583859208","0.12992502153428"
"Disabled","1999","indirect migration background","19","","",""
"Not disabled","2000","no migration background","17894","0.877247137264956","0.872703675655455","0.881790598874457"
"Not disabled","2000","direct migration background","3066","0.912706452909596","0.90313238480448","0.922280521014711"
"Not disabled","2000","indirect migration background","804","0.966495432273696","0.954260558543159","0.978730306004232"
"Disabled","2000","no migration background","2145","0.122752862735044","0.118209401125543","0.127296324344545"
"Disabled","2000","direct migration background","273","0.0872935470904045","0.0777194789852886","0.0968676151955204"
"Disabled","2000","indirect migration background","27","","",""
"Not disabled","2001","no migration background","16345","0.876978381018151","0.872217256671257","0.881739505365045"
"Not disabled","2001","direct migration background","2692","0.911313825136342","0.901041028327118","0.921586621945566"
"Not disabled","2001","indirect migration background","744","0.955164007816326","0.940603732153211","0.969724283479441"
"Disabled","2001","no migration background","1938","0.123021618981849","0.118260494634955","0.127782743328743"
"Disabled","2001","direct migration background","250","0.0886861748636578","0.078413378054434","0.0989589716728816"
"Disabled","2001","indirect migration background","32","0.0448359921836741","0.0302757165205591","0.0593962678467892"
"Not disabled","2002","no migration background","17395","0.866425285738135","0.861651306399664","0.871199265076606"
"Not disabled","2002","direct migration background","2571","0.908491474762257","0.897844018278284","0.919138931246229"
"Not disabled","2002","indirect migration background","753","0.95556672911233","0.941143094505439","0.969990363719221"
"Disabled","2002","no migration background","2112","0.133574714261865","0.128800734923394","0.138348693600336"
"Disabled","2002","direct migration background","246","0.0915085252377432","0.0808610687537705","0.102155981721716"
"Disabled","2002","indirect migration background","31","0.0444332708876699","0.0300096362807791","0.0588569054945607"
"Not disabled","2003","no migration background","16751","0.867224110281809","0.862376486004707","0.872071734558912"
"Not disabled","2003","direct migration background","2398","0.908333628327367","0.897330671685209","0.919336584969525"
"Not disabled","2003","indirect migration background","762","0.967518576429323","0.955156775972734","0.979880376885912"
"Disabled","2003","no migration background","2072","0.132775889718191","0.127928265441088","0.137623513995293"
"Disabled","2003","direct migration background","244","0.0916663716726333","0.0806634150304753","0.102669328314791"
"Disabled","2003","indirect migration background","28","","",""
"Not disabled","2004","no migration background","16245","0.861861134154871","0.856866723767751","0.866855544541991"
"Not disabled","2004","direct migration background","2302","0.902324253813041","0.890797074112772","0.91385143351331"
"Not disabled","2004","indirect migration background","779","0.95474715324441","0.940441595246433","0.969052711242388"
"Disabled","2004","no migration background","2090","0.138138865845129","0.133144455458009","0.143133276232249"
"Disabled","2004","direct migration background","246","0.097675746186959","0.0861485664866901","0.109202925887228"
"Disabled","2004","indirect migration background","32","0.0452528467555895","0.0309472887576123","0.0595584047535667"
"Not disabled","2005","no migration background","15504","0.86402185324116","0.858952580445353","0.869091126036966"
"Not disabled","2005","direct migration background","2139","0.904527635753525","0.892716492832761","0.916338778674288"
"Not disabled","2005","indirect migration background","810","0.971219768720767","0.95986622368578","0.982573313755753"
"Disabled","2005","no migration background","2059","0.13597814675884","0.130908873963034","0.141047419554646"
"Disabled","2005","direct migration background","239","0.0954723642464754","0.0836612213257119","0.107283507167239"
"Disabled","2005","indirect migration background","23","","",""
"Not disabled","2006","no migration background","16540","0.860071327994299","0.855115408292594","0.865027247696005"
"Not disabled","2006","direct migration background","2131","0.893323881349059","0.880939909489202","0.905707853208916"
"Not disabled","2006","indirect migration background","799","0.972545980323195","0.961382330241491","0.983709630404898"
"Disabled","2006","no migration background","2283","0.139928672005701","0.134972752303995","0.144884591707406"
"Disabled","2006","direct migration background","256","0.106676118650941","0.094292146791084","0.119060090510798"
"Disabled","2006","indirect migration background","24","","",""
"Not disabled","2007","no migration background","15497","0.860237120656044","0.855123879459154","0.865350361852933"
"Not disabled","2007","direct migration background","1903","0.895280060330558","0.882282895146874","0.908277225514242"
"Not disabled","2007","indirect migration background","761","0.97027726784885","0.958412670144906","0.982141865552795"
"Disabled","2007","no migration background","2168","0.139762879343956","0.134649638147067","0.144876120540846"
"Disabled","2007","direct migration background","229","0.104719939669442","0.0917227744857576","0.117717104853126"
"Disabled","2007","indirect migration background","26","","",""
"Not disabled","2008","no migration background","14664","0.86217221283025","0.856945071322122","0.867399354338377"
"Not disabled","2008","direct migration background","1706","0.896206536207488","0.882539332667786","0.909873739747191"
"Not disabled","2008","indirect migration background","744","0.957515198168731","0.943296888115057","0.971733508222406"
"Disabled","2008","no migration background","2043","0.13782778716975","0.132600645661623","0.143054928677878"
"Disabled","2008","direct migration background","207","0.103793463792512","0.0901262602528086","0.117460667332214"
"Disabled","2008","indirect migration background","29","","",""
"Not disabled","2009","no migration background","13754","0.862607265436683","0.857223967230246","0.86799056364312"
"Not disabled","2009","direct migration background","1478","0.892831006927215","0.877959609204971","0.907702404649459"
"Not disabled","2009","indirect migration background","689","0.965572740876307","0.952208669311192","0.978936812441422"
"Disabled","2009","no migration background","1956","0.137392734563317","0.13200943635688","0.142776032769754"
"Disabled","2009","direct migration background","184","0.107168993072785","0.092297595350541","0.122040390795029"
"Disabled","2009","indirect migration background","26","","",""
"Not disabled","2010","no migration background","17928","0.863003455290522","0.858232742199274","0.867774168381769"
"Not disabled","2010","direct migration background","2705","0.904129321011533","0.893412100618863","0.914846541404204"
"Not disabled","2010","indirect migration background","1109","0.945843988570223","0.932746154880045","0.958941822260402"
"Disabled","2010","no migration background","2027","0.136996544709478","0.132225831618231","0.141767257800726"
"Disabled","2010","direct migration background","194","0.0958706789884667","0.0851534585957962","0.106587899381137"
"Disabled","2010","indirect migration background","38","0.0541560114297766","0.0410581777395985","0.0672538451199547"
"Not disabled","2011","no migration background","21274","0.86300875080485","0.85864958735768","0.86736791425202"
"Not disabled","2011","direct migration background","3018","0.91653611831493","0.907025750432632","0.926046486197228"
"Not disabled","2011","indirect migration background","1254","0.947985014454428","0.935946434142461","0.960023594766394"
"Disabled","2011","no migration background","2626","0.13699124919515","0.13263208574798","0.14135041264232"
"Disabled","2011","direct migration background","231","0.0834638816850705","0.0739535138027724","0.0929742495673685"
"Disabled","2011","indirect migration background","53","0.0520149855455724","0.0399764052336063","0.0640535658575385"
"Not disabled","2012","no migration background","20628","0.859039859080604","0.85457805264932","0.863501665511889"
"Not disabled","2012","direct migration background","2814","0.908796138288041","0.898578794147686","0.919013482428397"
"Not disabled","2012","indirect migration background","1223","0.934033944837852","0.920440951225551","0.947626938450153"
"Disabled","2012","no migration background","2738","0.140960140919396","0.136498334488111","0.145421947350681"
"Disabled","2012","direct migration background","236","0.0912038617119587","0.0809865175716032","0.101421205852314"
"Disabled","2012","indirect migration background","58","0.0659660551621482","0.0523730615498473","0.0795590487744491"
"Not disabled","2013","no migration background","19580","0.858697643318302","0.854113561418404","0.863281725218199"
"Not disabled","2013","direct migration background","6000","0.89830757185116","0.89090274440176","0.90571239930056"
"Not disabled","2013","indirect migration background","2058","0.946553469026351","0.937008269742277","0.956098668310424"
"Disabled","2013","no migration background","2601","0.141302356681698","0.136718274781801","0.145886438581596"
"Disabled","2013","direct migration background","400","0.10169242814884","0.0942876006994398","0.10909725559824"
"Disabled","2013","indirect migration background","75","0.0534465309736495","0.0439013316895756","0.0629917302577235"
"Not disabled","2014","no migration background","17681","0.85105471372939","0.846150486353878","0.855958941104902"
"Not disabled","2014","direct migration background","4766","0.898395670605971","0.890122426374666","0.906668914837275"
"Not disabled","2014","indirect migration background","1726","0.937911286964136","0.926747717613227","0.949074856315045"
"Disabled","2014","no migration background","2565","0.14894528627061","0.144041058895098","0.153849513646122"
"Disabled","2014","direct migration background","357","0.10160432939403","0.0933310851627252","0.109877573625334"
"Disabled","2014","indirect migration background","69","0.0620887130358636","0.0509251436849546","0.0732522823867725"
"Not disabled","2015","no migration background","16881","0.852792259452935","0.84779084565783","0.857793673248041"
"Not disabled","2015","direct migration background","5624","0.914245942821387","0.907121790785617","0.921370094857157"
"Not disabled","2015","indirect migration background","1626","0.950047748345714","0.939658514602616","0.960436982088812"
"Disabled","2015","no migration background","2398","0.147207740547065","0.142206326751959","0.15220915434217"
"Disabled","2015","direct migration background","310","0.085754057178613","0.0786299051428428","0.0928782092143832"
"Disabled","2015","indirect migration background","63","0.0499522516542857","0.0395630179111878","0.0603414853973836"
"Not disabled","2016","no migration background","15659","0.853176473402254","0.847993039566604","0.858359907237903"
"Not disabled","2016","direct migration background","4591","0.908079007350932","0.899982941394033","0.916175073307831"
"Not disabled","2016","indirect migration background","1510","0.954283832522522","0.94395212852029","0.964615536524753"
"Disabled","2016","no migration background","2251","0.146823526597746","0.141640092762097","0.152006960433396"
"Disabled","2016","direct migration background","301","0.0919209926490677","0.0838249266921686","0.100017058605967"
"Disabled","2016","indirect migration background","60","0.0457161674774785","0.0353844634752472","0.0560478714797097"
"Not disabled","2017","no migration background","17811","0.855917357711704","0.851085574803239","0.860749140620168"
"Not disabled","2017","direct migration background","4348","0.907559695919718","0.899243524824329","0.915875867015106"
"Not disabled","2017","indirect migration background","1635","0.953064499221754","0.943048799769675","0.963080198673833"
"Disabled","2017","no migration background","2481","0.144082642288296","0.139250859379832","0.148914425196761"
"Disabled","2017","direct migration background","312","0.0924403040802824","0.0841241329848935","0.100756475175671"
"Disabled","2017","indirect migration background","78","0.046935500778246","0.0369198013261665","0.0569512002303254"
"Not disabled","2018","no migration background","17068","0.856191263836843","0.85127705909307","0.861105468580617"
"Not disabled","2018","direct migration background","4110","0.90631675274773","0.897745830057772","0.914887675437688"
"Not disabled","2018","indirect migration background","1614","0.935819516796499","0.924193555552825","0.947445478040174"
"Disabled","2018","no migration background","2518","0.143808736163157","0.138894531419383","0.14872294090693"
"Disabled","2018","direct migration background","330","0.0936832472522701","0.085112324562312","0.102254169942228"
"Disabled","2018","indirect migration background","93","0.0641804832035007","0.0525545219598261","0.0758064444471753"
"Not disabled","2019","no migration background","17775","0.858198890748418","0.853395579558118","0.863002201938719"
"Not disabled","2019","direct migration background","3587","0.910237264790593","0.901210538033841","0.919263991547344"
"Not disabled","2019","indirect migration background","1618","0.934449796052903","0.922715904499535","0.946183687606272"
"Disabled","2019","no migration background","2487","0.141801109251581","0.136997798061281","0.146604420441882"
"Disabled","2019","direct migration background","265","0.0897627352094075","0.0807360084526558","0.0987894619661592"
"Disabled","2019","indirect migration background","91","0.0655502039470968","0.0538163123937282","0.0772840955004653"
