"year","age_gr","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","(Married) couple without C.","1.27","1","53","1","1","1","2","5","1.07","1.47","1","5","1","1"
"1984","16-34 y.","1-pers.-HH","2.08","1","31","1","1","2","4","10","1.29","2.87","1","10","1","1"
"1984","16-34 y.","Couple + C. GT 16 ","1.21","1","48","1","1","1","2","4","1.06","1.36","1","4","1","1"
"1984","16-34 y.","Couple + C. LE 16","1.24","1","231","1","1","1","2","6","1.14","1.34","1","7","1","1"
"1984","16-34 y.","Couple + C. LE and GT 16","1.72","1","41","1","1","1","2","10","1.19","2.25","1","10","1","1"
"1984","16-34 y.","Single parent","","","","","","","","","","","","","",""
"1984","35-65 y.","(Married) couple without C.","1.35","1","141","1","1","1","2","7","1.22","1.48","0","7","1","1"
"1984","35-65 y.","1-pers.-HH","1.17","1","64","1","1","1","2","3","1.04","1.3","1","4","1","1"
"1984","35-65 y.","Couple + C. GT 16 ","1.44","1","124","1","1","1","2","8","1.24","1.64","1","8","1","1"
"1984","35-65 y.","Couple + C. LE 16","1.32","1","144","1","1","1","2","5","1.19","1.45","1","7","1","1"
"1984","35-65 y.","Couple + C. LE and GT 16","1.53","1","119","1","1","1","2","14","1.22","1.84","1","14","1","1"
"1984","35-65 y.","Single parent","","","","","","","","","","","","","",""
"1984","66 and older","(Married) couple without C.","1.28","1","74","1","1","1","2","4","1.14","1.42","1","4","1","1"
"1984","66 and older","1-pers.-HH","1.3","1","65","1","1","1","2","6","1.1","1.5","0","6","1","1"
"1984","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1984","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"1984","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","66 and older","Single parent","","","","","","","","","","","","","",""
"1985","16-34 y.","(Married) couple without C.","1.27","1","52","1","1","1","2","6","1.02","1.52","1","6","1","1"
"1985","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"1985","16-34 y.","Couple + C. GT 16 ","1.14","1","62","1","1","1","1","8","0.91","1.37","1","8","1","1"
"1985","16-34 y.","Couple + C. LE 16","1.48","1","208","1","1","1","2","10","1.29","1.67","1","14","1","1"
"1985","16-34 y.","Couple + C. LE and GT 16","1.45","1","42","1","1","1","3","7","1.13","1.77","1","7","1","1"
"1985","16-34 y.","Single parent","","","","","","","","","","","","","",""
"1985","35-65 y.","(Married) couple without C.","1.48","1","125","1","1","1","2","14","1.21","1.75","1","14","1","1"
"1985","35-65 y.","1-pers.-HH","1.27","1","46","1","1","1","2","3","1.13","1.41","1","3","1","1"
"1985","35-65 y.","Couple + C. GT 16 ","1.39","1","103","1","1","1","2","17","1.07","1.71","1","17","1","1"
"1985","35-65 y.","Couple + C. LE 16","1.94","1","148","1","1","1","3","16","1.52","2.36","1","16","1","1"
"1985","35-65 y.","Couple + C. LE and GT 16","1.82","1","93","1","1","1","3","14","1.08","2.56","1","30","1","1"
"1985","35-65 y.","Single parent","","","","","","","","","","","","","",""
"1985","66 and older","(Married) couple without C.","1.36","1","66","1","1","1","2","5","1.16","1.56","1","5","1","1"
"1985","66 and older","1-pers.-HH","1.37","1","65","1","1","2","2","6","1.18","1.56","1","6","1","1"
"1985","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1985","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"1985","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1985","66 and older","Single parent","","","","","","","","","","","","","",""
"1986","16-34 y.","(Married) couple without C.","1.31","1","58","1","1","1","2","4","1.11","1.51","1","5","1","1"
