"pli0091_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","West Germany","","","",""
"Daily","1985","no migration background","East Germany","","","",""
"Daily","1985","direct migration background","West Germany","","","",""
"Daily","1985","direct migration background","East Germany","","","",""
"Daily","1985","indirect migration background","West Germany","","","",""
"Daily","1985","indirect migration background","East Germany","","","",""
"Min 1x per week","1985","no migration background","West Germany","773","0.0918844305354521","0.0855182517927371","0.0982506092781671"
"Min 1x per week","1985","no migration background","East Germany","","","",""
"Min 1x per week","1985","direct migration background","West Germany","231","0.0732077600069721","0.063750331411466","0.0826651886024782"
"Min 1x per week","1985","direct migration background","East Germany","","","",""
"Min 1x per week","1985","indirect migration background","West Germany","38","0.181173468806765","0.117823388230698","0.244523549382833"
"Min 1x per week","1985","indirect migration background","East Germany","","","",""
"Min 1x per month","1985","no migration background","West Germany","1103","0.13055767360036","0.123132460981726","0.137982886218994"
"Min 1x per month","1985","no migration background","East Germany","","","",""
"Min 1x per month","1985","direct migration background","West Germany","331","0.123538253986122","0.11159093306377","0.135485574908475"
"Min 1x per month","1985","direct migration background","East Germany","","","",""
"Min 1x per month","1985","indirect migration background","West Germany","35","0.182088035349137","0.118613737636907","0.245562333061368"
"Min 1x per month","1985","indirect migration background","East Germany","","","",""
"Rarely","1985","no migration background","West Germany","2701","0.314186949962021","0.303956747074612","0.32441715284943"
"Rarely","1985","no migration background","East Germany","","","",""
"Rarely","1985","direct migration background","West Germany","731","0.273090326265539","0.256913374159599","0.289267278371479"
"Rarely","1985","direct migration background","East Germany","","","",""
"Rarely","1985","indirect migration background","West Germany","37","0.277409145053674","0.203769695047279","0.351048595060068"
"Rarely","1985","indirect migration background","East Germany","","","",""
"Never","1985","no migration background","West Germany","3332","0.463370945902167","0.452381171073873","0.474360720730461"
"Never","1985","no migration background","East Germany","","","",""
"Never","1985","direct migration background","West Germany","1621","0.530163659741367","0.512042683224756","0.548284636257977"
"Never","1985","direct migration background","East Germany","","","",""
"Never","1985","indirect migration background","West Germany","32","0.359329350790424","0.280412875576653","0.438245826004194"
"Never","1985","indirect migration background","East Germany","","","",""
"Daily","1986","no migration background","West Germany","","","",""
"Daily","1986","no migration background","East Germany","","","",""
"Daily","1986","direct migration background","West Germany","","","",""
"Daily","1986","direct migration background","East Germany","","","",""
"Daily","1986","indirect migration background","West Germany","","","",""
"Daily","1986","indirect migration background","East Germany","","","",""
"Min 1x per week","1986","no migration background","West Germany","725","0.0894125214816674","0.0829822051336678","0.0958428378296669"
"Min 1x per week","1986","no migration background","East Germany","","","",""
"Min 1x per week","1986","direct migration background","West Germany","205","0.0602359678327458","0.0514840596924191","0.0689878759730725"
"Min 1x per week","1986","direct migration background","East Germany","","","",""
"Min 1x per week","1986","indirect migration background","West Germany","40","0.230229845684644","0.163955784039324","0.296503907329965"
"Min 1x per week","1986","indirect migration background","East Germany","","","",""
"Min 1x per month","1986","no migration background","West Germany","1138","0.140128142859528","0.132305529206735","0.147950756512321"
"Min 1x per month","1986","no migration background","East Germany","","","",""
"Min 1x per month","1986","direct migration background","West Germany","347","0.12092219962252","0.108929082623969","0.132915316621071"
"Min 1x per month","1986","direct migration background","East Germany","","","",""
"Min 1x per month","1986","indirect migration background","West Germany","40","0.165975576961862","0.107403082544224","0.224548071379501"
"Min 1x per month","1986","indirect migration background","East Germany","","","",""
"Rarely","1986","no migration background","West Germany","2555","0.309759290354804","0.299338880852756","0.320179699856851"
"Rarely","1986","no migration background","East Germany","","","",""
"Rarely","1986","direct migration background","West Germany","725","0.280580911169128","0.264054238178139","0.297107584160118"
"Rarely","1986","direct migration background","East Germany","","","",""
"Rarely","1986","indirect migration background","West Germany","41","0.249189560263663","0.181095016390299","0.317284104137026"
"Rarely","1986","indirect migration background","East Germany","","","",""
"Never","1986","no migration background","West Germany","3146","0.460700045304001","0.449467022247134","0.471933068360868"
"Never","1986","no migration background","East Germany","","","",""
"Never","1986","direct migration background","West Germany","1562","0.538260921375606","0.519922576497172","0.556599266254039"
"Never","1986","direct migration background","East Germany","","","",""
"Never","1986","indirect migration background","West Germany","34","0.354605017089831","0.279292446315146","0.429917587864515"
"Never","1986","indirect migration background","East Germany","","","",""
"Daily","1987","no migration background","West Germany","","","",""
"Daily","1987","no migration background","East Germany","","","",""
"Daily","1987","direct migration background","West Germany","","","",""
"Daily","1987","direct migration background","East Germany","","","",""
"Daily","1987","indirect migration background","West Germany","","","",""
"Daily","1987","indirect migration background","East Germany","","","",""
"Min 1x per week","1987","no migration background","West Germany","","","",""
"Min 1x per week","1987","no migration background","East Germany","","","",""
"Min 1x per week","1987","direct migration background","West Germany","","","",""
"Min 1x per week","1987","direct migration background","East Germany","","","",""
"Min 1x per week","1987","indirect migration background","West Germany","","","",""
"Min 1x per week","1987","indirect migration background","East Germany","","","",""
"Min 1x per month","1987","no migration background","West Germany","","","",""
"Min 1x per month","1987","no migration background","East Germany","","","",""
"Min 1x per month","1987","direct migration background","West Germany","","","",""
"Min 1x per month","1987","direct migration background","East Germany","","","",""
"Min 1x per month","1987","indirect migration background","West Germany","","","",""
"Min 1x per month","1987","indirect migration background","East Germany","","","",""
"Rarely","1987","no migration background","West Germany","","","",""
"Rarely","1987","no migration background","East Germany","","","",""
"Rarely","1987","direct migration background","West Germany","","","",""
"Rarely","1987","direct migration background","East Germany","","","",""
"Rarely","1987","indirect migration background","West Germany","","","",""
