"pli0091_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","in school","","","",""
"Daily","1985","1-pers.-HH","inadequately","","","",""
"Daily","1985","1-pers.-HH","general elemantary","","","",""
"Daily","1985","1-pers.-HH","middle vocational","","","",""
"Daily","1985","1-pers.-HH","vocational + Abi","","","",""
"Daily","1985","1-pers.-HH","higher vocational","","","",""
"Daily","1985","1-pers.-HH","higher education","","","",""
"Daily","1985","(Married) couple without C. ","in school","","","",""
"Daily","1985","(Married) couple without C. ","inadequately","","","",""
"Daily","1985","(Married) couple without C. ","general elemantary","","","",""
"Daily","1985","(Married) couple without C. ","middle vocational","","","",""
"Daily","1985","(Married) couple without C. ","vocational + Abi","","","",""
"Daily","1985","(Married) couple without C. ","higher vocational","","","",""
"Daily","1985","(Married) couple without C. ","higher education","","","",""
"Daily","1985","Single parent ","in school","","","",""
"Daily","1985","Single parent ","inadequately","","","",""
"Daily","1985","Single parent ","general elemantary","","","",""
"Daily","1985","Single parent ","middle vocational","","","",""
"Daily","1985","Single parent ","vocational + Abi","","","",""
"Daily","1985","Single parent ","higher vocational","","","",""
"Daily","1985","Single parent ","higher education","","","",""
"Daily","1985","Couple + C. LE 16 ","in school","","","",""
"Daily","1985","Couple + C. LE 16 ","inadequately","","","",""
"Daily","1985","Couple + C. LE 16 ","general elemantary","","","",""
"Daily","1985","Couple + C. LE 16 ","middle vocational","","","",""
"Daily","1985","Couple + C. LE 16 ","vocational + Abi","","","",""
"Daily","1985","Couple + C. LE 16 ","higher vocational","","","",""
"Daily","1985","Couple + C. LE 16 ","higher education","","","",""
"Daily","1985","Couple + C. GT 16 ","in school","","","",""
"Daily","1985","Couple + C. GT 16 ","inadequately","","","",""
"Daily","1985","Couple + C. GT 16 ","general elemantary","","","",""
"Daily","1985","Couple + C. GT 16 ","middle vocational","","","",""
"Daily","1985","Couple + C. GT 16 ","vocational + Abi","","","",""
"Daily","1985","Couple + C. GT 16 ","higher vocational","","","",""
"Daily","1985","Couple + C. GT 16 ","higher education","","","",""
"Daily","1985","Couple + C. LE and GT 16","in school","","","",""
"Daily","1985","Couple + C. LE and GT 16","inadequately","","","",""
"Daily","1985","Couple + C. LE and GT 16","general elemantary","","","",""
"Daily","1985","Couple + C. LE and GT 16","middle vocational","","","",""
"Daily","1985","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Daily","1985","Couple + C. LE and GT 16","higher vocational","","","",""
"Daily","1985","Couple + C. LE and GT 16","higher education","","","",""
"Min 1x per week","1985","1-pers.-HH","in school","","","",""
"Min 1x per week","1985","1-pers.-HH","inadequately","3","","",""
"Min 1x per week","1985","1-pers.-HH","general elemantary","16","","",""
"Min 1x per week","1985","1-pers.-HH","middle vocational","67","0.0917175507264973","0.0675300434314233","0.115905058021571"
"Min 1x per week","1985","1-pers.-HH","vocational + Abi","9","","",""
"Min 1x per week","1985","1-pers.-HH","higher vocational","13","","",""
"Min 1x per week","1985","1-pers.-HH","higher education","13","","",""
"Min 1x per week","1985","(Married) couple without C. ","in school","","","",""
"Min 1x per week","1985","(Married) couple without C. ","inadequately","","","",""
"Min 1x per week","1985","(Married) couple without C. ","general elemantary","14","","",""
"Min 1x per week","1985","(Married) couple without C. ","middle vocational","71","0.0485339226444982","0.0367523839107327","0.0603154613782637"
"Min 1x per week","1985","(Married) couple without C. ","vocational + Abi","2","","",""
"Min 1x per week","1985","(Married) couple without C. ","higher vocational","6","","",""
"Min 1x per week","1985","(Married) couple without C. ","higher education","16","","",""
"Min 1x per week","1985","Single parent ","in school","4","","",""
"Min 1x per week","1985","Single parent ","inadequately","4","","",""
"Min 1x per week","1985","Single parent ","general elemantary","31","0.1544891880876","0.103367391872082","0.205610984303118"
"Min 1x per week","1985","Single parent ","middle vocational","30","0.111542830013567","0.0715484756514851","0.151537184375649"
"Min 1x per week","1985","Single parent ","vocational + Abi","2","","",""
"Min 1x per week","1985","Single parent ","higher vocational","2","","",""
"Min 1x per week","1985","Single parent ","higher education","1","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","in school","1","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","inadequately","5","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","general elemantary","24","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","middle vocational","61","0.0447805585265279","0.0336021096712163","0.0559590073818395"
"Min 1x per week","1985","Couple + C. LE 16 ","vocational + Abi","5","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","higher vocational","10","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","higher education","13","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","in school","32","0.390592735248361","0.284344561014258","0.496840909482463"
"Min 1x per week","1985","Couple + C. GT 16 ","inadequately","7","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","general elemantary","104","0.163025583934083","0.13376005662359","0.192291111244575"
"Min 1x per week","1985","Couple + C. GT 16 ","middle vocational","148","0.14778838372373","0.124868513697031","0.170708253750429"
"Min 1x per week","1985","Couple + C. GT 16 ","vocational + Abi","4","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","higher vocational","8","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","higher education","14","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","in school","26","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","inadequately","10","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","general elemantary","97","0.22169884163075","0.185397753031846","0.257999930229654"
"Min 1x per week","1985","Couple + C. LE and GT 16","middle vocational","81","0.136547881272203","0.108433249956355","0.164662512588052"
"Min 1x per week","1985","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","higher vocational","2","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","higher education","4","","",""
"Min 1x per month","1985","1-pers.-HH","in school","","","",""
"Min 1x per month","1985","1-pers.-HH","inadequately","7","","",""
"Min 1x per month","1985","1-pers.-HH","general elemantary","23","","",""
"Min 1x per month","1985","1-pers.-HH","middle vocational","94","0.14455148053379","0.115082667766399","0.17402029330118"
"Min 1x per month","1985","1-pers.-HH","vocational + Abi","7","","",""
"Min 1x per month","1985","1-pers.-HH","higher vocational","16","","",""
"Min 1x per month","1985","1-pers.-HH","higher education","27","","",""
"Min 1x per month","1985","(Married) couple without C. ","in school","","","",""
"Min 1x per month","1985","(Married) couple without C. ","inadequately","8","","",""
"Min 1x per month","1985","(Married) couple without C. ","general elemantary","47","0.0521085344969455","0.0342358987360405","0.0699811702578505"
"Min 1x per month","1985","(Married) couple without C. ","middle vocational","150","0.105365881987616","0.0885331194889253","0.122198644486307"
"Min 1x per month","1985","(Married) couple without C. ","vocational + Abi","19","","",""
"Min 1x per month","1985","(Married) couple without C. ","higher vocational","15","","",""
"Min 1x per month","1985","(Married) couple without C. ","higher education","39","0.175463674480255","0.121801540006525","0.229125808953984"
"Min 1x per month","1985","Single parent ","in school","8","","",""
"Min 1x per month","1985","Single parent ","inadequately","3","","",""
"Min 1x per month","1985","Single parent ","general elemantary","34","0.187146870323084","0.131977909677746","0.242315830968422"
"Min 1x per month","1985","Single parent ","middle vocational","46","0.18208200494193","0.133053572555049","0.231110437328811"
"Min 1x per month","1985","Single parent ","vocational + Abi","1","","",""
"Min 1x per month","1985","Single parent ","higher vocational","5","","",""
"Min 1x per month","1985","Single parent ","higher education","2","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","in school","","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","inadequately","15","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","general elemantary","44","0.0819698271366998","0.0589392231753818","0.105000431098018"
"Min 1x per month","1985","Couple + C. LE 16 ","middle vocational","124","0.0879047269651745","0.0726004988013138","0.103208955129035"
"Min 1x per month","1985","Couple + C. LE 16 ","vocational + Abi","14","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","higher vocational","27","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","higher education","33","0.135443414510374","0.0924184408907491","0.17846838813"
"Min 1x per month","1985","Couple + C. GT 16 ","in school","32","0.436374817430768","0.328373111316126","0.544376523545411"
"Min 1x per month","1985","Couple + C. GT 16 ","inadequately","8","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","general elemantary","104","0.181762307741458","0.151208591936668","0.212316023546248"
"Min 1x per month","1985","Couple + C. GT 16 ","middle vocational","161","0.16886896574634","0.144673836453449","0.193064095039231"
"Min 1x per month","1985","Couple + C. GT 16 ","vocational + Abi","6","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","higher vocational","8","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","higher education","16","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","in school","23","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","inadequately","9","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","general elemantary","86","0.185337904304596","0.15138046152802","0.219295347081173"
"Min 1x per month","1985","Couple + C. LE and GT 16","middle vocational","90","0.155238341547268","0.12558747608177","0.184889207012767"
"Min 1x per month","1985","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","higher vocational","4","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","higher education","8","","",""
"Rarely","1985","1-pers.-HH","in school","","","",""
"Rarely","1985","1-pers.-HH","inadequately","9","","",""
"Rarely","1985","1-pers.-HH","general elemantary","31","0.0832283389790154","0.0536045189032707","0.11285215905476"
"Rarely","1985","1-pers.-HH","middle vocational","90","0.148806376558603","0.118981450236899","0.178631302880308"
"Rarely","1985","1-pers.-HH","vocational + Abi","13","","",""
"Rarely","1985","1-pers.-HH","higher vocational","19","","",""
"Rarely","1985","1-pers.-HH","higher education","34","0.293687861533627","0.206984388950081","0.380391334117173"
"Rarely","1985","(Married) couple without C. ","in school","","","",""
"Rarely","1985","(Married) couple without C. ","inadequately","18","","",""
"Rarely","1985","(Married) couple without C. ","general elemantary","133","0.207850074795827","0.175218829055593","0.240481320536061"
"Rarely","1985","(Married) couple without C. ","middle vocational","417","0.308662206578529","0.283336035164521","0.333988377992536"
"Rarely","1985","(Married) couple without C. ","vocational + Abi","20","","",""
"Rarely","1985","(Married) couple without C. ","higher vocational","54","0.323081298138974","0.249459502110865","0.396703094167084"
"Rarely","1985","(Married) couple without C. ","higher education","67","0.328641576719835","0.262372959222473","0.394910194217197"
"Rarely","1985","Single parent ","in school","6","","",""
"Rarely","1985","Single parent ","inadequately","8","","",""
"Rarely","1985","Single parent ","general elemantary","41","0.236427539799561","0.176327932209537","0.296527147389585"
"Rarely","1985","Single parent ","middle vocational","84","0.374516177547985","0.313026396820588","0.436005958275383"
"Rarely","1985","Single parent ","vocational + Abi","3","","",""
"Rarely","1985","Single parent ","higher vocational","6","","",""
"Rarely","1985","Single parent ","higher education","7","","",""
"Rarely","1985","Couple + C. LE 16 ","in school","","","",""
"Rarely","1985","Couple + C. LE 16 ","inadequately","51","0.223022700984193","0.171627032243621","0.274418369724764"
"Rarely","1985","Couple + C. LE 16 ","general elemantary","192","0.397497853863093","0.356411601148931","0.438584106577255"
"Rarely","1985","Couple + C. LE 16 ","middle vocational","655","0.527861765764244","0.500879407561677","0.554844123966812"
"Rarely","1985","Couple + C. LE 16 ","vocational + Abi","29","","",""
"Rarely","1985","Couple + C. LE 16 ","higher vocational","100","0.555424181399121","0.484011238731772","0.626837124066471"
"Rarely","1985","Couple + C. LE 16 ","higher education","131","0.546326101057647","0.483730642399199","0.608921559716096"
"Rarely","1985","Couple + C. GT 16 ","in school","14","","",""
"Rarely","1985","Couple + C. GT 16 ","inadequately","33","0.405472853723302","0.322030027160245","0.488915680286359"
"Rarely","1985","Couple + C. GT 16 ","general elemantary","162","0.247895375994547","0.213685955108696","0.282104796880398"
"Rarely","1985","Couple + C. GT 16 ","middle vocational","307","0.34112225471777","0.310504332030337","0.371740177405203"
"Rarely","1985","Couple + C. GT 16 ","vocational + Abi","15","","",""
"Rarely","1985","Couple + C. GT 16 ","higher vocational","43","0.423793436534329","0.326452233949321","0.521134639119337"
"Rarely","1985","Couple + C. GT 16 ","higher education","36","0.313987472109275","0.226049107300017","0.401925836918532"
"Rarely","1985","Couple + C. LE and GT 16","in school","21","","",""
"Rarely","1985","Couple + C. LE and GT 16","inadequately","25","","",""
"Rarely","1985","Couple + C. LE and GT 16","general elemantary","124","0.282048016111056","0.242722600324922","0.32137343189719"
"Rarely","1985","Couple + C. LE and GT 16","middle vocational","214","0.40162264769225","0.361483564247879","0.441761731136621"
"Rarely","1985","Couple + C. LE and GT 16","vocational + Abi","5","","",""
"Rarely","1985","Couple + C. LE and GT 16","higher vocational","14","","",""
"Rarely","1985","Couple + C. LE and GT 16","higher education","28","","",""
"Never","1985","1-pers.-HH","in school","","","",""
"Never","1985","1-pers.-HH","inadequately","36","0.615575523372466","0.487013430519728","0.744137616225204"
"Never","1985","1-pers.-HH","general elemantary","264","0.842285894196882","0.80319821453887","0.881373573854893"
"Never","1985","1-pers.-HH","middle vocational","296","0.61492459218111","0.574145434514184","0.655703749848036"
"Never","1985","1-pers.-HH","vocational + Abi","9","","",""
"Never","1985","1-pers.-HH","higher vocational","32","0.456750651157407","0.347595988366071","0.565905313948743"
"Never","1985","1-pers.-HH","higher education","32","0.358708992586346","0.267404138759962","0.450013846412729"
"Never","1985","(Married) couple without C. ","in school","","","",""
"Never","1985","(Married) couple without C. ","inadequately","72","0.700383892761651","0.609688399605742","0.79107938591756"
"Never","1985","(Married) couple without C. ","general elemantary","400","0.723325456829434","0.687349997778166","0.759300915880703"
"Never","1985","(Married) couple without C. ","middle vocational","640","0.537437988789357","0.51010218641392","0.564773791164794"
"Never","1985","(Married) couple without C. ","vocational + Abi","31","0.460673094761997","0.345538904700094","0.575807284823901"
"Never","1985","(Married) couple without C. ","higher vocational","80","0.563260931923159","0.485179444451262","0.641342419395055"
"Never","1985","(Married) couple without C. ","higher education","71","0.42013995927339","0.350504888411968","0.489775030134813"
"Never","1985","Single parent ","in school","1","","",""
"Never","1985","Single parent ","inadequately","27","","",""
"Never","1985","Single parent ","general elemantary","86","0.421936401789755","0.352079586109339","0.491793217470171"
"Never","1985","Single parent ","middle vocational","78","0.331858987496518","0.27203567320748","0.391682301785556"
"Never","1985","Single parent ","vocational + Abi","3","","",""
"Never","1985","Single parent ","higher vocational","10","","",""
"Never","1985","Single parent ","higher education","5","","",""
"Never","1985","Couple + C. LE 16 ","in school","","","",""
"Never","1985","Couple + C. LE 16 ","inadequately","181","0.723098716791742","0.667851665894026","0.778345767689457"
"Never","1985","Couple + C. LE 16 ","general elemantary","285","0.472823266126655","0.430907503064121","0.514739029189188"
"Never","1985","Couple + C. LE 16 ","middle vocational","475","0.339452948744053","0.313859613439571","0.365046284048536"
"Never","1985","Couple + C. LE 16 ","vocational + Abi","29","","",""
"Never","1985","Couple + C. LE 16 ","higher vocational","49","0.269758773640763","0.205974651593806","0.33354289568772"
"Never","1985","Couple + C. LE 16 ","higher education","66","0.270789956119609","0.214918813772359","0.326661098466859"
"Never","1985","Couple + C. GT 16 ","in school","3","","",""
"Never","1985","Couple + C. GT 16 ","inadequately","85","0.408770611046864","0.325221831621154","0.492319390472574"
"Never","1985","Couple + C. GT 16 ","general elemantary","242","0.407316732329912","0.36838983059604","0.446243634063784"
"Never","1985","Couple + C. GT 16 ","middle vocational","305","0.342220395812161","0.311578796997351","0.372861994626971"
"Never","1985","Couple + C. GT 16 ","vocational + Abi","10","","",""
"Never","1985","Couple + C. GT 16 ","higher vocational","40","0.42768909278487","0.330232641658269","0.525145543911471"
"Never","1985","Couple + C. GT 16 ","higher education","41","0.439028696835211","0.344997280195253","0.53306011347517"
"Never","1985","Couple + C. LE and GT 16","in school","9","","",""
"Never","1985","Couple + C. LE and GT 16","inadequately","153","0.642654852317459","0.575736102616538","0.709573602018381"
"Never","1985","Couple + C. LE and GT 16","general elemantary","196","0.310915237953598","0.270464967906214","0.351365508000982"
"Never","1985","Couple + C. LE and GT 16","middle vocational","188","0.306591129488278","0.268838668340833","0.344343590635724"
"Never","1985","Couple + C. LE and GT 16","vocational + Abi","8","","",""
"Never","1985","Couple + C. LE and GT 16","higher vocational","16","","",""
"Never","1985","Couple + C. LE and GT 16","higher education","8","","",""
"Daily","1986","1-pers.-HH","in school","","","",""
"Daily","1986","1-pers.-HH","inadequately","","","",""
"Daily","1986","1-pers.-HH","general elemantary","","","",""
"Daily","1986","1-pers.-HH","middle vocational","","","",""
"Daily","1986","1-pers.-HH","vocational + Abi","","","",""
"Daily","1986","1-pers.-HH","higher vocational","","","",""
"Daily","1986","1-pers.-HH","higher education","","","",""
"Daily","1986","(Married) couple without C. ","in school","","","",""
"Daily","1986","(Married) couple without C. ","inadequately","","","",""
"Daily","1986","(Married) couple without C. ","general elemantary","","","",""
"Daily","1986","(Married) couple without C. ","middle vocational","","","",""
"Daily","1986","(Married) couple without C. ","vocational + Abi","","","",""
"Daily","1986","(Married) couple without C. ","higher vocational","","","",""
"Daily","1986","(Married) couple without C. ","higher education","","","",""
"Daily","1986","Single parent ","in school","","","",""
"Daily","1986","Single parent ","inadequately","","","",""
"Daily","1986","Single parent ","general elemantary","","","",""
"Daily","1986","Single parent ","middle vocational","","","",""
"Daily","1986","Single parent ","vocational + Abi","","","",""
"Daily","1986","Single parent ","higher vocational","","","",""
"Daily","1986","Single parent ","higher education","","","",""
"Daily","1986","Couple + C. LE 16 ","in school","","","",""
"Daily","1986","Couple + C. LE 16 ","inadequately","","","",""
"Daily","1986","Couple + C. LE 16 ","general elemantary","","","",""
"Daily","1986","Couple + C. LE 16 ","middle vocational","","","",""
"Daily","1986","Couple + C. LE 16 ","vocational + Abi","","","",""
"Daily","1986","Couple + C. LE 16 ","higher vocational","","","",""
"Daily","1986","Couple + C. LE 16 ","higher education","","","",""
"Daily","1986","Couple + C. GT 16 ","in school","","","",""
"Daily","1986","Couple + C. GT 16 ","inadequately","","","",""
"Daily","1986","Couple + C. GT 16 ","general elemantary","","","",""
"Daily","1986","Couple + C. GT 16 ","middle vocational","","","",""
"Daily","1986","Couple + C. GT 16 ","vocational + Abi","","","",""
"Daily","1986","Couple + C. GT 16 ","higher vocational","","","",""
"Daily","1986","Couple + C. GT 16 ","higher education","","","",""
"Daily","1986","Couple + C. LE and GT 16","in school","","","",""
"Daily","1986","Couple + C. LE and GT 16","inadequately","","","",""
"Daily","1986","Couple + C. LE and GT 16","general elemantary","","","",""
"Daily","1986","Couple + C. LE and GT 16","middle vocational","","","",""
"Daily","1986","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Daily","1986","Couple + C. LE and GT 16","higher vocational","","","",""
"Daily","1986","Couple + C. LE and GT 16","higher education","","","",""
"Min 1x per week","1986","1-pers.-HH","in school","","","",""
"Min 1x per week","1986","1-pers.-HH","inadequately","4","","",""
"Min 1x per week","1986","1-pers.-HH","general elemantary","8","","",""
"Min 1x per week","1986","1-pers.-HH","middle vocational","53","0.0745537368553969","0.0524605438007551","0.0966469299100386"
"Min 1x per week","1986","1-pers.-HH","vocational + Abi","5","","",""
"Min 1x per week","1986","1-pers.-HH","higher vocational","7","","",""
"Min 1x per week","1986","1-pers.-HH","higher education","17","","",""
"Min 1x per week","1986","(Married) couple without C. ","in school","","","",""
"Min 1x per week","1986","(Married) couple without C. ","inadequately","2","","",""
