"pli0091_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","in school","","","",""
"Daily","1985","no migration background","inadequately","","","",""
"Daily","1985","no migration background","general elemantary","","","",""
"Daily","1985","no migration background","middle vocational","","","",""
"Daily","1985","no migration background","vocational + Abi","","","",""
"Daily","1985","no migration background","higher vocational","","","",""
"Daily","1985","no migration background","higher education","","","",""
"Daily","1985","direct migration background","in school","","","",""
"Daily","1985","direct migration background","inadequately","","","",""
"Daily","1985","direct migration background","general elemantary","","","",""
"Daily","1985","direct migration background","middle vocational","","","",""
"Daily","1985","direct migration background","vocational + Abi","","","",""
"Daily","1985","direct migration background","higher vocational","","","",""
"Daily","1985","direct migration background","higher education","","","",""
"Daily","1985","indirect migration background","in school","","","",""
"Daily","1985","indirect migration background","inadequately","","","",""
"Daily","1985","indirect migration background","general elemantary","","","",""
"Daily","1985","indirect migration background","middle vocational","","","",""
"Daily","1985","indirect migration background","vocational + Abi","","","",""
"Daily","1985","indirect migration background","higher vocational","","","",""
"Daily","1985","indirect migration background","higher education","","","",""
"Min 1x per week","1985","no migration background","in school","52","0.329240221476571","0.255019071410753","0.403461371542389"
"Min 1x per week","1985","no migration background","inadequately","13","","",""
"Min 1x per week","1985","no migration background","general elemantary","205","0.0881899995505959","0.0759859050820365","0.100394094019155"
"Min 1x per week","1985","no migration background","middle vocational","374","0.0849483892047915","0.0765054574301448","0.0933913209794382"
"Min 1x per week","1985","no migration background","vocational + Abi","20","","",""
"Min 1x per week","1985","no migration background","higher vocational","39","0.0695749265320223","0.0485021792701139","0.0906476737939308"
"Min 1x per week","1985","no migration background","higher education","60","0.0867554087566892","0.0648797385332252","0.108631078980153"
"Min 1x per week","1985","direct migration background","in school","8","","",""
"Min 1x per week","1985","direct migration background","inadequately","16","","",""
"Min 1x per week","1985","direct migration background","general elemantary","86","0.0835119358459199","0.0655666498389962","0.101457221852844"
"Min 1x per week","1985","direct migration background","middle vocational","103","0.089524002104013","0.0708821228532832","0.108165881354743"
"Min 1x per week","1985","direct migration background","vocational + Abi","6","","",""
"Min 1x per week","1985","direct migration background","higher vocational","4","","",""
"Min 1x per week","1985","direct migration background","higher education","8","","",""
"Min 1x per week","1985","indirect migration background","in school","5","","",""
"Min 1x per week","1985","indirect migration background","inadequately","","","",""
"Min 1x per week","1985","indirect migration background","general elemantary","14","","",""
"Min 1x per week","1985","indirect migration background","middle vocational","17","","",""
"Min 1x per week","1985","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1985","indirect migration background","higher vocational","1","","",""
"Min 1x per week","1985","indirect migration background","higher education","1","","",""
"Min 1x per month","1985","no migration background","in school","60","0.408809792758516","0.331165061409589","0.486454524107442"
"Min 1x per month","1985","no migration background","inadequately","6","","",""
"Min 1x per month","1985","no migration background","general elemantary","245","0.107597178327792","0.094261207906334","0.12093314874925"
"Min 1x per month","1985","no migration background","middle vocational","562","0.126588019005675","0.116518730483934","0.136657307527416"
"Min 1x per month","1985","no migration background","vocational + Abi","31","0.175669876824025","0.118466342318191","0.232873411329859"
"Min 1x per month","1985","no migration background","higher vocational","71","0.117232666795685","0.0905885378629759","0.143876795728394"
"Min 1x per month","1985","no migration background","higher education","116","0.172107938243908","0.142771536566681","0.201444339921135"
"Min 1x per month","1985","direct migration background","in school","3","","",""
"Min 1x per month","1985","direct migration background","inadequately","45","0.0688590579588116","0.0507852081927348","0.0869329077248884"
"Min 1x per month","1985","direct migration background","general elemantary","104","0.111419316559602","0.0910093928502743","0.131829240268931"
"Min 1x per month","1985","direct migration background","middle vocational","132","0.137559718139195","0.11506938696282","0.160050049315571"
"Min 1x per month","1985","direct migration background","vocational + Abi","25","","",""
"Min 1x per month","1985","direct migration background","higher vocational","7","","",""
"Min 1x per month","1985","direct migration background","higher education","13","","",""
"Min 1x per month","1985","indirect migration background","in school","2","","",""
"Min 1x per month","1985","indirect migration background","inadequately","1","","",""
"Min 1x per month","1985","indirect migration background","general elemantary","18","","",""
"Min 1x per month","1985","indirect migration background","middle vocational","11","","",""
"Min 1x per month","1985","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1985","indirect migration background","higher vocational","","","",""
"Min 1x per month","1985","indirect migration background","higher education","1","","",""
"Rarely","1985","no migration background","in school","35","0.214415172018647","0.149594723665407","0.279235620371887"
