"pli0091_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","Full Time","","","","","1"
"Daily","1985","16-34 y.","Part Time","","","","","1"
"Daily","1985","16-34 y.","Not Working","","","","","1"
"Daily","1985","35-65 y.","Full Time","","","","","1"
"Daily","1985","35-65 y.","Part Time","","","","","1"
"Daily","1985","35-65 y.","Not Working","","","","","1"
"Daily","1985","66 and older","Full Time","","","","","1"
"Daily","1985","66 and older","Part Time","","","","","1"
"Daily","1985","66 and older","Not Working","","","","","1"
"Min 1x per month","1985","16-34 y.","Not Working","320","0.276385403359261","0.25245869015198","0.300312116566541","3"
"Min 1x per month","1985","66 and older","Part Time","","","","","3"
"Min 1x per month","1985","66 and older","Full Time","1","","","","3"
"Min 1x per month","1985","16-34 y.","Part Time","208","0.26364043251241","0.234496254710621","0.292784610314199","3"
"Min 1x per month","1985","35-65 y.","Not Working","94","0.051618512403143","0.0413428362773821","0.0618941885289039","3"
"Min 1x per month","1985","66 and older","Not Working","12","","","","3"
"Min 1x per month","1985","16-34 y.","Full Time","492","0.276894702755507","0.256910904124155","0.296878501386859","3"
"Min 1x per month","1985","35-65 y.","Full Time","276","0.0916914013959208","0.0813593695161348","0.102023433275707","3"
"Min 1x per month","1985","35-65 y.","Part Time","66","0.070914175869433","0.0545314301106783","0.0872969216281878","3"
"Min 1x per week","1985","66 and older","Full Time","","","","","2"
"Min 1x per week","1985","16-34 y.","Not Working","256","0.21145841105685","0.18961116916584","0.23330565294786","2"
"Min 1x per week","1985","16-34 y.","Full Time","379","0.204320886750931","0.186313723122925","0.222328050378937","2"
"Min 1x per week","1985","16-34 y.","Part Time","189","0.229066586544824","0.201270084970823","0.256863088118825","2"
"Min 1x per week","1985","35-65 y.","Not Working","33","0.019065636171271","0.0127143489028294","0.0254169234397125","2"
"Min 1x per week","1985","35-65 y.","Part Time","25","","","","2"
"Min 1x per week","1985","66 and older","Not Working","13","","","","2"
"Min 1x per week","1985","35-65 y.","Full Time","147","0.0511862826416812","0.0432963736784774","0.059076191604885","2"
"Min 1x per week","1985","66 and older","Part Time","","","","","2"
"Never","1985","35-65 y.","Part Time","477","0.49280178651153","0.460892489310083","0.524711083712976","5"
"Never","1985","16-34 y.","Full Time","336","0.128527313851722","0.113580640097144","0.143473987606301","5"
"Never","1985","16-34 y.","Not Working","314","0.171237910477439","0.15108272814482","0.191393092810058","5"
"Never","1985","35-65 y.","Full Time","1484","0.451655510563745","0.433838488495237","0.469472532632252","5"
"Never","1985","16-34 y.","Part Time","173","0.142172872957921","0.119073026631435","0.165272719284408","5"
"Never","1985","35-65 y.","Not Working","1214","0.672340459168408","0.650542182338778","0.694138735998038","5"
"Never","1985","66 and older","Full Time","14","","","","5"
"Never","1985","66 and older","Part Time","26","","","","5"
"Never","1985","66 and older","Not Working","947","0.908589948188297","0.891199819225285","0.925980077151308","5"
"Rarely","1985","16-34 y.","Full Time","719","0.39025709664184","0.368471536469406","0.412042656814274","4"
"Rarely","1985","16-34 y.","Part Time","308","0.365120107984844","0.333273403731922","0.396966812237767","4"
"Rarely","1985","16-34 y.","Not Working","452","0.340918275106451","0.315557261378104","0.366279288834797","4"
"Rarely","1985","35-65 y.","Part Time","375","0.408477197067161","0.377103774508344","0.439850619625977","4"
"Rarely","1985","35-65 y.","Not Working","440","0.256975392257178","0.236681586524408","0.277269197989948","4"
"Rarely","1985","66 and older","Full Time","1","","","","4"
"Rarely","1985","66 and older","Not Working","83","0.070512390782245","0.0550642441325211","0.0859605374319689","4"
"Rarely","1985","66 and older","Part Time","1","","","","4"
"Rarely","1985","35-65 y.","Full Time","1090","0.405466805398654","0.387888766304221","0.423044844493086","4"
"Daily","1986","16-34 y.","Full Time","","","","","1"
"Daily","1986","16-34 y.","Part Time","","","","","1"
"Daily","1986","16-34 y.","Not Working","","","","","1"
"Daily","1986","35-65 y.","Full Time","","","","","1"
"Daily","1986","35-65 y.","Part Time","","","","","1"
"Daily","1986","35-65 y.","Not Working","","","","","1"
"Daily","1986","66 and older","Full Time","","","","","1"
"Daily","1986","66 and older","Part Time","","","","","1"
"Daily","1986","66 and older","Not Working","","","","","1"
"Min 1x per month","1986","16-34 y.","Part Time","237","0.277297759917239","0.247820703603058","0.306774816231421","3"
