"pli0091_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","no migration background","Urban Area","","","","","1"
"Daily","1985","no migration background","Rural Area","","","","","1"
"Daily","1985","direct migration background","Urban Area","","","","","1"
"Daily","1985","direct migration background","Rural Area","","","","","1"
"Daily","1985","indirect migration background","Urban Area","","","","","1"
"Daily","1985","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1985","no migration background","Urban Area","889","0.139425010359503","0.130668331356429","0.148181689362578","3"
"Min 1x per month","1985","direct migration background","Urban Area","295","0.126032366217943","0.113198581241434","0.138866151194452","3"
"Min 1x per month","1985","no migration background","Rural Area","214","0.103358185536026","0.0896625585406612","0.11705381253139","3"
"Min 1x per month","1985","direct migration background","Rural Area","36","0.108296853086755","0.0755057058200236","0.141088000353485","3"
"Min 1x per month","1985","indirect migration background","Urban Area","28","","","","3"
"Min 1x per month","1985","indirect migration background","Rural Area","7","","","","3"
"Min 1x per week","1985","no migration background","Rural Area","205","0.102376220260372","0.0887383452048424","0.116014095315901","2"
"Min 1x per week","1985","no migration background","Urban Area","568","0.0884639899566833","0.0812853048450908","0.0956426750682759","2"
"Min 1x per week","1985","direct migration background","Urban Area","197","0.0649701027000957","0.0554391664585624","0.0745010389416291","2"
"Min 1x per week","1985","indirect migration background","Urban Area","35","0.204842524116799","0.134091990937833","0.275593057295764","2"
"Min 1x per week","1985","direct migration background","Rural Area","34","0.123547690938656","0.0888244699144641","0.158270911962848","2"
"Min 1x per week","1985","indirect migration background","Rural Area","3","","","","2"
"Never","1985","no migration background","Urban Area","2507","0.458217523853226","0.445621802311198","0.470813245395254","5"
"Never","1985","no migration background","Rural Area","825","0.479178447671637","0.456703789299199","0.501653106044075","5"
"Never","1985","direct migration background","Urban Area","1440","0.533765587732872","0.514475087620631","0.553056087845112","5"
"Never","1985","direct migration background","Rural Area","181","0.508152449568553","0.455399006313384","0.560905892823721","5"
"Never","1985","indirect migration background","Urban Area","27","","","","5"
"Never","1985","indirect migration background","Rural Area","5","","","","5"
"Rarely","1985","direct migration background","Rural Area","94","0.260003006406037","0.213717746581311","0.306288266230762","4"
"Rarely","1985","no migration background","Rural Area","654","0.315087146531965","0.294187786441071","0.335986506622859","4"
"Rarely","1985","direct migration background","Urban Area","637","0.27523194334909","0.257961042966275","0.292502843731905","4"
"Rarely","1985","no migration background","Urban Area","2047","0.313893475830587","0.302161756993233","0.325625194667941","4"
"Rarely","1985","indirect migration background","Urban Area","35","0.284731425006566","0.20561887962527","0.363843970387863","4"
"Rarely","1985","indirect migration background","Rural Area","2","","","","4"
"Daily","1986","no migration background","Urban Area","","","","","1"
"Daily","1986","no migration background","Rural Area","","","","","1"
"Daily","1986","direct migration background","Urban Area","","","","","1"
