"pli0091_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","(0) in school","","","",""
"Daily","1985","no migration background","(1a) inadequately completed","","","",""
"Daily","1985","no migration background","(1b) general elementary school","","","",""
"Daily","1985","no migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","no migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","no migration background","(2a) intermediate vocational","","","",""
"Daily","1985","no migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","no migration background","(3a) lower tertiary education","","","",""
"Daily","1985","no migration background","(3b) higher tertiary education","","","",""
"Daily","1985","direct migration background","(0) in school","","","",""
"Daily","1985","direct migration background","(1a) inadequately completed","","","",""
"Daily","1985","direct migration background","(1b) general elementary school","","","",""
"Daily","1985","direct migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","direct migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","direct migration background","(2a) intermediate vocational","","","",""
"Daily","1985","direct migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","direct migration background","(3a) lower tertiary education","","","",""
"Daily","1985","direct migration background","(3b) higher tertiary education","","","",""
"Daily","1985","indirect migration background","(0) in school","","","",""
"Daily","1985","indirect migration background","(1a) inadequately completed","","","",""
"Daily","1985","indirect migration background","(1b) general elementary school","","","",""
"Daily","1985","indirect migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","indirect migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","indirect migration background","(2a) intermediate vocational","","","",""
"Daily","1985","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1985","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","no migration background","(0) in school","52","0.329240221476571","0.255019071410753","0.403461371542389"
"Min 1x per week","1985","no migration background","(1a) inadequately completed","10","","",""
"Min 1x per week","1985","no migration background","(1b) general elementary school","103","0.0544105941550346","0.0436122721774897","0.0652089161325795"
"Min 1x per week","1985","no migration background","(1c) basic vocational qualification","190","0.05914162821281","0.0508578620544251","0.0674253943711949"
"Min 1x per week","1985","no migration background","(2b) intermediate general qualification","106","0.247118561516027","0.204901122623426","0.289336000408627"
"Min 1x per week","1985","no migration background","(2a) intermediate vocational","135","0.107936723365053","0.0906377113112878","0.125235735418818"
"Min 1x per week","1985","no migration background","(2c_gen) general maturity certificate","73","0.269601874867704","0.215558870067289","0.323644879668118"
"Min 1x per week","1985","no migration background","(2c_voc) vocational maturity certificate","33","0.118275696003142","0.0808491941638033","0.155702197842481"
"Min 1x per week","1985","no migration background","(3a) lower tertiary education","15","","",""
"Min 1x per week","1985","no migration background","(3b) higher tertiary education","45","0.0977947663847738","0.0691820955767758","0.126407437192772"
"Min 1x per week","1985","direct migration background","(0) in school","8","","",""
"Min 1x per week","1985","direct migration background","(1a) inadequately completed","21","","",""
"Min 1x per week","1985","direct migration background","(1b) general elementary school","70","0.0602475568159114","0.0444181485597634","0.0760769650720593"
"Min 1x per week","1985","direct migration background","(1c) basic vocational qualification","70","0.071413703076383","0.0514629168095161","0.0913644893432498"
"Min 1x per week","1985","direct migration background","(2b) intermediate general qualification","17","","",""
"Min 1x per week","1985","direct migration background","(2a) intermediate vocational","7","","",""
"Min 1x per week","1985","direct migration background","(2c_gen) general maturity certificate","21","","",""
"Min 1x per week","1985","direct migration background","(2c_voc) vocational maturity certificate","8","","",""
"Min 1x per week","1985","direct migration background","(3a) lower tertiary education","1","","",""
"Min 1x per week","1985","direct migration background","(3b) higher tertiary education","7","","",""
"Min 1x per week","1985","indirect migration background","(0) in school","5","","",""
"Min 1x per week","1985","indirect migration background","(1a) inadequately completed","","","",""
"Min 1x per week","1985","indirect migration background","(1b) general elementary school","7","","",""
"Min 1x per week","1985","indirect migration background","(1c) basic vocational qualification","10","","",""
"Min 1x per week","1985","indirect migration background","(2b) intermediate general qualification","7","","",""
"Min 1x per week","1985","indirect migration background","(2a) intermediate vocational","6","","",""
"Min 1x per week","1985","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","indirect migration background","(3b) higher tertiary education","1","","",""
