"pli0091_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Not Employed","in school","","","","","1"
"Daily","1985","Not Employed","inadequately","","","","","1"
"Daily","1985","Not Employed","general elemantary","","","","","1"
"Daily","1985","Not Employed","middle vocational","","","","","1"
"Daily","1985","Not Employed","vocational + Abi","","","","","1"
"Daily","1985","Not Employed","higher vocational","","","","","1"
"Daily","1985","Not Employed","higher education","","","","","1"
"Daily","1985","Employed","in school","","","","","1"
"Daily","1985","Employed","inadequately","","","","","1"
"Daily","1985","Employed","general elemantary","","","","","1"
"Daily","1985","Employed","middle vocational","","","","","1"
"Daily","1985","Employed","vocational + Abi","","","","","1"
"Daily","1985","Employed","higher vocational","","","","","1"
"Daily","1985","Employed","higher education","","","","","1"
"Min 1x per month","1985","Employed","in school","2","","","","3"
"Min 1x per month","1985","Not Employed","higher education","10","","","","3"
"Min 1x per month","1985","Employed","general elemantary","214","0.152289033079741","0.13427949541924","0.170298570740242","3"
"Min 1x per month","1985","Not Employed","in school","63","0.393452820544841","0.321887898789226","0.465017742300456","3"
"Min 1x per month","1985","Not Employed","inadequately","16","","","","3"
"Min 1x per month","1985","Not Employed","general elemantary","153","0.0795183931885176","0.0659040511952525","0.0931327351817827","3"
"Min 1x per month","1985","Not Employed","middle vocational","142","0.0650452279244735","0.0533328847652479","0.0767575710836991","3"
"Min 1x per month","1985","Not Employed","vocational + Abi","18","","","","3"
"Min 1x per month","1985","Not Employed","higher vocational","14","","","","3"
"Min 1x per month","1985","Employed","inadequately","36","0.0956183317352428","0.0698940836727885","0.121342579797697","3"
"Min 1x per month","1985","Employed","middle vocational","563","0.165881716704091","0.153456823611022","0.178306609797161","3"
"Min 1x per month","1985","Employed","vocational + Abi","38","0.194195091168083","0.13867312162586","0.249717060710307","3"
"Min 1x per month","1985","Employed","higher vocational","64","0.135677459328314","0.103896102643842","0.167458816012786","3"
"Min 1x per month","1985","Employed","higher education","120","0.200388169402566","0.16838547830933","0.232390860495801","3"
"Min 1x per week","1985","Not Employed","inadequately","10","","","","2"
"Min 1x per week","1985","Not Employed","general elemantary","103","0.0505432171757666","0.0395195944257612","0.061566839925772","2"
"Min 1x per week","1985","Not Employed","middle vocational","104","0.0481622937898298","0.0379933510748055","0.058331236504854","2"
"Min 1x per week","1985","Not Employed","vocational + Abi","4","","","","2"
"Min 1x per week","1985","Not Employed","higher vocational","4","","","","2"
"Min 1x per week","1985","Not Employed","higher education","13","","","","2"
"Min 1x per week","1985","Employed","in school","3","","","","2"
"Min 1x per week","1985","Employed","inadequately","19","","","","2"
"Min 1x per week","1985","Employed","general elemantary","202","0.143559834238886","0.125984267591498","0.161135400886274","2"
"Min 1x per week","1985","Not Employed","in school","62","0.335078109397912","0.265930062281806","0.404226156514018","2"
"Min 1x per week","1985","Employed","middle vocational","390","0.108941344964344","0.098534260184949","0.119348429743739","2"
"Min 1x per week","1985","Employed","vocational + Abi","22","","","","2"
"Min 1x per week","1985","Employed","higher vocational","40","0.0931842048453574","0.0662061053768822","0.120162304313833","2"
"Min 1x per week","1985","Employed","higher education","56","0.0924101784541147","0.0692567361724122","0.115563620735817","2"
"Never","1985","Employed","inadequately","345","0.577164192908259","0.533949463185006","0.620378922631512","5"
"Never","1985","Not Employed","higher vocational","111","0.705362840068307","0.636013218581061","0.774712461555553","5"
"Never","1985","Not Employed","higher education","74","0.606979343471546","0.528555233074065","0.685403453869028","5"
"Never","1985","Employed","in school","","","","","5"
"Never","1985","Employed","general elemantary","666","0.393595364608551","0.369107518232603","0.418083210984499","5"
"Never","1985","Employed","middle vocational","1103","0.312740362347927","0.297254622232588","0.328226102463266","5"
"Never","1985","Employed","vocational + Abi","66","0.280915232917702","0.217832794162776","0.343997671672628","5"
"Never","1985","Employed","higher vocational","135","0.31978933503085","0.276504639390177","0.363074030671522","5"
"Never","1985","Employed","higher education","158","0.271929999136382","0.236356549303593","0.307503448969172","5"
"Never","1985","Not Employed","in school","13","","","","5"
"Never","1985","Not Employed","inadequately","260","0.663205763466663","0.61282134942331","0.713590177510017","5"
"Never","1985","Not Employed","general elemantary","966","0.708003361333221","0.685123052274714","0.730883670391728","5"
