"pli0091_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","in school","","","",""
"Daily","1985","lower secondary degree","inadequately","","","",""
"Daily","1985","lower secondary degree","general elemantary","","","",""
"Daily","1985","lower secondary degree","middle vocational","","","",""
"Daily","1985","lower secondary degree","vocational + Abi","","","",""
"Daily","1985","lower secondary degree","higher vocational","","","",""
"Daily","1985","lower secondary degree","higher education","","","",""
"Daily","1985","secondary school degree","in school","","","",""
"Daily","1985","secondary school degree","inadequately","","","",""
"Daily","1985","secondary school degree","general elemantary","","","",""
"Daily","1985","secondary school degree","middle vocational","","","",""
"Daily","1985","secondary school degree","vocational + Abi","","","",""
"Daily","1985","secondary school degree","higher vocational","","","",""
"Daily","1985","secondary school degree","higher education","","","",""
"Daily","1985","college entrance qualification","in school","","","",""
"Daily","1985","college entrance qualification","inadequately","","","",""
"Daily","1985","college entrance qualification","general elemantary","","","",""
"Daily","1985","college entrance qualification","middle vocational","","","",""
"Daily","1985","college entrance qualification","vocational + Abi","","","",""
"Daily","1985","college entrance qualification","higher vocational","","","",""
"Daily","1985","college entrance qualification","higher education","","","",""
"Daily","1985","Other degree","in school","","","",""
"Daily","1985","Other degree","inadequately","","","",""
"Daily","1985","Other degree","general elemantary","","","",""
"Daily","1985","Other degree","middle vocational","","","",""
"Daily","1985","Other degree","vocational + Abi","","","",""
"Daily","1985","Other degree","higher vocational","","","",""
"Daily","1985","Other degree","higher education","","","",""
"Daily","1985","no degree/no degree yet","in school","","","",""
"Daily","1985","no degree/no degree yet","inadequately","","","",""
"Daily","1985","no degree/no degree yet","general elemantary","","","",""
"Daily","1985","no degree/no degree yet","middle vocational","","","",""
"Daily","1985","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1985","no degree/no degree yet","higher vocational","","","",""
"Daily","1985","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1985","lower secondary degree","in school","","","",""
"Min 1x per week","1985","lower secondary degree","inadequately","","","",""
"Min 1x per week","1985","lower secondary degree","general elemantary","144","0.0535512512531351","0.0436324644387085","0.0634700380675617"
"Min 1x per week","1985","lower secondary degree","middle vocational","232","0.060296233682388","0.0519810603695719","0.0686114069952041"
"Min 1x per week","1985","lower secondary degree","vocational + Abi","1","","",""
"Min 1x per week","1985","lower secondary degree","higher vocational","12","","",""
"Min 1x per week","1985","lower secondary degree","higher education","2","","",""
"Min 1x per week","1985","secondary school degree","in school","","","",""
"Min 1x per week","1985","secondary school degree","inadequately","","","",""
"Min 1x per week","1985","secondary school degree","general elemantary","130","0.248561108456161","0.209489383516617","0.287632833395706"
