"pli0091_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Not Employed","Full Time","","","","","1"
"Daily","1985","Not Employed","Part Time","","","","","1"
"Daily","1985","Not Employed","Not Working","","","","","1"
"Daily","1985","Employed","Full Time","","","","","1"
"Daily","1985","Employed","Part Time","","","","","1"
"Daily","1985","Employed","Not Working","","","","","1"
"Min 1x per month","1985","Not Employed","Full Time","","","","","3"
"Min 1x per month","1985","Not Employed","Not Working","426","0.0873041373447725","0.0787447175489934","0.0958635571405517","3"
"Min 1x per month","1985","Not Employed","Part Time","","","","","3"
"Min 1x per month","1985","Employed","Full Time","769","0.166391864548484","0.156005212230489","0.176778516866479","3"
"Min 1x per month","1985","Employed","Part Time","274","0.156522293171015","0.139956127016462","0.173088459325568","3"
"Min 1x per month","1985","Employed","Not Working","","","","","3"
"Min 1x per week","1985","Not Employed","Part Time","","","","","2"
"Min 1x per week","1985","Not Employed","Full Time","","","","","2"
"Min 1x per week","1985","Not Employed","Not Working","302","0.0601356509987223","0.0529268594139594","0.0673444425834853","2"
"Min 1x per week","1985","Employed","Part Time","214","0.118285284146378","0.103561260340637","0.133009307952118","2"
"Min 1x per week","1985","Employed","Full Time","526","0.112686962477514","0.103868277162656","0.121505647792372","2"
"Min 1x per week","1985","Employed","Not Working","","","","","2"
"Never","1985","Not Employed","Full Time","","","","","5"
"Never","1985","Not Employed","Part Time","","","","","5"
"Never","1985","Not Employed","Not Working","2475","0.648350315872895","0.633871806473576","0.662828825272215","5"
"Never","1985","Employed","Full Time","1834","0.323352383126775","0.310307268809626","0.336397497443924","5"
"Never","1985","Employed","Part Time","676","0.345165184072452","0.323489316953144","0.366841051191759","5"
"Never","1985","Employed","Not Working","","","","","5"
"Rarely","1985","Employed","Full Time","1810","0.397568789847227","0.383920178991344","0.411217400703109","4"
"Rarely","1985","Not Employed","Part Time","","","","","4"
"Rarely","1985","Not Employed","Not Working","975","0.20420989578361","0.191986228165519","0.2164335634017","4"
"Rarely","1985","Not Employed","Full Time","","","","","4"
"Rarely","1985","Employed","Part Time","684","0.380027238610156","0.357896761594118","0.402157715626193","4"
"Rarely","1985","Employed","Not Working","","","","","4"
"Daily","1986","Not Employed","Full Time","","","","","1"
"Daily","1986","Not Employed","Part Time","","","","","1"
"Daily","1986","Not Employed","Not Working","","","","","1"
"Daily","1986","Employed","Full Time","","","","","1"
"Daily","1986","Employed","Part Time","","","","","1"
"Daily","1986","Employed","Not Working","","","","","1"
"Min 1x per month","1986","Not Employed","Full Time","","","","","3"
"Min 1x per month","1986","Not Employed","Not Working","426","0.090795966863287","0.0817751296922553","0.0998168040343187","3"
"Min 1x per month","1986","Not Employed","Part Time","","","","","3"
"Min 1x per month","1986","Employed","Part Time","309","0.173054473095115","0.155684315025567","0.190424631164664","3"
"Min 1x per month","1986","Employed","Full Time","790","0.174427489187869","0.163735577658266","0.185119400717472","3"
"Min 1x per month","1986","Employed","Not Working","","","","","3"
"Min 1x per week","1986","Not Employed","Full Time","","","","","2"
"Min 1x per week","1986","Not Employed","Part Time","","","","","2"
