"pli0091_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","no migration background","","","",""
"Daily","1985","lower secondary degree","direct migration background","","","",""
"Daily","1985","lower secondary degree","indirect migration background","","","",""
"Daily","1985","secondary school degree","no migration background","","","",""
"Daily","1985","secondary school degree","direct migration background","","","",""
"Daily","1985","secondary school degree","indirect migration background","","","",""
"Daily","1985","college entrance qualification","no migration background","","","",""
"Daily","1985","college entrance qualification","direct migration background","","","",""
"Daily","1985","college entrance qualification","indirect migration background","","","",""
"Daily","1985","Other degree","no migration background","","","",""
"Daily","1985","Other degree","direct migration background","","","",""
"Daily","1985","Other degree","indirect migration background","","","",""
"Daily","1985","no degree/no degree yet","no migration background","","","",""
"Daily","1985","no degree/no degree yet","direct migration background","","","",""
"Daily","1985","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1985","lower secondary degree","no migration background","287","0.0563735881217206","0.0498433717789174","0.0629038044645238"
"Min 1x per week","1985","lower secondary degree","direct migration background","88","0.0707436344657348","0.0495269207289589","0.0919603482025107"
"Min 1x per week","1985","lower secondary degree","indirect migration background","16","","",""
"Min 1x per week","1985","secondary school degree","no migration background","244","0.139129437496395","0.12265867858247","0.155600196410319"
"Min 1x per week","1985","secondary school degree","direct migration background","26","","",""
"Min 1x per week","1985","secondary school degree","indirect migration background","13","","",""
"Min 1x per week","1985","college entrance qualification","no migration background","161","0.138661456001944","0.118220004069943","0.159102907933945"
"Min 1x per week","1985","college entrance qualification","direct migration background","14","","",""
"Min 1x per week","1985","college entrance qualification","indirect migration background","2","","",""
"Min 1x per week","1985","Other degree","no migration background","8","","",""
"Min 1x per week","1985","Other degree","direct migration background","73","0.0650577702037736","0.0509380444820147","0.0791774959255324"
"Min 1x per week","1985","Other degree","indirect migration background","1","","",""
"Min 1x per week","1985","no degree/no degree yet","no migration background","62","0.268749523025081","0.210565654695835","0.326933391354326"
"Min 1x per week","1985","no degree/no degree yet","direct migration background","29","","",""
"Min 1x per week","1985","no degree/no degree yet","indirect migration background","5","","",""
"Min 1x per month","1985","lower secondary degree","no migration background","449","0.0878529408530734","0.079838000966077","0.0958678807400698"
"Min 1x per month","1985","lower secondary degree","direct migration background","99","0.128859930887194","0.101135055523097","0.15658480625129"
"Min 1x per month","1985","lower secondary degree","indirect migration background","19","","",""
"Min 1x per month","1985","secondary school degree","no migration background","323","0.181917045613901","0.163557136114951","0.200276955112851"
"Min 1x per month","1985","secondary school degree","direct migration background","29","","",""
"Min 1x per month","1985","secondary school degree","indirect migration background","8","","",""
"Min 1x per month","1985","college entrance qualification","no migration background","249","0.213449722249086","0.189213888631148","0.237685555867024"
"Min 1x per month","1985","college entrance qualification","direct migration background","22","","",""
"Min 1x per month","1985","college entrance qualification","indirect migration background","2","","",""
"Min 1x per month","1985","Other degree","no migration background","6","","",""
"Min 1x per month","1985","Other degree","direct migration background","117","0.107258157903957","0.0895422914715453","0.124974024336368"
"Min 1x per month","1985","Other degree","indirect migration background","1","","",""
"Min 1x per month","1985","no degree/no degree yet","no migration background","62","0.287055333949229","0.227679956676858","0.3464307112216"
"Min 1x per month","1985","no degree/no degree yet","direct migration background","59","0.0716631651884741","0.0543133429167351","0.0890129874602131"
"Min 1x per month","1985","no degree/no degree yet","indirect migration background","3","","",""
"Rarely","1985","lower secondary degree","no migration background","1563","0.294459632348852","0.281554469102328","0.307364795595376"
"Rarely","1985","lower secondary degree","direct migration background","159","0.285149550669244","0.24778922929141","0.322509872047079"
"Rarely","1985","lower secondary degree","indirect migration background","23","","",""
"Rarely","1985","secondary school degree","no migration background","653","0.363086608587283","0.340200051082408","0.385973166092159"
"Rarely","1985","secondary school degree","direct migration background","42","0.341615736236754","0.262775240589738","0.42045623188377"
"Rarely","1985","secondary school degree","indirect migration background","6","","",""
"Rarely","1985","college entrance qualification","no migration background","391","0.343487692395652","0.31539948991178","0.371575894879523"
"Rarely","1985","college entrance qualification","direct migration background","42","0.360760968997962","0.2710195023234","0.450502435672524"
"Rarely","1985","college entrance qualification","indirect migration background","2","","",""
"Rarely","1985","Other degree","no migration background","13","","",""
"Rarely","1985","Other degree","direct migration background","325","0.268066204350569","0.24270667332447","0.293425735376669"
"Rarely","1985","Other degree","indirect migration background","1","","",""
"Rarely","1985","no degree/no degree yet","no migration background","62","0.26017090084982","0.202588373253356","0.317753428446283"
"Rarely","1985","no degree/no degree yet","direct migration background","144","0.16868290939192","0.143493780893134","0.193872037890705"
"Rarely","1985","no degree/no degree yet","indirect migration background","3","","",""
"Never","1985","lower secondary degree","no migration background","2493","0.561313838676354","0.547264058531898","0.57536361882081"
