"ple0182","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","no migration background","in school","19","","",""
"Yes, vegetarian","2016","no migration background","inadequately","1","","",""
"Yes, vegetarian","2016","no migration background","general elemantary","36","0.020781550351928","0.0135600732210578","0.0280030274827982"
"Yes, vegetarian","2016","no migration background","middle vocational","323","0.0399162349439047","0.0358279723236627","0.0440044975641468"
"Yes, vegetarian","2016","no migration background","vocational + Abi","97","0.0752947496174212","0.0602584930636896","0.0903310061711528"
"Yes, vegetarian","2016","no migration background","higher vocational","54","0.047702603199286","0.0359060084240898","0.0594991979744823"
"Yes, vegetarian","2016","no migration background","higher education","357","0.0846214996617378","0.0764340954644354","0.0928089038590402"
"Yes, vegetarian","2016","direct migration background","in school","3","","",""
"Yes, vegetarian","2016","direct migration background","inadequately","2","","",""
"Yes, vegetarian","2016","direct migration background","general elemantary","13","","",""
"Yes, vegetarian","2016","direct migration background","middle vocational","48","0.0332927372275242","0.0244102245707733","0.0421752498842751"
"Yes, vegetarian","2016","direct migration background","vocational + Abi","22","","",""
"Yes, vegetarian","2016","direct migration background","higher vocational","2","","",""
"Yes, vegetarian","2016","direct migration background","higher education","88","0.0824806951042756","0.067037754548877","0.0979236356596743"
"Yes, vegetarian","2016","indirect migration background","in school","6","","",""
"Yes, vegetarian","2016","indirect migration background","inadequately","","","",""
"Yes, vegetarian","2016","indirect migration background","general elemantary","7","","",""
"Yes, vegetarian","2016","indirect migration background","middle vocational","34","0.0688237929607324","0.0490870816433305","0.0885605042781343"
"Yes, vegetarian","2016","indirect migration background","vocational + Abi","6","","",""
"Yes, vegetarian","2016","indirect migration background","higher vocational","4","","",""
"Yes, vegetarian","2016","indirect migration background","higher education","24","","",""
"Yes, vegan","2016","no migration background","in school","2","","",""
"Yes, vegan","2016","no migration background","inadequately","","","",""
"Yes, vegan","2016","no migration background","general elemantary","7","","",""
"Yes, vegan","2016","no migration background","middle vocational","51","0.00645863371178148","0.00478572307518218","0.00813154434838078"
"Yes, vegan","2016","no migration background","vocational + Abi","7","","",""
"Yes, vegan","2016","no migration background","higher vocational","4","","",""
"Yes, vegan","2016","no migration background","higher education","28","","",""
"Yes, vegan","2016","direct migration background","in school","1","","",""
"Yes, vegan","2016","direct migration background","inadequately","1","","",""
"Yes, vegan","2016","direct migration background","general elemantary","2","","",""
"Yes, vegan","2016","direct migration background","middle vocational","9","","",""
"Yes, vegan","2016","direct migration background","vocational + Abi","1","","",""
"Yes, vegan","2016","direct migration background","higher vocational","","","",""
"Yes, vegan","2016","direct migration background","higher education","8","","",""
"Yes, vegan","2016","indirect migration background","in school","","","",""
"Yes, vegan","2016","indirect migration background","inadequately","","","",""
"Yes, vegan","2016","indirect migration background","general elemantary","2","","",""
"Yes, vegan","2016","indirect migration background","middle vocational","4","","",""
"Yes, vegan","2016","indirect migration background","vocational + Abi","1","","",""
"Yes, vegan","2016","indirect migration background","higher vocational","","","",""
"Yes, vegan","2016","indirect migration background","higher education","1","","",""
"No","2016","no migration background","in school","192","0.927490444976983","0.892663880781313","0.962317009172653"
"No","2016","no migration background","inadequately","134","0.998327637198971","0.991435038349421","1.00522023604852"
"No","2016","no migration background","general elemantary","1456","0.976314701028394","0.968616635129415","0.984012766927374"
"No","2016","no migration background","middle vocational","8434","0.953625131344314","0.949233360935155","0.958016901753473"
"No","2016","no migration background","vocational + Abi","1079","0.918223120121996","0.902608008293684","0.933838231950308"
"No","2016","no migration background","higher vocational","1196","0.95009972562854","0.938048384333398","0.962151066923681"
"No","2016","no migration background","higher education","4054","0.907209820096479","0.898674685028716","0.915744955164243"
"No","2016","direct migration background","in school","41","0.964444728167244","0.910340337843755","1.01854911849073"
"No","2016","direct migration background","inadequately","235","0.981076818125338","0.963766374371349","0.998387261879327"
"No","2016","direct migration background","general elemantary","762","0.974463474687152","0.963371694198514","0.985555255175791"
"No","2016","direct migration background","middle vocational","1510","0.961465759361718","0.951935517849564","0.970996000873873"
"No","2016","direct migration background","vocational + Abi","705","0.962601963621698","0.948819394701533","0.976384532541864"
"No","2016","direct migration background","higher vocational","88","0.979229825246721","0.949765993357018","1.00869365713642"
"No","2016","direct migration background","higher education","1123","0.902062251005048","0.885376738464105","0.91874776354599"
"No","2016","indirect migration background","in school","69","0.965637436953834","0.924411808820753","1.00686306508691"
"No","2016","indirect migration background","inadequately","29","","",""
"No","2016","indirect migration background","general elemantary","287","0.959462563471612","0.936995599268856","0.981929527674368"
"No","2016","indirect migration background","middle vocational","594","0.925281380955672","0.90478199360815","0.945780768303194"
"No","2016","indirect migration background","vocational + Abi","104","0.952553652691038","0.913004906763291","0.992102398618785"
"No","2016","indirect migration background","higher vocational","56","0.973393208769179","0.932672730262323","1.01411368727603"
"No","2016","indirect migration background","higher education","211","0.878644052944024","0.83698310875857","0.920304997129478"
"Yes, vegetarian","2017","no migration background","in school","","","",""
"Yes, vegetarian","2017","no migration background","inadequately","","","",""
"Yes, vegetarian","2017","no migration background","general elemantary","","","",""
"Yes, vegetarian","2017","no migration background","middle vocational","","","",""
"Yes, vegetarian","2017","no migration background","vocational + Abi","","","",""
"Yes, vegetarian","2017","no migration background","higher vocational","","","",""
"Yes, vegetarian","2017","no migration background","higher education","","","",""
"Yes, vegetarian","2017","direct migration background","in school","","","",""
"Yes, vegetarian","2017","direct migration background","inadequately","","","",""
"Yes, vegetarian","2017","direct migration background","general elemantary","","","",""
"Yes, vegetarian","2017","direct migration background","middle vocational","","","",""
"Yes, vegetarian","2017","direct migration background","vocational + Abi","","","",""
"Yes, vegetarian","2017","direct migration background","higher vocational","","","",""
"Yes, vegetarian","2017","direct migration background","higher education","","","",""
"Yes, vegetarian","2017","indirect migration background","in school","","","",""
"Yes, vegetarian","2017","indirect migration background","inadequately","","","",""
"Yes, vegetarian","2017","indirect migration background","general elemantary","","","",""
"Yes, vegetarian","2017","indirect migration background","middle vocational","","","",""
"Yes, vegetarian","2017","indirect migration background","vocational + Abi","","","",""
"Yes, vegetarian","2017","indirect migration background","higher vocational","","","",""
"Yes, vegetarian","2017","indirect migration background","higher education","","","",""
"Yes, vegan","2017","no migration background","in school","","","",""
"Yes, vegan","2017","no migration background","inadequately","","","",""
"Yes, vegan","2017","no migration background","general elemantary","","","",""
"Yes, vegan","2017","no migration background","middle vocational","","","",""
"Yes, vegan","2017","no migration background","vocational + Abi","","","",""
"Yes, vegan","2017","no migration background","higher vocational","","","",""
"Yes, vegan","2017","no migration background","higher education","","","",""
"Yes, vegan","2017","direct migration background","in school","","","",""
"Yes, vegan","2017","direct migration background","inadequately","","","",""
"Yes, vegan","2017","direct migration background","general elemantary","","","",""
"Yes, vegan","2017","direct migration background","middle vocational","","","",""
"Yes, vegan","2017","direct migration background","vocational + Abi","","","",""
"Yes, vegan","2017","direct migration background","higher vocational","","","",""
"Yes, vegan","2017","direct migration background","higher education","","","",""
"Yes, vegan","2017","indirect migration background","in school","","","",""
"Yes, vegan","2017","indirect migration background","inadequately","","","",""
"Yes, vegan","2017","indirect migration background","general elemantary","","","",""
"Yes, vegan","2017","indirect migration background","middle vocational","","","",""
"Yes, vegan","2017","indirect migration background","vocational + Abi","","","",""
"Yes, vegan","2017","indirect migration background","higher vocational","","","",""
"Yes, vegan","2017","indirect migration background","higher education","","","",""
"No","2017","no migration background","in school","","","",""
"No","2017","no migration background","inadequately","","","",""
"No","2017","no migration background","general elemantary","","","",""
"No","2017","no migration background","middle vocational","","","",""
"No","2017","no migration background","vocational + Abi","","","",""
"No","2017","no migration background","higher vocational","","","",""
"No","2017","no migration background","higher education","","","",""
"No","2017","direct migration background","in school","","","",""
"No","2017","direct migration background","inadequately","","","",""
"No","2017","direct migration background","general elemantary","","","",""
"No","2017","direct migration background","middle vocational","","","",""
"No","2017","direct migration background","vocational + Abi","","","",""
"No","2017","direct migration background","higher vocational","","","",""
"No","2017","direct migration background","higher education","","","",""
"No","2017","indirect migration background","in school","","","",""
"No","2017","indirect migration background","inadequately","","","",""
"No","2017","indirect migration background","general elemantary","","","",""
"No","2017","indirect migration background","middle vocational","","","",""
"No","2017","indirect migration background","vocational + Abi","","","",""
"No","2017","indirect migration background","higher vocational","","","",""
"No","2017","indirect migration background","higher education","","","",""
"Yes, vegetarian","2018","no migration background","in school","27","","",""
"Yes, vegetarian","2018","no migration background","inadequately","5","","",""
"Yes, vegetarian","2018","no migration background","general elemantary","37","0.0182537686197289","0.0118178806849631","0.0246896565544948"
"Yes, vegetarian","2018","no migration background","middle vocational","387","0.0396845074277573","0.0357288338249671","0.0436401810305475"
"Yes, vegetarian","2018","no migration background","vocational + Abi","108","0.0724097120915307","0.0587999968160491","0.0860194273670124"
"Yes, vegetarian","2018","no migration background","higher vocational","49","0.0402368472385195","0.0296276043024278","0.0508460901746113"
"Yes, vegetarian","2018","no migration background","higher education","458","0.0955030142021445","0.0872796000431828","0.103726428361106"
"Yes, vegetarian","2018","direct migration background","in school","4","","",""
"Yes, vegetarian","2018","direct migration background","inadequately","7","","",""
"Yes, vegetarian","2018","direct migration background","general elemantary","21","","",""
