"ple0182","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","no migration background","Male","217","0.0277539445627467","0.0242006847374064","0.0313072043880869"
"Yes, vegetarian","2016","no migration background","Female","695","0.0737773147747768","0.0685714247696596","0.078983204779894"
"Yes, vegetarian","2016","direct migration background","Male","55","0.0252919909441414","0.0186782387775862","0.0319057431106966"
"Yes, vegetarian","2016","direct migration background","Female","129","0.0558882962594746","0.0471060110586338","0.0646705814603153"
"Yes, vegetarian","2016","indirect migration background","Male","14","","",""
"Yes, vegetarian","2016","indirect migration background","Female","71","0.115460515430674","0.0938103748868591","0.137110655974488"
"Yes, vegan","2016","no migration background","Male","30","0.00535923116051825","0.00377994479640165","0.00693851752463486"
"Yes, vegan","2016","no migration background","Female","73","0.00706361675114195","0.00539579307472976","0.00873144042755414"
"Yes, vegan","2016","direct migration background","Male","7","","",""
"Yes, vegan","2016","direct migration background","Female","15","","",""
"Yes, vegan","2016","indirect migration background","Male","3","","",""
"Yes, vegan","2016","indirect migration background","Female","6","","",""
"No","2016","no migration background","Male","7963","0.966886824276735","0.963016344964856","0.970757303588614"
"No","2016","no migration background","Female","8918","0.919159068474081","0.91373048086032","0.924587656087843"
"No","2016","direct migration background","Male","2103","0.972151007749942","0.965220089949963","0.97908192554992"
"No","2016","direct migration background","Female","2484","0.932841026003439","0.923271481733079","0.942410570273799"
"No","2016","indirect migration background","Male","689","0.981588325344558","0.971671855884112","0.991504794805003"
"No","2016","indirect migration background","Female","760","0.878721697110968","0.85660590023238","0.900837493989556"
"Yes, vegetarian","2017","no migration background","Male","","","",""
"Yes, vegetarian","2017","no migration background","Female","","","",""
"Yes, vegetarian","2017","direct migration background","Male","","","",""
"Yes, vegetarian","2017","direct migration background","Female","","","",""
"Yes, vegetarian","2017","indirect migration background","Male","","","",""
"Yes, vegetarian","2017","indirect migration background","Female","","","",""
"Yes, vegan","2017","no migration background","Male","","","",""
"Yes, vegan","2017","no migration background","Female","","","",""
"Yes, vegan","2017","direct migration background","Male","","","",""
"Yes, vegan","2017","direct migration background","Female","","","",""
"Yes, vegan","2017","indirect migration background","Male","","","",""
"Yes, vegan","2017","indirect migration background","Female","","","",""
"No","2017","no migration background","Male","","","",""
"No","2017","no migration background","Female","","","",""
"No","2017","direct migration background","Male","","","",""
"No","2017","direct migration background","Female","","","",""
"No","2017","indirect migration background","Male","","","",""
"No","2017","indirect migration background","Female","","","",""
"Yes, vegetarian","2018","no migration background","Male","270","0.0317999730662862","0.0281934358611403","0.0354065102714321"
"Yes, vegetarian","2018","no migration background","Female","846","0.0786174696464035","0.0734680643099166","0.0837668749828903"
"Yes, vegetarian","2018","direct migration background","Male","62","0.0294313275657926","0.0219962432777496","0.0368664118538356"
"Yes, vegetarian","2018","direct migration background","Female","127","0.0552442965213922","0.0461888025802136","0.0642997904625709"
"Yes, vegetarian","2018","indirect migration background","Male","23","","",""
"Yes, vegetarian","2018","indirect migration background","Female","78","0.0978039754776658","0.0787841291299829","0.116823821825349"
"Yes, vegan","2018","no migration background","Male","33","0.00512206334592398","0.00365482094841353","0.00658930574343444"
"Yes, vegan","2018","no migration background","Female","85","0.00837572471267744","0.00663206259034599","0.0101193868350089"
"Yes, vegan","2018","direct migration background","Male","8","","",""
"Yes, vegan","2018","direct migration background","Female","16","","",""
"Yes, vegan","2018","indirect migration background","Male","6","","",""
"Yes, vegan","2018","indirect migration background","Female","12","","",""
"No","2018","no migration background","Male","8790","0.96307796358779","0.95920210394484","0.96695382323074"
"No","2018","no migration background","Female","9563","0.913006805640919","0.907614714707395","0.918398896574444"
"No","2018","direct migration background","Male","1915","0.964921273134213","0.956827785873066","0.973014760395359"
"No","2018","direct migration background","Female","2302","0.938104321617117","0.928552979720029","0.947655663514206"
"No","2018","indirect migration background","Male","745","0.964056631361181","0.950942537962972","0.977170724759389"
"No","2018","indirect migration background","Female","847","0.886370699490145","0.866050350715798","0.906691048264492"
