"ple0182","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","West Germany","993","0.0534820781143865","0.0502982686757261","0.0566658875530469"
"Yes, vegetarian","2016","East Germany","188","0.0365534813320485","0.0313766192332649","0.0417303434308322"
"Yes, vegan","2016","West Germany","105","0.00615390113934013","0.00504724337756693","0.00726055890111333"
"Yes, vegan","2016","East Germany","29","","",""
"No","2016","West Germany","18086","0.940364020746273","0.937012972444616","0.943715069047931"
"No","2016","East Germany","4831","0.956683022843119","0.951067353572797","0.96229869211344"
"Yes, vegetarian","2017","West Germany","","","",""
"Yes, vegetarian","2017","East Germany","","","",""
"Yes, vegan","2017","West Germany","","","",""
"Yes, vegan","2017","East Germany","","","",""
"No","2017","West Germany","","","",""
"No","2017","East Germany","","","",""
"Yes, vegetarian","2018","West Germany","1201","0.056973005022084","0.0537778909986837","0.0601681190454842"
"Yes, vegetarian","2018","East Germany","205","0.0400308157108022","0.034855238981782","0.0452063924398224"
"Yes, vegan","2018","West Germany","134","0.00720188767124578","0.00603630420457297","0.00836747113791859"
"Yes, vegan","2018","East Germany","26","","",""
"No","2018","West Germany","18882","0.93582510730667","0.932447029429691","0.939203185183649"
"No","2018","East Germany","5280","0.95403944264644","0.948510925080392","0.959567960212488"
