"ple0182","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","no migration background","West Germany","748","0.0560872272559685","0.0521777179771649","0.0599967365347721"
"Yes, vegetarian","2016","no migration background","East Germany","164","0.0334415098715363","0.0282403673201063","0.0386426524229663"
"Yes, vegetarian","2016","direct migration background","West Germany","165","0.0375887381690785","0.0319954391741063","0.0431820371640506"
"Yes, vegetarian","2016","direct migration background","East Germany","19","","",""
"Yes, vegetarian","2016","indirect migration background","West Germany","80","0.0656397348463893","0.0528308458884597","0.0784486238043188"
"Yes, vegetarian","2016","indirect migration background","East Germany","5","","",""
"Yes, vegan","2016","no migration background","West Germany","76","0.00647304406983338","0.00511044389380587","0.00783564424586089"
"Yes, vegan","2016","no migration background","East Germany","27","","",""
"Yes, vegan","2016","direct migration background","West Germany","20","","",""
"Yes, vegan","2016","direct migration background","East Germany","2","","",""
"Yes, vegan","2016","indirect migration background","West Germany","9","","",""
"Yes, vegan","2016","indirect migration background","East Germany","","","",""
"No","2016","no migration background","West Germany","12482","0.937439728674198","0.933324960986634","0.941554496361762"
"No","2016","no migration background","East Germany","4399","0.961233524931887","0.955649024103769","0.966818025760006"
"No","2016","direct migration background","West Germany","4257","0.957169201744597","0.951214894285766","0.963123509203428"
"No","2016","direct migration background","East Germany","330","0.855543803015084","0.81876617241522","0.892321433614947"
"No","2016","indirect migration background","West Germany","1347","0.929649705474948","0.916422640130003","0.942876770819893"
"No","2016","indirect migration background","East Germany","102","0.966879757130648","0.932972770699366","1.00078674356193"
"Yes, vegetarian","2017","no migration background","West Germany","","","",""
"Yes, vegetarian","2017","no migration background","East Germany","","","",""
"Yes, vegetarian","2017","direct migration background","West Germany","","","",""
"Yes, vegetarian","2017","direct migration background","East Germany","","","",""
"Yes, vegetarian","2017","indirect migration background","West Germany","","","",""
"Yes, vegetarian","2017","indirect migration background","East Germany","","","",""
"Yes, vegan","2017","no migration background","West Germany","","","",""
"Yes, vegan","2017","no migration background","East Germany","","","",""
"Yes, vegan","2017","direct migration background","West Germany","","","",""
"Yes, vegan","2017","direct migration background","East Germany","","","",""
"Yes, vegan","2017","indirect migration background","West Germany","","","",""
"Yes, vegan","2017","indirect migration background","East Germany","","","",""
"No","2017","no migration background","West Germany","","","",""
"No","2017","no migration background","East Germany","","","",""
"No","2017","direct migration background","West Germany","","","",""
"No","2017","direct migration background","East Germany","","","",""
"No","2017","indirect migration background","West Germany","","","",""
"No","2017","indirect migration background","East Germany","","","",""
"Yes, vegetarian","2018","no migration background","West Germany","936","0.0603321377393202","0.0564627892732524","0.064201486205388"
"Yes, vegetarian","2018","no migration background","East Germany","180","0.0372562222378719","0.0320281147214297","0.0424843297543142"
"Yes, vegetarian","2018","direct migration background","West Germany","168","0.0398578577444132","0.0338566821661193","0.0458590333227071"
"Yes, vegetarian","2018","direct migration background","East Germany","21","","",""
"Yes, vegetarian","2018","indirect migration background","West Germany","97","0.0642252742029932","0.0521714519899782","0.0762790964160082"
"Yes, vegetarian","2018","indirect migration background","East Germany","4","","",""
"Yes, vegan","2018","no migration background","West Germany","96","0.0072176388835641","0.00584201122153616","0.00859326654559205"
"Yes, vegan","2018","no migration background","East Germany","22","","",""
"Yes, vegan","2018","direct migration background","West Germany","22","","",""
"Yes, vegan","2018","direct migration background","East Germany","2","","",""
"Yes, vegan","2018","indirect migration background","West Germany","16","","",""
"Yes, vegan","2018","indirect migration background","East Germany","2","","",""
"No","2018","no migration background","West Germany","13514","0.932450223377116","0.928371717554354","0.936528729199878"
"No","2018","no migration background","East Germany","4839","0.957680310022948","0.952122915096529","0.963237704949367"
"No","2018","direct migration background","West Germany","3892","0.954925597649991","0.948561140792034","0.961290054507948"
"No","2018","direct migration background","East Germany","325","0.872418078742673","0.837365871855301","0.907470285630045"
"No","2018","indirect migration background","West Germany","1476","0.923504866242915","0.910436459570701","0.936573272915129"
"No","2018","indirect migration background","East Germany","116","0.968162109161419","0.937008070019379","0.999316148303458"
