"ple0182","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","1-pers.-HH","in school","","","",""
"Yes, vegetarian","2016","1-pers.-HH","inadequately","","","",""
"Yes, vegetarian","2016","1-pers.-HH","general elemantary","10","","",""
"Yes, vegetarian","2016","1-pers.-HH","middle vocational","100","0.0588350089975386","0.0475354527941193","0.070134565200958"
"Yes, vegetarian","2016","1-pers.-HH","vocational + Abi","22","","",""
"Yes, vegetarian","2016","1-pers.-HH","higher vocational","16","","",""
"Yes, vegetarian","2016","1-pers.-HH","higher education","100","0.104987781213955","0.0845243564510284","0.125451205976881"
"Yes, vegetarian","2016","(Married) couple without C. ","in school","","","",""
"Yes, vegetarian","2016","(Married) couple without C. ","inadequately","","","",""
"Yes, vegetarian","2016","(Married) couple without C. ","general elemantary","11","","",""
"Yes, vegetarian","2016","(Married) couple without C. ","middle vocational","106","0.0294841916617908","0.0239614895359648","0.0350068937876169"
"Yes, vegetarian","2016","(Married) couple without C. ","vocational + Abi","22","","",""
"Yes, vegetarian","2016","(Married) couple without C. ","higher vocational","19","","",""
"Yes, vegetarian","2016","(Married) couple without C. ","higher education","121","0.0711660455808386","0.0600689527438384","0.0822631384178389"
"Yes, vegetarian","2016","Single parent ","in school","5","","",""
"Yes, vegetarian","2016","Single parent ","inadequately","1","","",""
"Yes, vegetarian","2016","Single parent ","general elemantary","10","","",""
"Yes, vegetarian","2016","Single parent ","middle vocational","55","0.0532660025347705","0.0393476725043219","0.0671843325652191"
"Yes, vegetarian","2016","Single parent ","vocational + Abi","23","","",""
"Yes, vegetarian","2016","Single parent ","higher vocational","3","","",""
"Yes, vegetarian","2016","Single parent ","higher education","45","0.16553057050889","0.124422453080106","0.206638687937674"
"Yes, vegetarian","2016","Couple + C. LE 16 ","in school","","","",""
"Yes, vegetarian","2016","Couple + C. LE 16 ","inadequately","1","","",""
"Yes, vegetarian","2016","Couple + C. LE 16 ","general elemantary","6","","",""
"Yes, vegetarian","2016","Couple + C. LE 16 ","middle vocational","66","0.031769853252477","0.0246893324268805","0.0388503740780735"
"Yes, vegetarian","2016","Couple + C. LE 16 ","vocational + Abi","40","0.0583217024655134","0.0408861893442925","0.0757572155867343"
"Yes, vegetarian","2016","Couple + C. LE 16 ","higher vocational","12","","",""
"Yes, vegetarian","2016","Couple + C. LE 16 ","higher education","140","0.0872735894575324","0.07404269805727","0.100504480857795"
"Yes, vegetarian","2016","Couple + C. GT 16 ","in school","8","","",""
