"pgnation","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","in school","153","0.972920066657073","0.949074894306947","0.996765239007198"
"1","1984","Not Employed","inadequately","45","0.449108385481366","0.399097452618568","0.499119318344164"
"1","1984","Not Employed","general elemantary","1445","0.961645702338455","0.952670799905354","0.970620604771555"
"1","1984","Not Employed","middle vocational","1716","0.976561057071834","0.969740247880314","0.983381866263354"
"1","1984","Not Employed","vocational + Abi","59","0.911276221479274","0.849353417305104","0.973199025653445"
"1","1984","Not Employed","higher vocational","178","0.966123470251184","0.94012442541152","0.992122515090847"
"1","1984","Not Employed","higher education","140","0.94843155463044","0.914163999787723","0.982699109473157"
"1","1984","Employed","in school","8","","",""
"1","1984","Employed","inadequately","37","0.268255569273196","0.233903591319052","0.30260754722734"
"1","1984","Employed","general elemantary","1000","0.887545084520326","0.872566820107934","0.902523348932718"
"1","1984","Employed","middle vocational","3094","0.948126698261255","0.941107774248157","0.955145622274352"
"1","1984","Employed","vocational + Abi","132","0.852003769948077","0.806211920354705","0.897795619541449"
"1","1984","Employed","higher vocational","456","0.981806401148623","0.96977458582797","0.993838216469276"
"1","1984","Employed","higher education","562","0.953546858754192","0.937151353697747","0.969942363810637"
"2","1984","Not Employed","in school","6","","",""
"2","1984","Not Employed","inadequately","159","0.295964946539666","0.250069080129355","0.341860812949978"
"2","1984","Not Employed","general elemantary","124","0.0141899102075738","0.0086627554552836","0.0197170649598641"
"2","1984","Not Employed","middle vocational","51","0.00550462586742022","0.00216896049979502","0.00884029123504542"
"2","1984","Not Employed","vocational + Abi","8","","",""
"2","1984","Not Employed","higher vocational","","","",""
"2","1984","Not Employed","higher education","3","","",""
"2","1984","Employed","in school","","","",""
"2","1984","Employed","inadequately","172","0.278126265494045","0.243384708007285","0.312867822980804"
"2","1984","Employed","general elemantary","224","0.0416613637857433","0.0321880199656979","0.0511347076057887"
"2","1984","Employed","middle vocational","191","0.0135929446106054","0.00992814472296125","0.0172577444982496"
"2","1984","Employed","vocational + Abi","48","0.0808135825698301","0.0456667590887786","0.115960406050882"
"2","1984","Employed","higher vocational","1","","",""
"2","1984","Employed","higher education","11","","",""
"3","1984","Not Employed","in school","3","","",""
"3","1984","Not Employed","inadequately","45","0.0733827920701093","0.0471645487799127","0.0996010353603059"
"3","1984","Not Employed","general elemantary","33","0.00374787946696295","0.000892310797250182","0.00660344813667572"
"3","1984","Not Employed","middle vocational","27","","",""
"3","1984","Not Employed","vocational + Abi","2","","",""
"3","1984","Not Employed","higher vocational","","","",""
"3","1984","Not Employed","higher education","2","","",""
"3","1984","Employed","in school","","","",""
"3","1984","Employed","inadequately","86","0.126805867820798","0.101005687487","0.152606048154597"
"3","1984","Employed","general elemantary","118","0.0217919687983073","0.0148698203940149","0.0287141172025997"
