"pgnation","year","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","no migration background","8676","0.999547411109743","0.999100118397378","0.999994703822108"
"1","1984","direct migration background","329","0.339160346265126","0.323286718786273","0.355033973743978"
"1","1984","indirect migration background","33","0.492105449099846","0.405497257623274","0.578713640576418"
"2","1984","no migration background","","","",""
"2","1984","direct migration background","1009","0.230719285028669","0.216593585212301","0.244844984845037"
"2","1984","indirect migration background","11","","",""
"3","1984","no migration background","","","",""
"3","1984","direct migration background","544","0.112498734046515","0.101904150016281","0.123093318076749"
"3","1984","indirect migration background","9","","",""
"4","1984","no migration background","","","",""
"4","1984","direct migration background","434","0.0489125102530261","0.0416807201570303","0.0561443003490218"
"4","1984","indirect migration background","22","","",""
"5","1984","no migration background","7","","",""
"5","1984","direct migration background","586","0.10540990405219","0.0951136712517645","0.115706136852616"
"5","1984","indirect migration background","25","","",""
"6","1984","no migration background","","","",""
"6","1984","direct migration background","388","0.0291225613102623","0.0234845935220197","0.0347605290985049"
"6","1984","indirect migration background","19","","",""
"10","1984","no migration background","2","","",""
"10","1984","direct migration background","28","","",""
"10","1984","indirect migration background","2","","",""
"11","1984","no migration background","","","",""
"11","1984","direct migration background","11","","",""
"11","1984","indirect migration background","2","","",""
"12","1984","no migration background","","","",""
"12","1984","direct migration background","8","","",""
"12","1984","indirect migration background","2","","",""
"13","1984","no migration background","","","",""
"13","1984","direct migration background","","","",""
"13","1984","indirect migration background","","","",""
"14","1984","no migration background","","","",""
"14","1984","direct migration background","5","","",""
"14","1984","indirect migration background","","","",""
"15","1984","no migration background","","","",""
"15","1984","direct migration background","","","",""
"15","1984","indirect migration background","","","",""
"16","1984","no migration background","","","",""
"16","1984","direct migration background","","","",""
"16","1984","indirect migration background","","","",""
"17","1984","no migration background","","","",""
"17","1984","direct migration background","1","","",""
"17","1984","indirect migration background","","","",""
"18","1984","no migration background","","","",""
"18","1984","direct migration background","15","","",""
"18","1984","indirect migration background","1","","",""
"19","1984","no migration background","","","",""
"19","1984","direct migration background","8","","",""
"19","1984","indirect migration background","","","",""
"20","1984","no migration background","","","",""
"20","1984","direct migration background","2","","",""
"20","1984","indirect migration background","","","",""
"21","1984","no migration background","","","",""
"21","1984","direct migration background","1","","",""
"21","1984","indirect migration background","","","",""
"22","1984","no migration background","","","",""
"22","1984","direct migration background","9","","",""
"22","1984","indirect migration background","","","",""
"23","1984","no migration background","","","",""
"23","1984","direct migration background","5","","",""
"23","1984","indirect migration background","","","",""
"24","1984","no migration background","","","",""
"24","1984","direct migration background","2","","",""
"24","1984","indirect migration background","","","",""
"25","1984","no migration background","","","",""
"25","1984","direct migration background","2","","",""
"25","1984","indirect migration background","","","",""
"26","1984","no migration background","","","",""
"26","1984","direct migration background","2","","",""
"26","1984","indirect migration background","","","",""
"27","1984","no migration background","","","",""
"27","1984","direct migration background","","","",""
"27","1984","indirect migration background","","","",""
"28","1984","no migration background","","","",""
"28","1984","direct migration background","4","","",""
"28","1984","indirect migration background","","","",""
"29","1984","no migration background","","","",""
"29","1984","direct migration background","1","","",""
"29","1984","indirect migration background","","","",""
"30","1984","no migration background","","","",""
"30","1984","direct migration background","","","",""
"30","1984","indirect migration background","","","",""
"31","1984","no migration background","","","",""
"31","1984","direct migration background","3","","",""
"31","1984","indirect migration background","","","",""
"32","1984","no migration background","","","",""
"32","1984","direct migration background","","","",""
"32","1984","indirect migration background","","","",""
"34","1984","no migration background","","","",""
"34","1984","direct migration background","4","","",""
"34","1984","indirect migration background","","","",""
"35","1984","no migration background","","","",""
"35","1984","direct migration background","","","",""
"35","1984","indirect migration background","","","",""
