"pgnation","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"1","1985","no migration background","Urban Area","6070","0.999119400212503","0.998373758829282","0.999865041595724"
"1","1985","no migration background","Rural Area","1919","1","1","1"
"1","1985","direct migration background","Urban Area","278","0.356572441761741","0.338150481858276","0.374994401665207"
"1","1985","direct migration background","Rural Area","61","0.491457079353358","0.438932198829364","0.543981959877352"
"1","1985","indirect migration background","Urban Area","27","","",""
"1","1985","indirect migration background","Rural Area","4","","",""
"2","1985","no migration background","Urban Area","","","",""
"2","1985","no migration background","Rural Area","","","",""
"2","1985","direct migration background","Urban Area","771","0.224684041515782","0.208631729548382","0.240736353483182"
"2","1985","direct migration background","Rural Area","76","0.114498304686513","0.0810439470191062","0.147952662353921"
"2","1985","indirect migration background","Urban Area","15","","",""
"2","1985","indirect migration background","Rural Area","","","",""
"3","1985","no migration background","Urban Area","","","",""
"3","1985","no migration background","Rural Area","","","",""
"3","1985","direct migration background","Urban Area","406","0.115566389631362","0.103270484370348","0.127862294892375"
"3","1985","direct migration background","Rural Area","71","0.126857662007228","0.0918905838508012","0.161824740163655"
"3","1985","indirect migration background","Urban Area","12","","",""
"3","1985","indirect migration background","Rural Area","","","",""
"4","1985","no migration background","Urban Area","","","",""
"4","1985","no migration background","Rural Area","","","",""
"4","1985","direct migration background","Urban Area","344","0.0519691843525881","0.0434323610241536","0.0605060076810226"
"4","1985","direct migration background","Rural Area","35","0.0334976377292172","0.0145930583153058","0.0524022171431285"
"4","1985","indirect migration background","Urban Area","29","","",""
"4","1985","indirect migration background","Rural Area","4","","",""
"5","1985","no migration background","Urban Area","5","","",""
"5","1985","no migration background","Rural Area","","","",""
"5","1985","direct migration background","Urban Area","440","0.10293964950467","0.0912523468796154","0.114626952129724"
"5","1985","direct migration background","Rural Area","58","0.096166594696289","0.0651913474063657","0.127141841986212"
"5","1985","indirect migration background","Urban Area","21","","",""
"5","1985","indirect migration background","Rural Area","5","","",""
"6","1985","no migration background","Urban Area","","","",""
"6","1985","no migration background","Rural Area","","","",""
"6","1985","direct migration background","Urban Area","268","0.0266595002130032","0.0204640836128427","0.0328549168131636"
"6","1985","direct migration background","Rural Area","35","0.0226776008261546","0.00703618908211338","0.0383190125701958"
"6","1985","indirect migration background","Urban Area","16","","",""
"6","1985","indirect migration background","Rural Area","2","","",""
"10","1985","no migration background","Urban Area","2","","",""
"10","1985","no migration background","Rural Area","","","",""
"10","1985","direct migration background","Urban Area","25","","",""
"10","1985","direct migration background","Rural Area","2","","",""
"10","1985","indirect migration background","Urban Area","1","","",""
"10","1985","indirect migration background","Rural Area","1","","",""
"11","1985","no migration background","Urban Area","","","",""
"11","1985","no migration background","Rural Area","","","",""
"11","1985","direct migration background","Urban Area","9","","",""
"11","1985","direct migration background","Rural Area","1","","",""
"11","1985","indirect migration background","Urban Area","2","","",""
"11","1985","indirect migration background","Rural Area","","","",""
"12","1985","no migration background","Urban Area","1","","",""
"12","1985","no migration background","Rural Area","","","",""
"12","1985","direct migration background","Urban Area","8","","",""
"12","1985","direct migration background","Rural Area","","","",""
"12","1985","indirect migration background","Urban Area","2","","",""
"12","1985","indirect migration background","Rural Area","","","",""
"13","1985","no migration background","Urban Area","","","",""
"13","1985","no migration background","Rural Area","","","",""
"13","1985","direct migration background","Urban Area","","","",""
"13","1985","direct migration background","Rural Area","","","",""
"13","1985","indirect migration background","Urban Area","","","",""
"13","1985","indirect migration background","Rural Area","","","",""
"14","1985","no migration background","Urban Area","","","",""
"14","1985","no migration background","Rural Area","","","",""
"14","1985","direct migration background","Urban Area","5","","",""
"14","1985","direct migration background","Rural Area","","","",""
"14","1985","indirect migration background","Urban Area","","","",""
"14","1985","indirect migration background","Rural Area","","","",""
"15","1985","no migration background","Urban Area","","","",""
"15","1985","no migration background","Rural Area","","","",""
"15","1985","direct migration background","Urban Area","","","",""
"15","1985","direct migration background","Rural Area","","","",""
"15","1985","indirect migration background","Urban Area","","","",""
"15","1985","indirect migration background","Rural Area","","","",""
"16","1985","no migration background","Urban Area","","","",""
"16","1985","no migration background","Rural Area","","","",""
"16","1985","direct migration background","Urban Area","","","",""
"16","1985","direct migration background","Rural Area","","","",""
"16","1985","indirect migration background","Urban Area","","","",""
"16","1985","indirect migration background","Rural Area","","","",""
"17","1985","no migration background","Urban Area","","","",""
"17","1985","no migration background","Rural Area","","","",""
"17","1985","direct migration background","Urban Area","","","",""
"17","1985","direct migration background","Rural Area","1","","",""
"17","1985","indirect migration background","Urban Area","","","",""
"17","1985","indirect migration background","Rural Area","","","",""
"18","1985","no migration background","Urban Area","","","",""
"18","1985","no migration background","Rural Area","","","",""
