"pgnation","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","no migration background","West Germany","8676","0.999547411109743","0.999100118397378","0.999994703822108"
"1","1984","no migration background","East Germany","","","",""
"1","1984","direct migration background","West Germany","329","0.339160346265126","0.323286718786273","0.355033973743978"
"1","1984","direct migration background","East Germany","","","",""
"1","1984","indirect migration background","West Germany","33","0.492105449099846","0.405497257623274","0.578713640576418"
"1","1984","indirect migration background","East Germany","","","",""
"2","1984","no migration background","West Germany","","","",""
"2","1984","no migration background","East Germany","","","",""
"2","1984","direct migration background","West Germany","1009","0.230719285028669","0.216593585212301","0.244844984845037"
"2","1984","direct migration background","East Germany","","","",""
"2","1984","indirect migration background","West Germany","11","","",""
"2","1984","indirect migration background","East Germany","","","",""
"3","1984","no migration background","West Germany","","","",""
"3","1984","no migration background","East Germany","","","",""
"3","1984","direct migration background","West Germany","544","0.112498734046515","0.101904150016281","0.123093318076749"
"3","1984","direct migration background","East Germany","","","",""
"3","1984","indirect migration background","West Germany","9","","",""
"3","1984","indirect migration background","East Germany","","","",""
"4","1984","no migration background","West Germany","","","",""
"4","1984","no migration background","East Germany","","","",""
"4","1984","direct migration background","West Germany","434","0.0489125102530261","0.0416807201570303","0.0561443003490218"
"4","1984","direct migration background","East Germany","","","",""
"4","1984","indirect migration background","West Germany","22","","",""
"4","1984","indirect migration background","East Germany","","","",""
"5","1984","no migration background","West Germany","7","","",""
"5","1984","no migration background","East Germany","","","",""
"5","1984","direct migration background","West Germany","586","0.10540990405219","0.0951136712517645","0.115706136852616"
"5","1984","direct migration background","East Germany","","","",""
"5","1984","indirect migration background","West Germany","25","","",""
"5","1984","indirect migration background","East Germany","","","",""
"6","1984","no migration background","West Germany","","","",""
"6","1984","no migration background","East Germany","","","",""
"6","1984","direct migration background","West Germany","388","0.0291225613102623","0.0234845935220197","0.0347605290985049"
"6","1984","direct migration background","East Germany","","","",""
"6","1984","indirect migration background","West Germany","19","","",""
"6","1984","indirect migration background","East Germany","","","",""
"10","1984","no migration background","West Germany","2","","",""
"10","1984","no migration background","East Germany","","","",""
"10","1984","direct migration background","West Germany","28","","",""
"10","1984","direct migration background","East Germany","","","",""
"10","1984","indirect migration background","West Germany","2","","",""
"10","1984","indirect migration background","East Germany","","","",""
"11","1984","no migration background","West Germany","","","",""
"11","1984","no migration background","East Germany","","","",""
"11","1984","direct migration background","West Germany","11","","",""
"11","1984","direct migration background","East Germany","","","",""
"11","1984","indirect migration background","West Germany","2","","",""
"11","1984","indirect migration background","East Germany","","","",""
"12","1984","no migration background","West Germany","","","",""
"12","1984","no migration background","East Germany","","","",""
"12","1984","direct migration background","West Germany","8","","",""
