"pgnation","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","no migration background","Male","4114","0.9991278265477","0.998226548604729","1.00002910449067"
"1","1984","no migration background","Female","4562","0.999912989758916","0.999642410818834","1.000183568699"
"1","1984","direct migration background","Male","149","0.299154222525707","0.278094678289217","0.320213766762197"
"1","1984","direct migration background","Female","180","0.381536776339899","0.357742222391281","0.405331330288518"
"1","1984","indirect migration background","Male","11","","",""
"1","1984","indirect migration background","Female","22","","",""
"2","1984","no migration background","Male","","","",""
"2","1984","no migration background","Female","","","",""
"2","1984","direct migration background","Male","534","0.245664804030982","0.225865778079362","0.265463829982602"
"2","1984","direct migration background","Female","475","0.214888265131365","0.194768425756142","0.235008104506589"
"2","1984","indirect migration background","Male","6","","",""
"2","1984","indirect migration background","Female","5","","",""
"3","1984","no migration background","Male","","","",""
"3","1984","no migration background","Female","","","",""
"3","1984","direct migration background","Male","277","0.112581495311867","0.0980440559736716","0.127118934650062"
"3","1984","direct migration background","Female","267","0.112411069293066","0.0969384833645421","0.12788365522159"
"3","1984","indirect migration background","Male","5","","",""
"3","1984","indirect migration background","Female","4","","",""
"4","1984","no migration background","Male","","","",""
"4","1984","no migration background","Female","","","",""
"4","1984","direct migration background","Male","228","0.0525559373522304","0.0422928541118842","0.0628190205925767"
"4","1984","direct migration background","Female","206","0.0450532152434013","0.034892953281691","0.0552134772051116"
"4","1984","indirect migration background","Male","12","","",""
"4","1984","indirect migration background","Female","10","","",""
"5","1984","no migration background","Male","4","","",""
"5","1984","no migration background","Female","3","","",""
"5","1984","direct migration background","Male","344","0.12801741736388","0.112650788412085","0.143384046315674"
"5","1984","direct migration background","Female","242","0.0814629275028633","0.0680636686758848","0.0948621863298419"
"5","1984","indirect migration background","Male","14","","",""
"5","1984","indirect migration background","Female","11","","",""
"6","1984","no migration background","Male","","","",""
"6","1984","no migration background","Female","","","",""
"6","1984","direct migration background","Male","227","0.0339392653495147","0.0256112099995983","0.0422673206994311"
"6","1984","direct migration background","Female","161","0.0240204743587804","0.0165204345527548","0.031520514164806"
"6","1984","indirect migration background","Male","10","","",""
"6","1984","indirect migration background","Female","9","","",""
"10","1984","no migration background","Male","2","","",""
"10","1984","no migration background","Female","","","",""
"10","1984","direct migration background","Male","13","","",""
"10","1984","direct migration background","Female","15","","",""
"10","1984","indirect migration background","Male","1","","",""
"10","1984","indirect migration background","Female","1","","",""
"11","1984","no migration background","Male","","","",""
"11","1984","no migration background","Female","","","",""
"11","1984","direct migration background","Male","8","","",""
"11","1984","direct migration background","Female","3","","",""
"11","1984","indirect migration background","Male","","","",""
"11","1984","indirect migration background","Female","2","","",""
"12","1984","no migration background","Male","","","",""
"12","1984","no migration background","Female","","","",""
"12","1984","direct migration background","Male","4","","",""
"12","1984","direct migration background","Female","4","","",""
"12","1984","indirect migration background","Male","1","","",""
"12","1984","indirect migration background","Female","1","","",""
"13","1984","no migration background","Male","","","",""
"13","1984","no migration background","Female","","","",""
"13","1984","direct migration background","Male","","","",""
"13","1984","direct migration background","Female","","","",""
"13","1984","indirect migration background","Male","","","",""
"13","1984","indirect migration background","Female","","","",""
"14","1984","no migration background","Male","","","",""
"14","1984","no migration background","Female","","","",""
"14","1984","direct migration background","Male","3","","",""
"14","1984","direct migration background","Female","2","","",""
"14","1984","indirect migration background","Male","","","",""
"14","1984","indirect migration background","Female","","","",""
"15","1984","no migration background","Male","","","",""
"15","1984","no migration background","Female","","","",""
"15","1984","direct migration background","Male","","","",""
"15","1984","direct migration background","Female","","","",""
"15","1984","indirect migration background","Male","","","",""
"15","1984","indirect migration background","Female","","","",""
"16","1984","no migration background","Male","","","",""
"16","1984","no migration background","Female","","","",""
"16","1984","direct migration background","Male","","","",""
"16","1984","direct migration background","Female","","","",""
"16","1984","indirect migration background","Male","","","",""
"16","1984","indirect migration background","Female","","","",""
"17","1984","no migration background","Male","","","",""
"17","1984","no migration background","Female","","","",""
"17","1984","direct migration background","Male","","","",""
"17","1984","direct migration background","Female","1","","",""
"17","1984","indirect migration background","Male","","","",""
"17","1984","indirect migration background","Female","","","",""
"18","1984","no migration background","Male","","","",""
"18","1984","no migration background","Female","","","",""
"18","1984","direct migration background","Male","7","","",""
"18","1984","direct migration background","Female","8","","",""
"18","1984","indirect migration background","Male","","","",""
"18","1984","indirect migration background","Female","1","","",""
"19","1984","no migration background","Male","","","",""
"19","1984","no migration background","Female","","","",""
"19","1984","direct migration background","Male","2","","",""
"19","1984","direct migration background","Female","6","","",""
"19","1984","indirect migration background","Male","","","",""
"19","1984","indirect migration background","Female","","","",""
"20","1984","no migration background","Male","","","",""
"20","1984","no migration background","Female","","","",""
"20","1984","direct migration background","Male","1","","",""
"20","1984","direct migration background","Female","1","","",""
"20","1984","indirect migration background","Male","","","",""
"20","1984","indirect migration background","Female","","","",""
"21","1984","no migration background","Male","","","",""
"21","1984","no migration background","Female","","","",""
"21","1984","direct migration background","Male","","","",""
"21","1984","direct migration background","Female","1","","",""
"21","1984","indirect migration background","Male","","","",""
"21","1984","indirect migration background","Female","","","",""
"22","1984","no migration background","Male","","","",""
"22","1984","no migration background","Female","","","",""
"22","1984","direct migration background","Male","6","","",""
"22","1984","direct migration background","Female","3","","",""
"22","1984","indirect migration background","Male","","","",""
"22","1984","indirect migration background","Female","","","",""
"23","1984","no migration background","Male","","","",""
"23","1984","no migration background","Female","","","",""
"23","1984","direct migration background","Male","2","","",""
"23","1984","direct migration background","Female","3","","",""
"23","1984","indirect migration background","Male","","","",""
"23","1984","indirect migration background","Female","","","",""
"24","1984","no migration background","Male","","","",""
"24","1984","no migration background","Female","","","",""
"24","1984","direct migration background","Male","1","","",""
"24","1984","direct migration background","Female","1","","",""
"24","1984","indirect migration background","Male","","","",""
"24","1984","indirect migration background","Female","","","",""
"25","1984","no migration background","Male","","","",""
"25","1984","no migration background","Female","","","",""
"25","1984","direct migration background","Male","1","","",""
"25","1984","direct migration background","Female","1","","",""
"25","1984","indirect migration background","Male","","","",""
"25","1984","indirect migration background","Female","","","",""
"26","1984","no migration background","Male","","","",""
"26","1984","no migration background","Female","","","",""
"26","1984","direct migration background","Male","","","",""
"26","1984","direct migration background","Female","2","","",""
"26","1984","indirect migration background","Male","","","",""
"26","1984","indirect migration background","Female","","","",""
"27","1984","no migration background","Male","","","",""
"27","1984","no migration background","Female","","","",""
"27","1984","direct migration background","Male","","","",""
"27","1984","direct migration background","Female","","","",""
"27","1984","indirect migration background","Male","","","",""
"27","1984","indirect migration background","Female","","","",""
"28","1984","no migration background","Male","","","",""
"28","1984","no migration background","Female","","","",""
"28","1984","direct migration background","Male","2","","",""
"28","1984","direct migration background","Female","2","","",""
"28","1984","indirect migration background","Male","","","",""
"28","1984","indirect migration background","Female","","","",""
"29","1984","no migration background","Male","","","",""
"29","1984","no migration background","Female","","","",""
"29","1984","direct migration background","Male","","","",""
"29","1984","direct migration background","Female","1","","",""
"29","1984","indirect migration background","Male","","","",""
"29","1984","indirect migration background","Female","","","",""
"30","1984","no migration background","Male","","","",""
"30","1984","no migration background","Female","","","",""
"30","1984","direct migration background","Male","","","",""
"30","1984","direct migration background","Female","","","",""
"30","1984","indirect migration background","Male","","","",""
"30","1984","indirect migration background","Female","","","",""
"31","1984","no migration background","Male","","","",""
"31","1984","no migration background","Female","","","",""
"31","1984","direct migration background","Male","","","",""
"31","1984","direct migration background","Female","3","","",""
"31","1984","indirect migration background","Male","","","",""
"31","1984","indirect migration background","Female","","","",""
"32","1984","no migration background","Male","","","",""
"32","1984","no migration background","Female","","","",""
"32","1984","direct migration background","Male","","","",""
"32","1984","direct migration background","Female","","","",""
"32","1984","indirect migration background","Male","","","",""
"32","1984","indirect migration background","Female","","","",""
"34","1984","no migration background","Male","","","",""
"34","1984","no migration background","Female","","","",""
"34","1984","direct migration background","Male","1","","",""
"34","1984","direct migration background","Female","3","","",""
"34","1984","indirect migration background","Male","","","",""
"34","1984","indirect migration background","Female","","","",""
"35","1984","no migration background","Male","","","",""
"35","1984","no migration background","Female","","","",""
"35","1984","direct migration background","Male","","","",""
"35","1984","direct migration background","Female","","","",""
"35","1984","indirect migration background","Male","","","",""
"35","1984","indirect migration background","Female","","","",""
"36","1984","no migration background","Male","","","",""
"36","1984","no migration background","Female","","","",""
"36","1984","direct migration background","Male","","","",""
"36","1984","direct migration background","Female","1","","",""
"36","1984","indirect migration background","Male","","","",""
"36","1984","indirect migration background","Female","","","",""
"37","1984","no migration background","Male","","","",""
"37","1984","no migration background","Female","","","",""
"37","1984","direct migration background","Male","","","",""
"37","1984","direct migration background","Female","","","",""
"37","1984","indirect migration background","Male","","","",""
"37","1984","indirect migration background","Female","","","",""
"38","1984","no migration background","Male","","","",""
"38","1984","no migration background","Female","","","",""
"38","1984","direct migration background","Male","","","",""
"38","1984","direct migration background","Female","2","","",""
"38","1984","indirect migration background","Male","","","",""
"38","1984","indirect migration background","Female","","","",""
"39","1984","no migration background","Male","","","",""
"39","1984","no migration background","Female","","","",""
"39","1984","direct migration background","Male","1","","",""
"39","1984","direct migration background","Female","","","",""
"39","1984","indirect migration background","Male","","","",""
"39","1984","indirect migration background","Female","","","",""
"40","1984","no migration background","Male","","","",""
"40","1984","no migration background","Female","","","",""
"40","1984","direct migration background","Male","","","",""
"40","1984","direct migration background","Female","1","","",""
"40","1984","indirect migration background","Male","","","",""
"40","1984","indirect migration background","Female","","","",""
"41","1984","no migration background","Male","","","",""
"41","1984","no migration background","Female","","","",""
"41","1984","direct migration background","Male","1","","",""
"41","1984","direct migration background","Female","","","",""
"41","1984","indirect migration background","Male","","","",""
"41","1984","indirect migration background","Female","","","",""
"42","1984","no migration background","Male","","","",""
"42","1984","no migration background","Female","","","",""
"42","1984","direct migration background","Male","1","","",""
"42","1984","direct migration background","Female","","","",""
"42","1984","indirect migration background","Male","","","",""
"42","1984","indirect migration background","Female","","","",""
"43","1984","no migration background","Male","","","",""
"43","1984","no migration background","Female","","","",""
"43","1984","direct migration background","Male","1","","",""
"43","1984","direct migration background","Female","1","","",""
"43","1984","indirect migration background","Male","","","",""
"43","1984","indirect migration background","Female","","","",""
"44","1984","no migration background","Male","","","",""
"44","1984","no migration background","Female","","","",""
"44","1984","direct migration background","Male","","","",""
"44","1984","direct migration background","Female","","","",""
"44","1984","indirect migration background","Male","","","",""
"44","1984","indirect migration background","Female","","","",""
"45","1984","no migration background","Male","","","",""
"45","1984","no migration background","Female","","","",""
"45","1984","direct migration background","Male","","","",""
"45","1984","direct migration background","Female","","","",""
"45","1984","indirect migration background","Male","","","",""
"45","1984","indirect migration background","Female","","","",""
"46","1984","no migration background","Male","","","",""
"46","1984","no migration background","Female","","","",""
"46","1984","direct migration background","Male","","","",""
"46","1984","direct migration background","Female","","","",""
"46","1984","indirect migration background","Male","","","",""
"46","1984","indirect migration background","Female","","","",""
"47","1984","no migration background","Male","","","",""
"47","1984","no migration background","Female","","","",""
"47","1984","direct migration background","Male","","","",""
"47","1984","direct migration background","Female","","","",""
"47","1984","indirect migration background","Male","","","",""
"47","1984","indirect migration background","Female","","","",""
"48","1984","no migration background","Male","","","",""
"48","1984","no migration background","Female","","","",""
"48","1984","direct migration background","Male","","","",""
"48","1984","direct migration background","Female","","","",""
"48","1984","indirect migration background","Male","","","",""
"48","1984","indirect migration background","Female","","","",""
"49","1984","no migration background","Male","","","",""
"49","1984","no migration background","Female","","","",""
"49","1984","direct migration background","Male","","","",""
"49","1984","direct migration background","Female","","","",""
"49","1984","indirect migration background","Male","","","",""
"49","1984","indirect migration background","Female","","","",""
"50","1984","no migration background","Male","","","",""
"50","1984","no migration background","Female","","","",""
"50","1984","direct migration background","Male","","","",""
"50","1984","direct migration background","Female","","","",""
"50","1984","indirect migration background","Male","","","",""
"50","1984","indirect migration background","Female","","","",""
"51","1984","no migration background","Male","","","",""
"51","1984","no migration background","Female","","","",""
"51","1984","direct migration background","Male","","","",""
"51","1984","direct migration background","Female","","","",""
"51","1984","indirect migration background","Male","","","",""
"51","1984","indirect migration background","Female","","","",""
"52","1984","no migration background","Male","","","",""
"52","1984","no migration background","Female","","","",""
"52","1984","direct migration background","Male","","","",""
"52","1984","direct migration background","Female","","","",""
"52","1984","indirect migration background","Male","","","",""
"52","1984","indirect migration background","Female","","","",""
"53","1984","no migration background","Male","","","",""
"53","1984","no migration background","Female","","","",""
"53","1984","direct migration background","Male","","","",""
"53","1984","direct migration background","Female","","","",""
"53","1984","indirect migration background","Male","","","",""
"53","1984","indirect migration background","Female","","","",""
"54","1984","no migration background","Male","","","",""
"54","1984","no migration background","Female","","","",""
"54","1984","direct migration background","Male","","","",""
"54","1984","direct migration background","Female","","","",""
"54","1984","indirect migration background","Male","","","",""
"54","1984","indirect migration background","Female","","","",""
"55","1984","no migration background","Male","","","",""
"55","1984","no migration background","Female","","","",""
"55","1984","direct migration background","Male","","","",""
"55","1984","direct migration background","Female","","","",""
"55","1984","indirect migration background","Male","","","",""
"55","1984","indirect migration background","Female","","","",""
"56","1984","no migration background","Male","","","",""
"56","1984","no migration background","Female","","","",""
"56","1984","direct migration background","Male","","","",""
"56","1984","direct migration background","Female","","","",""
"56","1984","indirect migration background","Male","","","",""
"56","1984","indirect migration background","Female","","","",""
"59","1984","no migration background","Male","","","",""
"59","1984","no migration background","Female","","","",""
"59","1984","direct migration background","Male","","","",""
"59","1984","direct migration background","Female","","","",""
"59","1984","indirect migration background","Male","","","",""
"59","1984","indirect migration background","Female","","","",""
"60","1984","no migration background","Male","","","",""
"60","1984","no migration background","Female","","","",""
"60","1984","direct migration background","Male","","","",""
"60","1984","direct migration background","Female","","","",""
"60","1984","indirect migration background","Male","","","",""
"60","1984","indirect migration background","Female","","","",""
"61","1984","no migration background","Male","","","",""
"61","1984","no migration background","Female","","","",""
"61","1984","direct migration background","Male","","","",""
"61","1984","direct migration background","Female","","","",""
"61","1984","indirect migration background","Male","","","",""
"61","1984","indirect migration background","Female","","","",""
"64","1984","no migration background","Male","","","",""
"64","1984","no migration background","Female","","","",""
"64","1984","direct migration background","Male","","","",""
"64","1984","direct migration background","Female","","","",""
"64","1984","indirect migration background","Male","","","",""
"64","1984","indirect migration background","Female","","","",""
"65","1984","no migration background","Male","","","",""
"65","1984","no migration background","Female","","","",""
"65","1984","direct migration background","Male","","","",""
"65","1984","direct migration background","Female","","","",""
"65","1984","indirect migration background","Male","","","",""
"65","1984","indirect migration background","Female","","","",""
"66","1984","no migration background","Male","","","",""
"66","1984","no migration background","Female","","","",""
"66","1984","direct migration background","Male","","","",""
"66","1984","direct migration background","Female","","","",""
"66","1984","indirect migration background","Male","","","",""
"66","1984","indirect migration background","Female","","","",""
"67","1984","no migration background","Male","","","",""
"67","1984","no migration background","Female","","","",""
"67","1984","direct migration background","Male","","","",""
"67","1984","direct migration background","Female","","","",""
"67","1984","indirect migration background","Male","","","",""
"67","1984","indirect migration background","Female","","","",""
"68","1984","no migration background","Male","","","",""
"68","1984","no migration background","Female","","","",""
"68","1984","direct migration background","Male","","","",""
"68","1984","direct migration background","Female","","","",""
"68","1984","indirect migration background","Male","","","",""
"68","1984","indirect migration background","Female","","","",""
"71","1984","no migration background","Male","","","",""
"71","1984","no migration background","Female","","","",""
"71","1984","direct migration background","Male","","","",""
"71","1984","direct migration background","Female","","","",""
"71","1984","indirect migration background","Male","","","",""
"71","1984","indirect migration background","Female","","","",""
"72","1984","no migration background","Male","","","",""
"72","1984","no migration background","Female","","","",""
"72","1984","direct migration background","Male","","","",""
"72","1984","direct migration background","Female","","","",""
"72","1984","indirect migration background","Male","","","",""
"72","1984","indirect migration background","Female","","","",""
"73","1984","no migration background","Male","","","",""
"73","1984","no migration background","Female","","","",""
"73","1984","direct migration background","Male","","","",""
"73","1984","direct migration background","Female","","","",""
"73","1984","indirect migration background","Male","","","",""
"73","1984","indirect migration background","Female","","","",""
"74","1984","no migration background","Male","","","",""
"74","1984","no migration background","Female","","","",""
"74","1984","direct migration background","Male","","","",""
"74","1984","direct migration background","Female","","","",""
"74","1984","indirect migration background","Male","","","",""
"74","1984","indirect migration background","Female","","","",""
"75","1984","no migration background","Male","","","",""
"75","1984","no migration background","Female","","","",""
"75","1984","direct migration background","Male","","","",""
"75","1984","direct migration background","Female","","","",""
"75","1984","indirect migration background","Male","","","",""
"75","1984","indirect migration background","Female","","","",""
"76","1984","no migration background","Male","","","",""
"76","1984","no migration background","Female","","","",""
"76","1984","direct migration background","Male","","","",""
"76","1984","direct migration background","Female","","","",""
"76","1984","indirect migration background","Male","","","",""
"76","1984","indirect migration background","Female","","","",""
"77","1984","no migration background","Male","","","",""
"77","1984","no migration background","Female","","","",""
"77","1984","direct migration background","Male","","","",""
