"pgnation","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","no migration background","3602","0.999892288057539","0.999553518798009","1.00023105731707"
"1","1984","Not Employed","direct migration background","127","0.410485064285189","0.379995994297978","0.4409741342724"
"1","1984","Not Employed","indirect migration background","13","","",""
"1","1984","Employed","no migration background","5074","0.999265708781541","0.998520894230054","1.00001052333303"
"1","1984","Employed","direct migration background","202","0.302533029577069","0.284220093185393","0.320845965968745"
"1","1984","Employed","indirect migration background","20","","",""
"2","1984","Not Employed","no migration background","","","",""
"2","1984","Not Employed","direct migration background","355","0.230426835217936","0.204326891175294","0.256526779260578"
"2","1984","Not Employed","indirect migration background","7","","",""
"2","1984","Employed","no migration background","","","",""
"2","1984","Employed","direct migration background","654","0.230869466510355","0.214070094713789","0.247668838306921"
"2","1984","Employed","indirect migration background","4","","",""
"3","1984","Not Employed","no migration background","","","",""
"3","1984","Not Employed","direct migration background","110","0.0604489399159646","0.0456781871474497","0.0752196926844795"
"3","1984","Not Employed","indirect migration background","5","","",""
"3","1984","Employed","no migration background","","","",""
"3","1984","Employed","direct migration background","434","0.139227816839826","0.125426615732248","0.153029017947404"
"3","1984","Employed","indirect migration background","4","","",""
"4","1984","Not Employed","no migration background","","","",""
"4","1984","Not Employed","direct migration background","102","0.0321023875669783","0.0211771354667539","0.0430276396672027"
"4","1984","Not Employed","indirect migration background","11","","",""
"4","1984","Employed","no migration background","","","",""
"4","1984","Employed","direct migration background","332","0.0575449970581441","0.048260810385695","0.0668291837305932"
"4","1984","Employed","indirect migration background","11","","",""
"5","1984","Not Employed","no migration background","3","","",""
"5","1984","Not Employed","direct migration background","148","0.0761894342767439","0.0597462119848164","0.0926326565686714"
"5","1984","Not Employed","indirect migration background","9","","",""
"5","1984","Employed","no migration background","4","","",""
"5","1984","Employed","direct migration background","438","0.120415464956588","0.107440992997852","0.133389936915324"
"5","1984","Employed","indirect migration background","16","","",""
"6","1984","Not Employed","no migration background","","","",""
"6","1984","Not Employed","direct migration background","108","0.0241678501195755","0.0146496537240972","0.0336860465150539"
"6","1984","Not Employed","indirect migration background","8","","",""
"6","1984","Employed","no migration background","","","",""
"6","1984","Employed","direct migration background","280","0.0316669495800918","0.0246858270818356","0.038648072078348"
"6","1984","Employed","indirect migration background","11","","",""
"10","1984","Not Employed","no migration background","","","",""
"10","1984","Not Employed","direct migration background","5","","",""
"10","1984","Not Employed","indirect migration background","1","","",""
"10","1984","Employed","no migration background","2","","",""
"10","1984","Employed","direct migration background","23","","",""
"10","1984","Employed","indirect migration background","1","","",""
"11","1984","Not Employed","no migration background","","","",""
"11","1984","Not Employed","direct migration background","2","","",""
"11","1984","Not Employed","indirect migration background","","","",""
"11","1984","Employed","no migration background","","","",""
"11","1984","Employed","direct migration background","9","","",""
"11","1984","Employed","indirect migration background","2","","",""
"12","1984","Not Employed","no migration background","","","",""
"12","1984","Not Employed","direct migration background","3","","",""
"12","1984","Not Employed","indirect migration background","2","","",""
"12","1984","Employed","no migration background","","","",""
"12","1984","Employed","direct migration background","5","","",""
"12","1984","Employed","indirect migration background","","","",""
"13","1984","Not Employed","no migration background","","","",""
"13","1984","Not Employed","direct migration background","","","",""
"13","1984","Not Employed","indirect migration background","","","",""
"13","1984","Employed","no migration background","","","",""
"13","1984","Employed","direct migration background","","","",""
"13","1984","Employed","indirect migration background","","","",""
"14","1984","Not Employed","no migration background","","","",""
"14","1984","Not Employed","direct migration background","","","",""
"14","1984","Not Employed","indirect migration background","","","",""
"14","1984","Employed","no migration background","","","",""
"14","1984","Employed","direct migration background","5","","",""
"14","1984","Employed","indirect migration background","","","",""
"15","1984","Not Employed","no migration background","","","",""
"15","1984","Not Employed","direct migration background","","","",""
"15","1984","Not Employed","indirect migration background","","","",""
"15","1984","Employed","no migration background","","","",""
"15","1984","Employed","direct migration background","","","",""
"15","1984","Employed","indirect migration background","","","",""
"16","1984","Not Employed","no migration background","","","",""
"16","1984","Not Employed","direct migration background","","","",""
"16","1984","Not Employed","indirect migration background","","","",""
"16","1984","Employed","no migration background","","","",""
"16","1984","Employed","direct migration background","","","",""
"16","1984","Employed","indirect migration background","","","",""
"17","1984","Not Employed","no migration background","","","",""
"17","1984","Not Employed","direct migration background","","","",""
