"pgnation","year","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","Male","4274","0.924318942567028","0.91762606034647","0.931011824787586"
"1","1984","Female","4764","0.944194529362466","0.938495465860268","0.949893592864664"
"2","1984","Male","540","0.0256736686345418","0.0216714128072712","0.0296759244618124"
"2","1984","Female","480","0.0187848550124641","0.0154141525848174","0.0221555574401109"
"3","1984","Male","282","0.0119170398382895","0.00917110921453492","0.014662970462044"
"3","1984","Female","271","0.00992901427368273","0.0074673965906992","0.0123906319566663"
"4","1984","Male","240","0.00565578414957197","0.00375810210175781","0.00755346619738613"
"4","1984","Female","216","0.00409730259538359","0.00251134400944458","0.00568326118132259"
"5","1984","Male","362","0.0137604326286688","0.0108125111233632","0.0167083541339744"
"5","1984","Female","256","0.00743022656556769","0.00529808557397201","0.00956236755716337"
"6","1984","Male","237","0.00370445095201909","0.00216712952775741","0.00524177237628078"
"6","1984","Female","170","0.00220107528577375","0.00103755667800545","0.00336459389354206"
"10","1984","Male","16","","",""
"10","1984","Female","16","","",""
"11","1984","Male","8","","",""
"11","1984","Female","5","","",""
"12","1984","Male","5","","",""
"12","1984","Female","5","","",""
"13","1984","Male","","","",""
"13","1984","Female","","","",""
"14","1984","Male","3","","",""
"14","1984","Female","2","","",""
"15","1984","Male","","","",""
"15","1984","Female","","","",""
"16","1984","Male","","","",""
"16","1984","Female","","","",""
"17","1984","Male","","","",""
"17","1984","Female","1","","",""
"18","1984","Male","7","","",""
"18","1984","Female","9","","",""
"19","1984","Male","2","","",""
"19","1984","Female","6","","",""
"20","1984","Male","1","","",""
"20","1984","Female","1","","",""
"21","1984","Male","","","",""
"21","1984","Female","1","","",""
"22","1984","Male","6","","",""
"22","1984","Female","3","","",""
"23","1984","Male","2","","",""
"23","1984","Female","3","","",""
"24","1984","Male","1","","",""
"24","1984","Female","1","","",""
"25","1984","Male","1","","",""
"25","1984","Female","1","","",""
"26","1984","Male","","","",""
"26","1984","Female","2","","",""
"27","1984","Male","","","",""
"27","1984","Female","","","",""
"28","1984","Male","2","","",""
"28","1984","Female","2","","",""
"29","1984","Male","","","",""
"29","1984","Female","1","","",""
"30","1984","Male","","","",""
"30","1984","Female","","","",""
"31","1984","Male","","","",""
"31","1984","Female","3","","",""
"32","1984","Male","","","",""
"32","1984","Female","","","",""
"34","1984","Male","1","","",""
"34","1984","Female","3","","",""
"35","1984","Male","","","",""
"35","1984","Female","","","",""
"36","1984","Male","","","",""
