"pgnation","year","n","percent","lower_confidence","upper_confidence"
"1","1984","9038","0.934854281586236","0.930480752617126","0.939227810555346"
"2","1984","1020","0.0220221544580958","0.0194213271383572","0.0246229817778345"
"3","1984","553","0.0108632584572642","0.00902619003892118","0.0127003268756073"
"4","1984","456","0.00482968871412424","0.0036010466390791","0.00605833078916938"
"5","1984","618","0.0104050163774353","0.00860669529977654","0.012203337455094"
"6","1984","407","0.002907565180538","0.00195334291027942","0.00386178745079657"
"10","1984","32","0.00323421355576128","0.00222798180782578","0.00424044530369677"
"11","1984","13","","",""
"12","1984","10","","",""
"13","1984","","","",""
"14","1984","5","","",""
"15","1984","","","",""
"16","1984","","","",""
"17","1984","1","","",""
"18","1984","16","","",""
"19","1984","8","","",""
"20","1984","2","","",""
"21","1984","1","","",""
"22","1984","9","","",""
"23","1984","5","","",""
"24","1984","2","","",""
"25","1984","2","","",""
"26","1984","2","","",""
"27","1984","","","",""
"28","1984","4","","",""
"29","1984","1","","",""
"30","1984","","","",""
"31","1984","3","","",""
"32","1984","","","",""
"34","1984","4","","",""
"35","1984","","","",""
"36","1984","1","","",""
"37","1984","","","",""
"38","1984","2","","",""
"39","1984","1","","",""
"40","1984","1","","",""
"41","1984","1","","",""
"42","1984","1","","",""
"43","1984","2","","",""
"44","1984","","","",""
"45","1984","","","",""
"46","1984","","","",""
"47","1984","","","",""
"48","1984","","","",""
"49","1984","","","",""
"50","1984","","","",""
"51","1984","","","",""
"52","1984","","","",""
"53","1984","","","",""
"54","1984","","","",""
"55","1984","","","",""
"56","1984","","","",""
"59","1984","","","",""
"60","1984","","","",""
"61","1984","","","",""
"64","1984","","","",""
"65","1984","","","",""
"66","1984","","","",""
"67","1984","","","",""
"68","1984","","","",""
"71","1984","","","",""
"72","1984","","","",""
"73","1984","","","",""
"74","1984","","","",""
"75","1984","","","",""
"76","1984","","","",""
"77","1984","","","",""
"78","1984","","","",""
"79","1984","","","",""
"80","1984","","","",""
"81","1984","","","",""
"82","1984","","","",""
"83","1984","","","",""
