"pgnation","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"1","1985","in school","Urban Area","128","0.970272259358296","0.943183608450727","0.997360910265866"
"1","1985","in school","Rural Area","33","0.982610757874626","0.939910752939348","1.0253107628099"
"1","1985","inadequately","Urban Area","59","0.328358806611862","0.294568733225667","0.362148879998058"
"1","1985","inadequately","Rural Area","31","0.706481906443476","0.620199119780477","0.792764693106475"
"1","1985","general elemantary","Urban Area","1577","0.920032821596623","0.909087168817861","0.930978474375386"
"1","1985","general elemantary","Rural Area","616","0.964641180088645","0.951151128118456","0.978131232058834"
"1","1985","middle vocational","Urban Area","3387","0.954064773708033","0.947643513610819","0.960486033805247"
"1","1985","middle vocational","Rural Area","1023","0.979193193963844","0.970815054995463","0.987571332932225"
"1","1985","vocational + Abi","Urban Area","149","0.868522720793338","0.825409741478493","0.911635700108184"
"1","1985","vocational + Abi","Rural Area","33","0.946833970400213","0.880539732462478","1.01312820833795"
"1","1985","higher vocational","Urban Area","474","0.978470273147215","0.965645236417005","0.991295309877426"
"1","1985","higher vocational","Rural Area","126","0.989705394720061","0.972286882629226","1.0071239068109"
"1","1985","higher education","Urban Area","563","0.943411340196085","0.92552447117865","0.961298209213519"
"1","1985","higher education","Rural Area","113","0.994747950786928","0.981650822539115","1.00784507903474"
"2","1985","in school","Urban Area","11","","",""
"2","1985","in school","Rural Area","2","","",""
"2","1985","inadequately","Urban Area","240","0.27969968721855","0.247403672790717","0.311995701646382"
"2","1985","inadequately","Rural Area","21","","",""
"2","1985","general elemantary","Urban Area","268","0.0296511085875308","0.022806185930959","0.0364960312441026"
"2","1985","general elemantary","Rural Area","27","","",""
"2","1985","middle vocational","Urban Area","188","0.0118765833226278","0.00855374082130308","0.0151994258239525"
"2","1985","middle vocational","Rural Area","17","","",""
"2","1985","vocational + Abi","Urban Area","40","0.0642541194179607","0.0329701725559849","0.0955380662799365"
"2","1985","vocational + Abi","Rural Area","4","","",""
"2","1985","higher vocational","Urban Area","1","","",""
"2","1985","higher vocational","Rural Area","","","",""
"2","1985","higher education","Urban Area","13","","",""
"2","1985","higher education","Rural Area","","","",""
"3","1985","in school","Urban Area","4","","",""
"3","1985","in school","Rural Area","","","",""
"3","1985","inadequately","Urban Area","91","0.110641340640307","0.08807072931481","0.133211951965803"
"3","1985","inadequately","Rural Area","22","","",""
"3","1985","general elemantary","Urban Area","118","0.0134818508274818","0.00882801113839701","0.0181356905165666"
"3","1985","general elemantary","Rural Area","18","","",""
"3","1985","middle vocational","Urban Area","162","0.00921145257727039","0.00628114673939179","0.012141758415149"
"3","1985","middle vocational","Rural Area","28","","",""
"3","1985","vocational + Abi","Urban Area","22","","",""
"3","1985","vocational + Abi","Rural Area","1","","",""
"3","1985","higher vocational","Urban Area","4","","",""
"3","1985","higher vocational","Rural Area","","","",""
"3","1985","higher education","Urban Area","11","","",""
"3","1985","higher education","Rural Area","2","","",""
"4","1985","in school","Urban Area","5","","",""
"4","1985","in school","Rural Area","","","",""
"4","1985","inadequately","Urban Area","113","0.0743627135287962","0.0554852268211535","0.0932402002364389"
"4","1985","inadequately","Rural Area","13","","",""
"4","1985","general elemantary","Urban Area","126","0.00764720590311231","0.00413185598728155","0.0111625558189431"
"4","1985","general elemantary","Rural Area","18","","",""
