"pgnation","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","Full Time","Male","2719","0.910202998814907","0.901375259394523","0.919030738235291"
"1","1984","Full Time","Female","1119","0.920500031268455","0.907443339676017","0.933556722860893"
"1","1984","Part Time","Male","462","0.921876310701862","0.901229477834461","0.942523143569262"
"1","1984","Part Time","Female","996","0.945451221094728","0.932816249194145","0.958086192995311"
"1","1984","Not Working","Male","1093","0.957676889493409","0.946820261045262","0.968533517941557"
"1","1984","Not Working","Female","2649","0.95278176598214","0.945590647290934","0.959972884673345"
"2","1984","Full Time","Male","386","0.0295457430436186","0.024317154701019","0.0347743313862182"
"2","1984","Full Time","Female","127","0.022785258680706","0.0155831486874523","0.0299873686739596"
"2","1984","Part Time","Male","70","0.0328878477702885","0.0191669701869088","0.0466087253536682"
"2","1984","Part Time","Female","75","0.0152282807024453","0.00841501350563766","0.0220415478992529"
"2","1984","Not Working","Male","84","0.0138840588568981","0.00757421089361813","0.020193906820178"
"2","1984","Not Working","Female","278","0.0184049740294946","0.0138479780308838","0.0229619700281053"
"3","1984","Full Time","Male","228","0.0159445926660213","0.0120767753995924","0.0198124099324502"
"3","1984","Full Time","Female","137","0.0232347797542136","0.0159636459463127","0.0305059135621145"
"3","1984","Part Time","Male","27","","",""
"3","1984","Part Time","Female","46","0.00931980339234856","0.00397376200677182","0.0146658447779253"
"3","1984","Not Working","Male","27","","",""
"3","1984","Not Working","Female","88","0.0050759392139664","0.00266659948815338","0.00748527893977942"
"4","1984","Full Time","Male","180","0.00703399637097364","0.00445341405321456","0.00961457868873273"
"4","1984","Full Time","Female","96","0.00818237734959273","0.00383433840270171","0.0125304162964838"
"4","1984","Part Time","Male","28","","",""
"4","1984","Part Time","Female","39","0.00373940280743231","0.000343542614097956","0.00713526300076666"
"4","1984","Not Working","Male","32","0.00235702864057347","-0.000257941207946446","0.00497199848909338"
"4","1984","Not Working","Female","81","0.00266199538088215","0.000915088717824961","0.00440890204393935"
"5","1984","Full Time","Male","297","0.0189254189536998","0.0147179277154176","0.0231329101919819"
"5","1984","Full Time","Female","91","0.0107292570631108","0.00575669547076209","0.0157018186554594"
"5","1984","Part Time","Male","33","0.00978117150932981","0.00220958707591959","0.01735275594274"
