"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","direct migration background","Westdeutschland, alte Bundeslaender","7.33","8","3401","5","6","9","10","7.25","7.41","8","8"
"1984","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","indirect migration background","Westdeutschland, alte Bundeslaender","7.63","8","128","5","6","9","10","7.32","7.94","8","9"
"1984","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","no migration background","Westdeutschland, alte Bundeslaender","7.43","8","8649","5","6","9","10","7.39","7.47","8","8"
"1985","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","direct migration background","Westdeutschland, alte Bundeslaender","7.12","7","2934","5","6","9","10","7.04","7.2","7","8"
"1985","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","indirect migration background","Westdeutschland, alte Bundeslaender","7.56","8","143","5","7","9","10","7.24","7.88","8","8"
"1985","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","no migration background","Westdeutschland, alte Bundeslaender","7.24","8","7970","5","6","9","10","7.2","7.28","8","8"
"1986","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","direct migration background","Westdeutschland, alte Bundeslaender","7.19","8","2847","5","6","9","10","7.11","7.27","7","8"
"1986","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","indirect migration background","Westdeutschland, alte Bundeslaender","7.33","8","156","5","6","9","9","7.05","7.61","8","8"
"1986","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","no migration background","Westdeutschland, alte Bundeslaender","7.31","8","7605","5","6","9","10","7.27","7.35","8","8"
"1987","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1987","direct migration background","Westdeutschland, alte Bundeslaender","7.07","7","2837","5","6","8","10","7","7.14","7","8"
"1987","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1987","indirect migration background","Westdeutschland, alte Bundeslaender","7.24","8","176","5","6","9","10","6.96","7.52","8","8"
"1987","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1987","no migration background","Westdeutschland, alte Bundeslaender","7.1","7","7466","5","6","8","9","7.06","7.14","7","8"
"1988","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1988","direct migration background","Westdeutschland, alte Bundeslaender","7.05","7","2679","5","6","8","9","6.98","7.12","7","8"
"1988","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1988","indirect migration background","Westdeutschland, alte Bundeslaender","7.22","8","223","4","6","9","10","6.98","7.46","8","8"
"1988","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1988","no migration background","Westdeutschland, alte Bundeslaender","7","7","7077","4","6","8","9","6.95","7.05","7","8"
"1989","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","direct migration background","Westdeutschland, alte Bundeslaender","6.99","7","2602","5","6","8","10","6.92","7.06","7","7"
"1989","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","indirect migration background","Westdeutschland, alte Bundeslaender","7.48","8","260","5","7","9","9","7.27","7.69","8","8"
"1989","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","no migration background","Westdeutschland, alte Bundeslaender","7.06","8","6816","5","6","8","9","7.01","7.11","7","8"
"1990","direct migration background","Ostdeutschland, neue Bundeslaender","6.82","7","142","5","5","8","10","6.5","7.14","6","7"
"1990","direct migration background","Westdeutschland, alte Bundeslaender","7.09","7","2540","5","6","8","9","7.02","7.16","7","8"
"1990","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
