"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","direct migration background","7.39","8","121","5","6","9","10","10","7.02","7.76","1","10","7","8"
"1984","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1984","college entrance qualification","no migration background","7.62","8","1159","5","7","9","10","10","7.51","7.73","0","10","8","8"
"1984","lower secondary degree","direct migration background","7.42","8","604","5","6","9","10","10","7.25","7.59","0","10","8","8"
"1984","lower secondary degree","indirect migration background","7.76","8","70","5","7","9","10","10","7.35","8.17","4","10","8","8"
"1984","lower secondary degree","no migration background","7.32","8","5431","5","6","9","10","10","7.26","7.38","0","10","8","8"
"1984","no degree/no degree yet","direct migration background","7.06","7.44","1058","4","5","9","10","10","6.92","7.2","0","10","7","8"
"1984","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1984","no degree/no degree yet","no migration background","7.17","8","226","4","6","9","10","10","6.86","7.48","0","10","7","8"
"1984","Other degree","direct migration background","7.25","8","1402","5","6","9","10","10","7.13","7.37","0","10","8","8"
"1984","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1984","Other degree","no migration background","6.53","7","37","2","5","8","10","10","5.62","7.44","0","10","6","8"
"1984","secondary school degree","direct migration background","7.61","8","145","5","6","9","10","10","7.3","7.92","0","10","8","8"
"1984","secondary school degree","indirect migration background","","","","","","","","","","","","","",""
"1984","secondary school degree","no migration background","7.71","8","1777","5","7","9","10","10","7.62","7.8","0","10","8","8"
"1985","college entrance qualification","direct migration background","7.06","7","112","4","6","8","10","10","6.68","7.44","0","10","7","8"
"1985","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1985","college entrance qualification","no migration background","7.41","8","1110","5","7","9","10","10","7.3","7.52","0","10","8","8"
"1985","lower secondary degree","direct migration background","7.17","8","566","5","6","9","10","10","6.99","7.35","0","10","8","8"
"1985","lower secondary degree","indirect migration background","7.74","8","77","5","7","9","10","10","7.32","8.16","0","10","8","8"
"1985","lower secondary degree","no migration background","7.15","8","4830","5","6","9","10","10","7.09","7.21","0","10","7","8"
"1985","no degree/no degree yet","direct migration background","7.04","7","853","4","5","9","10","10","6.89","7.19","0","10","7","8"
"1985","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","no migration background","7.31","8","225","5","6","9","10","10","7.05","7.57","0","10","7","8"
"1985","Other degree","direct migration background","6.99","7","1180","4","6","8","10","10","6.87","7.11","0","10","7","8"
"1985","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1985","Other degree","no migration background","6.86","7","42","4","5","9","10","10","6.1","7.62","0","10","5","8"
"1985","secondary school degree","direct migration background","7.41","8","142","5","6","9","10","10","7.07","7.75","0","10","7","8"
"1985","secondary school degree","indirect migration background","7.46","8","31","4","6","9","10","10","6.83","8.09","4","10","8","9"
"1985","secondary school degree","no migration background","7.41","8","1706","5","7","9","10","10","7.32","7.5","0","10","8","8"
"1986","college entrance qualification","direct migration background","7.19","8","113","5","6","8","9","10","6.81","7.57","2","10","7","8"
"1986","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1986","college entrance qualification","no migration background","7.42","8","1128","5","7","8","9","10","7.32","7.52","0","10","8","8"
"1986","lower secondary degree","direct migration background","7.35","8","586","5","6","9","10","10","7.19","7.51","0","10","8","8"
"1986","lower secondary degree","indirect migration background","7.33","8","83","5","6","8","9","10","6.91","7.75","3","10","8","8"
"1986","lower secondary degree","no migration background","7.26","8","4503","5","6","9","10","10","7.2","7.32","0","10","8","8"
"1986","no degree/no degree yet","direct migration background","6.96","7","795","4","5","8","10","10","6.81","7.11","0","10","7","8"
"1986","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","no migration background","7.23","8","218","5","6","8","10","10","6.98","7.48","0","10","7","8"
"1986","Other degree","direct migration background","6.99","7","1123","5","5","9","10","10","6.87","7.11","0","10","7","8"
"1986","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1986","Other degree","no migration background","6.98","7","41","5","5","8","9","10","6.35","7.61","2","10","6","8"
"1986","secondary school degree","direct migration background","7.44","7.6","150","5","7","9","10","10","7.1","7.78","0","10","7","8"
"1986","secondary school degree","indirect migration background","7.26","7.52","31","5","5","9","10","10","6.67","7.85","4","10","7","9"
"1986","secondary school degree","no migration background","7.43","8","1654","5","7","9","10","10","7.35","7.51","0","10","8","8"
"1987","college entrance qualification","direct migration background","7.24","7","114","5","7","8","9","10","6.92","7.56","1","10","7","8"
"1987","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1987","college entrance qualification","no migration background","7.16","8","1097","4","6","8","9","10","7.05","7.27","0","10","8","8"
"1987","lower secondary degree","direct migration background","7.15","7","614","5","6","8","10","10","6.99","7.31","0","10","8","8"
"1987","lower secondary degree","indirect migration background","7.2","8","91","5","6","8","10","10","6.77","7.63","0","10","8","8"
"1987","lower secondary degree","no migration background","7.06","7","4402","5","6","8","10","10","7","7.12","0","10","7","8"
"1987","no degree/no degree yet","direct migration background","6.89","7","775","4","5","8","10","10","6.74","7.04","0","10","7","8"
"1987","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","no migration background","6.82","7","210","4","5","8","9","10","6.54","7.1","0","10","7","8"
"1987","Other degree","direct migration background","6.96","7","1098","5","6","8","10","10","6.84","7.08","0","10","7","8"
"1987","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1987","Other degree","no migration background","6.6","7","47","4","5","8","9","10","5.96","7.24","0","10","5","8"
"1987","secondary school degree","direct migration background","7.26","7","154","5","6","9","10","10","6.94","7.58","0","10","7","8"
"1987","secondary school degree","indirect migration background","6.64","7","34","4","5","8","9","10","6.03","7.25","2","10","7","8"
