"plh0107","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","no migration background","772","0.319572492805638","0.301107860017001","0.338037125594275"
"Very important","1990","16-34 y.","direct migration background","45","0.361634118583871","0.277739838642709","0.445528398525034"
"Very important","1990","16-34 y.","indirect migration background","11","","",""
"Very important","1990","35-65 y.","no migration background","577","0.183759538542609","0.170053081528088","0.197465995557131"
"Very important","1990","35-65 y.","direct migration background","59","0.234913451637013","0.181389422807746","0.288437480466279"
"Very important","1990","35-65 y.","indirect migration background","1","","",""
"Very important","1990","66 and older","no migration background","68","0.0726003184441591","0.0551974078233551","0.090003229064963"
"Very important","1990","66 and older","direct migration background","4","","",""
"Very important","1990","66 and older","indirect migration background","","","",""
"Important","1990","16-34 y.","no migration background","1316","0.538142809187995","0.518401876192807","0.557883742183182"
"Important","1990","16-34 y.","direct migration background","60","0.46355328524023","0.376481801501172","0.550624768979287"
"Important","1990","16-34 y.","indirect migration background","14","","",""
"Important","1990","35-65 y.","no migration background","1653","0.539161858355011","0.521520785557666","0.556802931152356"
"Important","1990","35-65 y.","direct migration background","112","0.454139720103997","0.391279621129356","0.516999819078638"
"Important","1990","35-65 y.","indirect migration background","8","","",""
"Important","1990","66 and older","no migration background","206","0.219912415989961","0.192133473196658","0.247691358783264"
"Important","1990","66 and older","direct migration background","12","","",""
"Important","1990","66 and older","indirect migration background","1","","",""
"Less important","1990","16-34 y.","no migration background","314","0.123282607185211","0.110264562283006","0.136300652087416"
"Less important","1990","16-34 y.","direct migration background","17","","",""
"Less important","1990","16-34 y.","indirect migration background","7","","",""
"Less important","1990","35-65 y.","no migration background","554","0.177626217909753","0.164099907006164","0.191152528813341"
"Less important","1990","35-65 y.","direct migration background","34","0.144042121438611","0.0997108159206173","0.188373426956604"
"Less important","1990","35-65 y.","indirect migration background","5","","",""
"Less important","1990","66 and older","no migration background","151","0.178371951430388","0.152696383080847","0.204047519779929"
"Less important","1990","66 and older","direct migration background","8","","",""
"Less important","1990","66 and older","indirect migration background","1","","",""
"Quite unimportant","1990","16-34 y.","no migration background","48","0.0190020908211561","0.0135957952643314","0.0244083863779808"
"Quite unimportant","1990","16-34 y.","direct migration background","4","","",""
"Quite unimportant","1990","16-34 y.","indirect migration background","","","",""
"Quite unimportant","1990","35-65 y.","no migration background","283","0.0994523851926268","0.0888610150737388","0.110043755311515"
"Quite unimportant","1990","35-65 y.","direct migration background","36","0.16690470682038","0.119826360186524","0.213983053454236"
"Quite unimportant","1990","35-65 y.","indirect migration background","3","","",""
"Quite unimportant","1990","66 and older","no migration background","429","0.529115314135492","0.495637923136743","0.56259270513424"
"Quite unimportant","1990","66 and older","direct migration background","28","","",""
"Quite unimportant","1990","66 and older","indirect migration background","3","","",""
"Very important","1991","16-34 y.","no migration background","","","",""
"Very important","1991","16-34 y.","direct migration background","","","",""
"Very important","1991","16-34 y.","indirect migration background","","","",""
"Very important","1991","35-65 y.","no migration background","","","",""
"Very important","1991","35-65 y.","direct migration background","","","",""
"Very important","1991","35-65 y.","indirect migration background","","","",""
"Very important","1991","66 and older","no migration background","","","",""
"Very important","1991","66 and older","direct migration background","","","",""
"Very important","1991","66 and older","indirect migration background","","","",""
"Important","1991","16-34 y.","no migration background","","","",""
"Important","1991","16-34 y.","direct migration background","","","",""
"Important","1991","16-34 y.","indirect migration background","","","",""
"Important","1991","35-65 y.","no migration background","","","",""
"Important","1991","35-65 y.","direct migration background","","","",""
"Important","1991","35-65 y.","indirect migration background","","","",""
"Important","1991","66 and older","no migration background","","","",""
"Important","1991","66 and older","direct migration background","","","",""
"Important","1991","66 and older","indirect migration background","","","",""
"Less important","1991","16-34 y.","no migration background","","","",""
"Less important","1991","16-34 y.","direct migration background","","","",""
"Less important","1991","16-34 y.","indirect migration background","","","",""
"Less important","1991","35-65 y.","no migration background","","","",""
"Less important","1991","35-65 y.","direct migration background","","","",""
"Less important","1991","35-65 y.","indirect migration background","","","",""
"Less important","1991","66 and older","no migration background","","","",""
"Less important","1991","66 and older","direct migration background","","","",""
"Less important","1991","66 and older","indirect migration background","","","",""
"Quite unimportant","1991","16-34 y.","no migration background","","","",""
"Quite unimportant","1991","16-34 y.","direct migration background","","","",""
"Quite unimportant","1991","16-34 y.","indirect migration background","","","",""
"Quite unimportant","1991","35-65 y.","no migration background","","","",""
"Quite unimportant","1991","35-65 y.","direct migration background","","","",""
"Quite unimportant","1991","35-65 y.","indirect migration background","","","",""
"Quite unimportant","1991","66 and older","no migration background","","","",""
"Quite unimportant","1991","66 and older","direct migration background","","","",""
"Quite unimportant","1991","66 and older","indirect migration background","","","",""
"Very important","1992","16-34 y.","no migration background","1387","0.351867756776993","0.336587233529738","0.367148280024247"
"Very important","1992","16-34 y.","direct migration background","46","0.309377130632972","0.228985504794895","0.389768756471049"
"Very important","1992","16-34 y.","indirect migration background","17","","",""
"Very important","1992","35-65 y.","no migration background","1333","0.232583469209365","0.220997626082712","0.244169312336017"
"Very important","1992","35-65 y.","direct migration background","83","0.254748638145765","0.207949990973146","0.301547285318384"
"Very important","1992","35-65 y.","indirect migration background","3","","",""
"Very important","1992","66 and older","no migration background","72","0.0596155957213474","0.0460716035021122","0.0731595879405825"
"Very important","1992","66 and older","direct migration background","7","","",""
"Very important","1992","66 and older","indirect migration background","","","",""
"Important","1992","16-34 y.","no migration background","1902","0.514254596940944","0.498262326806722","0.530246867075165"
"Important","1992","16-34 y.","direct migration background","66","0.600247608707745","0.5150540058595","0.685441211555989"
"Important","1992","16-34 y.","indirect migration background","32","0.487472733368273","0.357711694167417","0.61723377256913"
