"plh0107","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Not Employed","West Germany","824","0.327334570624143","0.308318163283465","0.346350977964821","2"
"Important","1990","Employed","West Germany","2558","0.570137702169064","0.555681465426572","0.584593938911556","2"
"Important","1990","Not Employed","East Germany","","","","","2"
"Important","1990","Employed","East Germany","","","","","2"
"Less important","1990","Employed","East Germany","","","","","3"
"Less important","1990","Not Employed","West Germany","462","0.192780810160781","0.176794044112143","0.20876757620942","3"
"Less important","1990","Not Employed","East Germany","","","","","3"
"Less important","1990","Employed","West Germany","629","0.138593338157895","0.128503690879995","0.148682985435794","3"
"Quite unimportant","1990","Not Employed","West Germany","762","0.367843959357023","0.348301602455948","0.387386316258097","4"
"Quite unimportant","1990","Not Employed","East Germany","","","","","4"
"Quite unimportant","1990","Employed","West Germany","72","0.0181365013750155","0.0142397472167287","0.0220332555333024","4"
"Quite unimportant","1990","Employed","East Germany","","","","","4"
"Very important","1990","Not Employed","West Germany","291","0.112040659858053","0.0992581143086447","0.12482320540746","1"
"Very important","1990","Not Employed","East Germany","","","","","1"
"Very important","1990","Employed","West Germany","1246","0.273132458298026","0.260121329138564","0.286143587457489","1"
"Very important","1990","Employed","East Germany","","","","","1"
"Important","1991","Not Employed","West Germany","","","","","2"
"Important","1991","Not Employed","East Germany","","","","","2"
"Important","1991","Employed","West Germany","","","","","2"
"Important","1991","Employed","East Germany","","","","","2"
"Less important","1991","Not Employed","West Germany","","","","","3"
"Less important","1991","Employed","East Germany","","","","","3"
"Less important","1991","Not Employed","East Germany","","","","","3"
"Less important","1991","Employed","West Germany","","","","","3"
"Quite unimportant","1991","Not Employed","West Germany","","","","","4"
"Quite unimportant","1991","Not Employed","East Germany","","","","","4"
"Quite unimportant","1991","Employed","East Germany","","","","","4"
"Quite unimportant","1991","Employed","West Germany","","","","","4"
"Very important","1991","Not Employed","East Germany","","","","","1"
"Very important","1991","Not Employed","West Germany","","","","","1"
"Very important","1991","Employed","West Germany","","","","","1"
"Very important","1991","Employed","East Germany","","","","","1"
"Important","1992","Not Employed","West Germany","772","0.303790235259959","0.285156620067085","0.322423850452833","2"
"Important","1992","Not Employed","East Germany","218","0.211749668768436","0.185190798338645","0.238308539198227","2"
"Important","1992","Employed","West Germany","2551","0.568357416104853","0.553900326233798","0.582814505975908","2"
"Important","1992","Employed","East Germany","1427","0.47956142221167","0.461416326383615","0.497706518039725","2"
"Less important","1992","Employed","East Germany","188","0.0675120561173752","0.0583989865437673","0.0766251256909832","3"
"Less important","1992","Not Employed","West Germany","504","0.2044608517229","0.188119949809803","0.220801753635996","3"
"Less important","1992","Not Employed","East Germany","101","0.106120727066739","0.0860988084689304","0.126142645664547","3"
"Less important","1992","Employed","West Germany","583","0.126394437954187","0.116695377861748","0.136093498046625","3"
"Quite unimportant","1992","Not Employed","West Germany","826","0.397037693719967","0.37721324525053","0.416862142189404","4"
"Quite unimportant","1992","Not Employed","East Germany","407","0.528149858520549","0.495697461676672","0.560602255364426","4"
"Quite unimportant","1992","Employed","West Germany","81","0.0192966209790122","0.0152813261223521","0.0233119158356723","4"
