"plh0107","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Full Time","Urban Area","1412","0.578422591461631","0.558916720130684","0.597928462792578","2"
"Important","1990","Full Time","Rural Area","409","0.571004812208939","0.534928259090823","0.607081365327055","2"
"Important","1990","Part Time","Rural Area","163","0.523427302071101","0.467829194516151","0.57902540962605","2"
"Important","1990","Part Time","Urban Area","574","0.562952379681669","0.532361806556446","0.593542952806892","2"
"Important","1990","Not Working","Urban Area","641","0.332894438062818","0.311124239569825","0.354664636555811","2"
"Important","1990","Not Working","Rural Area","183","0.309354541205844","0.27033254013206","0.348376542279628","2"
"Less important","1990","Part Time","Rural Area","74","0.23057471020489","0.183687293220369","0.277462127189411","3"
"Less important","1990","Full Time","Rural Area","70","0.104375559062727","0.0820890873736236","0.12666203075183","3"
"Less important","1990","Full Time","Urban Area","285","0.114509482545621","0.101931333107256","0.127087631983986","3"
"Less important","1990","Part Time","Urban Area","200","0.195235034001652","0.17078942780449","0.219680640198814","3"
"Less important","1990","Not Working","Urban Area","350","0.188148000945059","0.170092893599647","0.206203108290472","3"
"Less important","1990","Not Working","Rural Area","112","0.207762830309072","0.173512462303607","0.242013198314537","3"
"Quite unimportant","1990","Full Time","Urban Area","18","","","","4"
"Quite unimportant","1990","Full Time","Rural Area","7","","","","4"
"Quite unimportant","1990","Part Time","Urban Area","34","0.0417801479300301","0.0294404373735482","0.0541198584865121","4"
"Quite unimportant","1990","Part Time","Rural Area","13","","","","4"
"Quite unimportant","1990","Not Working","Urban Area","588","0.367414391621297","0.345142886191237","0.389685897051357","4"
"Quite unimportant","1990","Not Working","Rural Area","174","0.369233136457141","0.328491499151118","0.409974773763165","4"
"Very important","1990","Full Time","Urban Area","747","0.299632129502406","0.28153701379891","0.317727245205902","1"
"Very important","1990","Full Time","Rural Area","237","0.314529210273686","0.280683478294173","0.3483749422532","1"
"Very important","1990","Part Time","Urban Area","202","0.200032438386649","0.175362173812406","0.224702702960892","1"
"Very important","1990","Part Time","Rural Area","60","0.198723206169012","0.154302769924738","0.243143642413285","1"
"Very important","1990","Not Working","Urban Area","221","0.111543169370826","0.0970002534274323","0.126086085314219","1"
"Very important","1990","Not Working","Rural Area","70","0.113649492027943","0.0868553282987504","0.140443655757135","1"
"Important","1991","Full Time","Rural Area","","","","","2"
"Important","1991","Full Time","Urban Area","","","","","2"
"Important","1991","Part Time","Urban Area","","","","","2"
"Important","1991","Part Time","Rural Area","","","","","2"
"Important","1991","Not Working","Urban Area","","","","","2"
"Important","1991","Not Working","Rural Area","","","","","2"
"Less important","1991","Full Time","Urban Area","","","","","3"
"Less important","1991","Full Time","Rural Area","","","","","3"
"Less important","1991","Part Time","Urban Area","","","","","3"
"Less important","1991","Part Time","Rural Area","","","","","3"
"Less important","1991","Not Working","Urban Area","","","","","3"
"Less important","1991","Not Working","Rural Area","","","","","3"
"Quite unimportant","1991","Full Time","Rural Area","","","","","4"
"Quite unimportant","1991","Full Time","Urban Area","","","","","4"
"Quite unimportant","1991","Part Time","Urban Area","","","","","4"
"Quite unimportant","1991","Part Time","Rural Area","","","","","4"
"Quite unimportant","1991","Not Working","Urban Area","","","","","4"
"Quite unimportant","1991","Not Working","Rural Area","","","","","4"
"Very important","1991","Full Time","Urban Area","","","","","1"
"Very important","1991","Full Time","Rural Area","","","","","1"
"Very important","1991","Part Time","Urban Area","","","","","1"
"Very important","1991","Part Time","Rural Area","","","","","1"
"Very important","1991","Not Working","Urban Area","","","","","1"
"Very important","1991","Not Working","Rural Area","","","","","1"
"Important","1992","Full Time","Rural Area","1050","0.543713187534896","0.522013837334918","0.565412537734875","2"
"Important","1992","Full Time","Urban Area","1787","0.558119760030647","0.541004083378238","0.575235436683055","2"
"Important","1992","Part Time","Urban Area","677","0.553289130172602","0.525595677928056","0.580982582417148","2"
"Important","1992","Part Time","Rural Area","417","0.497348129811361","0.463414605955242","0.531281653667479","2"
"Important","1992","Not Working","Urban Area","679","0.295617404537713","0.276095994675212","0.315138814400214","2"
"Important","1992","Not Working","Rural Area","303","0.271058658124666","0.245107062468914","0.297010253780418","2"
"Less important","1992","Full Time","Urban Area","286","0.0946055155118125","0.0845186731479532","0.104692357875672","3"
"Less important","1992","Full Time","Rural Area","139","0.0773894281421722","0.0657483589914056","0.0890304972929387","3"
"Less important","1992","Part Time","Urban Area","239","0.190328657417417","0.168461403655654","0.212195911179181","3"
"Less important","1992","Part Time","Rural Area","103","0.140187291554935","0.116624794230079","0.163749788879791","3"
"Less important","1992","Not Working","Urban Area","431","0.201054929384085","0.183909131685759","0.218200727082411","3"
