"plh0107","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","(0) in school","Male","26","","",""
"Very important","1990","(0) in school","Female","16","","",""
"Very important","1990","(1a) inadequately completed","Male","9","","",""
"Very important","1990","(1a) inadequately completed","Female","5","","",""
"Very important","1990","(1b) general elementary school","Male","109","0.305716663018087","0.25660126506631","0.354832060969865"
"Very important","1990","(1b) general elementary school","Female","101","0.0991244129032786","0.0799084143610514","0.118340411445506"
"Very important","1990","(1c) basic vocational qualification","Male","419","0.26510858831285","0.242801254949768","0.287415921675932"
"Very important","1990","(1c) basic vocational qualification","Female","167","0.137609019676448","0.117478852432164","0.157739186920732"
"Very important","1990","(2b) intermediate general qualification","Male","34","0.404974191120709","0.302989575655784","0.506958806585634"
"Very important","1990","(2b) intermediate general qualification","Female","52","0.217205003223622","0.161032749180949","0.273377257266295"
"Very important","1990","(2a) intermediate vocational","Male","152","0.289922064937897","0.250310092680897","0.329534037194898"
"Very important","1990","(2a) intermediate vocational","Female","98","0.132578701464403","0.107127527176757","0.158029875752049"
"Very important","1990","(2c_gen) general maturity certificate","Male","51","0.313480879359174","0.241373223757514","0.385588534960833"
"Very important","1990","(2c_gen) general maturity certificate","Female","24","","",""
"Very important","1990","(2c_voc) vocational maturity certificate","Male","49","0.298728079254541","0.228247115830706","0.369209042678376"
"Very important","1990","(2c_voc) vocational maturity certificate","Female","32","0.253388729072887","0.182836200932576","0.323941257213197"
"Very important","1990","(3a) lower tertiary education","Male","38","0.221604654232771","0.157048287093935","0.286161021371606"
"Very important","1990","(3a) lower tertiary education","Female","6","","",""
"Very important","1990","(3b) higher tertiary education","Male","77","0.28283406405317","0.228812376851663","0.336855751254677"
"Very important","1990","(3b) higher tertiary education","Female","36","0.216603638443154","0.151331773058795","0.281875503827514"
"Important","1990","(0) in school","Male","28","","",""
"Important","1990","(0) in school","Female","28","","",""
"Important","1990","(1a) inadequately completed","Male","14","","",""
"Important","1990","(1a) inadequately completed","Female","12","","",""
"Important","1990","(1b) general elementary school","Male","155","0.436572338030968","0.383698975481162","0.489445700580775"
"Important","1990","(1b) general elementary school","Female","330","0.33324281120989","0.302931516844793","0.363554105574988"
"Important","1990","(1c) basic vocational qualification","Male","763","0.499713877260965","0.474444525203921","0.52498322931801"
"Important","1990","(1c) basic vocational qualification","Female","533","0.451787306678223","0.422706035527405","0.480868577829042"
"Important","1990","(2b) intermediate general qualification","Male","45","0.486758545191322","0.382917095246684","0.590599995135961"
"Important","1990","(2b) intermediate general qualification","Female","96","0.449498956450717","0.381733817139031","0.517264095762403"
"Important","1990","(2a) intermediate vocational","Male","277","0.537952234030581","0.494426298157503","0.58147816990366"
"Important","1990","(2a) intermediate vocational","Female","385","0.53506306574036","0.497629998507287","0.572496132973433"
"Important","1990","(2c_gen) general maturity certificate","Male","86","0.556966434214465","0.479754869088722","0.634177999340208"
"Important","1990","(2c_gen) general maturity certificate","Female","51","0.559832391011679","0.457275490324793","0.662389291698566"
"Important","1990","(2c_voc) vocational maturity certificate","Male","88","0.526419278441759","0.449532177853267","0.603306379030251"
"Important","1990","(2c_voc) vocational maturity certificate","Female","87","0.58226992607515","0.502271449935974","0.662268402214326"
"Important","1990","(3a) lower tertiary education","Male","95","0.603382265491425","0.527344059064107","0.679420471918743"
"Important","1990","(3a) lower tertiary education","Female","41","0.686068782032747","0.570549806733887","0.801587757331607"
"Important","1990","(3b) higher tertiary education","Male","147","0.564156338148172","0.504678172846195","0.623634503450149"
"Important","1990","(3b) higher tertiary education","Female","76","0.490053247653439","0.410842077938132","0.569264417368746"
"Less important","1990","(0) in school","Male","5","","",""
"Less important","1990","(0) in school","Female","4","","",""
"Less important","1990","(1a) inadequately completed","Male","4","","",""
"Less important","1990","(1a) inadequately completed","Female","4","","",""
