"plh0107","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","(0) in school","38","0.373822627803611","0.278996161068454","0.468649094538768"
"Very important","1990","no migration background","(1a) inadequately completed","14","","",""
"Very important","1990","no migration background","(1b) general elementary school","189","0.146786991513911","0.126465403280992","0.167108579746831"
"Very important","1990","no migration background","(1c) basic vocational qualification","544","0.208504217654732","0.192460773393568","0.224547661915897"
"Very important","1990","no migration background","(2b) intermediate general qualification","80","0.270421069761817","0.217731679546711","0.323110459976923"
"Very important","1990","no migration background","(2a) intermediate vocational","228","0.193583140736153","0.170423023447211","0.216743258025095"
"Very important","1990","no migration background","(2c_gen) general maturity certificate","68","0.294479458410611","0.235314712754285","0.353644204066936"
"Very important","1990","no migration background","(2c_voc) vocational maturity certificate","78","0.290615416454238","0.237993668277954","0.343237164630522"
"Very important","1990","no migration background","(3a) lower tertiary education","41","0.188573734670555","0.134630431304045","0.242517038037066"
"Very important","1990","no migration background","(3b) higher tertiary education","103","0.255369880343194","0.212146886168004","0.298592874518383"
"Very important","1990","direct migration background","(0) in school","1","","",""
"Very important","1990","direct migration background","(1a) inadequately completed","","","",""
"Very important","1990","direct migration background","(1b) general elementary school","18","","",""
"Very important","1990","direct migration background","(1c) basic vocational qualification","40","0.250091242330855","0.180787622957948","0.319394861703762"
"Very important","1990","direct migration background","(2b) intermediate general qualification","6","","",""
"Very important","1990","direct migration background","(2a) intermediate vocational","20","","",""
"Very important","1990","direct migration background","(2c_gen) general maturity certificate","6","","",""
"Very important","1990","direct migration background","(2c_voc) vocational maturity certificate","3","","",""
"Very important","1990","direct migration background","(3a) lower tertiary education","3","","",""
"Very important","1990","direct migration background","(3b) higher tertiary education","9","","",""
"Very important","1990","indirect migration background","(0) in school","3","","",""
"Very important","1990","indirect migration background","(1a) inadequately completed","","","",""
"Very important","1990","indirect migration background","(1b) general elementary school","3","","",""
"Very important","1990","indirect migration background","(1c) basic vocational qualification","2","","",""
"Very important","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"Very important","1990","indirect migration background","(2a) intermediate vocational","2","","",""
"Very important","1990","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Very important","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Very important","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Very important","1990","indirect migration background","(3b) higher tertiary education","1","","",""
"Important","1990","no migration background","(0) in school","51","0.508838035705211","0.410855147124434","0.606820924285987"
"Important","1990","no migration background","(1a) inadequately completed","23","","",""
"Important","1990","no migration background","(1b) general elementary school","447","0.360086130221145","0.332521695740675","0.387650564701615"
"Important","1990","no migration background","(1c) basic vocational qualification","1217","0.480185396381304","0.46045460079465","0.499916191967957"
"Important","1990","no migration background","(2b) intermediate general qualification","132","0.463168862378268","0.404018788122039","0.522318936634498"
"Important","1990","no migration background","(2a) intermediate vocational","635","0.54646932864416","0.517287438618111","0.575651218670208"
"Important","1990","no migration background","(2c_gen) general maturity certificate","127","0.571758342602064","0.507529310391252","0.635987374812877"
"Important","1990","no migration background","(2c_voc) vocational maturity certificate","163","0.553399733847051","0.495783610179476","0.611015857514626"
"Important","1990","no migration background","(3a) lower tertiary education","125","0.627181963531058","0.560498577543504","0.693865349518612"
"Important","1990","no migration background","(3b) higher tertiary education","212","0.545943416393605","0.496593261802047","0.595293570985163"
"Important","1990","direct migration background","(0) in school","3","","",""
"Important","1990","direct migration background","(1a) inadequately completed","2","","",""
"Important","1990","direct migration background","(1b) general elementary school","34","0.343295239895036","0.244650925061921","0.441939554728152"
"Important","1990","direct migration background","(1c) basic vocational qualification","72","0.478126764488295","0.398188171237403","0.558065357739186"
"Important","1990","direct migration background","(2b) intermediate general qualification","9","","",""
"Important","1990","direct migration background","(2a) intermediate vocational","23","","",""
"Important","1990","direct migration background","(2c_gen) general maturity certificate","8","","",""
"Important","1990","direct migration background","(2c_voc) vocational maturity certificate","10","","",""
"Important","1990","direct migration background","(3a) lower tertiary education","10","","",""
"Important","1990","direct migration background","(3b) higher tertiary education","11","","",""
"Important","1990","indirect migration background","(0) in school","2","","",""
"Important","1990","indirect migration background","(1a) inadequately completed","1","","",""
"Important","1990","indirect migration background","(1b) general elementary school","4","","",""
"Important","1990","indirect migration background","(1c) basic vocational qualification","7","","",""
"Important","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"Important","1990","indirect migration background","(2a) intermediate vocational","4","","",""
"Important","1990","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"Important","1990","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"Important","1990","indirect migration background","(3a) lower tertiary education","1","","",""
"Important","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Less important","1990","no migration background","(0) in school","9","","",""
"Less important","1990","no migration background","(1a) inadequately completed","8","","",""
"Less important","1990","no migration background","(1b) general elementary school","240","0.20447447979289","0.18131484309226","0.227634116493521"
"Less important","1990","no migration background","(1c) basic vocational qualification","402","0.163991096646818","0.14936826528646","0.178613928007177"
"Less important","1990","no migration background","(2b) intermediate general qualification","35","0.135561112255334","0.0949540588008612","0.176168165709806"
"Less important","1990","no migration background","(2a) intermediate vocational","169","0.150231006962005","0.129287113575773","0.171174900348236"
"Less important","1990","no migration background","(2c_gen) general maturity certificate","29","","",""
"Less important","1990","no migration background","(2c_voc) vocational maturity certificate","33","0.109306922539745","0.0731448805161371","0.145468964563354"
"Less important","1990","no migration background","(3a) lower tertiary education","26","","",""
"Less important","1990","no migration background","(3b) higher tertiary education","56","0.138383408728817","0.104157203436217","0.172609614021417"
"Less important","1990","direct migration background","(0) in school","","","",""
"Less important","1990","direct migration background","(1a) inadequately completed","","","",""
"Less important","1990","direct migration background","(1b) general elementary school","14","","",""
"Less important","1990","direct migration background","(1c) basic vocational qualification","15","","",""
"Less important","1990","direct migration background","(2b) intermediate general qualification","5","","",""
"Less important","1990","direct migration background","(2a) intermediate vocational","11","","",""
"Less important","1990","direct migration background","(2c_gen) general maturity certificate","2","","",""
"Less important","1990","direct migration background","(2c_voc) vocational maturity certificate","4","","",""
"Less important","1990","direct migration background","(3a) lower tertiary education","2","","",""
"Less important","1990","direct migration background","(3b) higher tertiary education","4","","",""
"Less important","1990","indirect migration background","(0) in school","","","",""
"Less important","1990","indirect migration background","(1a) inadequately completed","","","",""
"Less important","1990","indirect migration background","(1b) general elementary school","4","","",""
"Less important","1990","indirect migration background","(1c) basic vocational qualification","4","","",""
"Less important","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"Less important","1990","indirect migration background","(2a) intermediate vocational","1","","",""
"Less important","1990","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Less important","1990","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Less important","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Less important","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Quite unimportant","1990","no migration background","(0) in school","2","","",""
"Quite unimportant","1990","no migration background","(1a) inadequately completed","7","","",""
"Quite unimportant","1990","no migration background","(1b) general elementary school","289","0.288652398472053","0.262632017593332","0.314672779350774"
"Quite unimportant","1990","no migration background","(1c) basic vocational qualification","300","0.147319289317145","0.13332216203342","0.161316416600871"
"Quite unimportant","1990","no migration background","(2b) intermediate general qualification","26","","",""
"Quite unimportant","1990","no migration background","(2a) intermediate vocational","86","0.109716523657683","0.0913964436904085","0.128036603624957"
"Quite unimportant","1990","no migration background","(2c_gen) general maturity certificate","4","","",""
"Quite unimportant","1990","no migration background","(2c_voc) vocational maturity certificate","12","","",""
