"plh0107","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","Urban Area","1076","0.210339496802724","0.198903782275837","0.221775211329612"
"Very important","1990","no migration background","Rural Area","341","0.210936451828192","0.190235253402252","0.231637650254133"
"Very important","1990","direct migration background","Urban Area","86","0.236970427376892","0.192165291098178","0.281775563655606"
"Very important","1990","direct migration background","Rural Area","22","","",""
"Very important","1990","indirect migration background","Urban Area","8","","",""
"Very important","1990","indirect migration background","Rural Area","4","","",""
"Important","1990","no migration background","Urban Area","2449","0.487394727710723","0.47336934793474","0.501420107486706"
"Important","1990","no migration background","Rural Area","726","0.467468718991691","0.442151702839384","0.492785735143999"
"Important","1990","direct migration background","Urban Area","155","0.438140823249562","0.38586141768558","0.490420228813543"
"Important","1990","direct migration background","Rural Area","29","","",""
"Important","1990","indirect migration background","Urban Area","23","","",""
"Important","1990","indirect migration background","Rural Area","","","",""
"Less important","1990","no migration background","Urban Area","773","0.156243603963112","0.146055524000159","0.166431683926064"
"Less important","1990","no migration background","Rural Area","246","0.169168826759244","0.150145772804401","0.188191880714087"
"Less important","1990","direct migration background","Urban Area","50","0.147492069930682","0.110128910704628","0.184855229156736"
"Less important","1990","direct migration background","Rural Area","9","","",""
"Less important","1990","indirect migration background","Urban Area","12","","",""
"Less important","1990","indirect migration background","Rural Area","1","","",""
"Quite unimportant","1990","no migration background","Urban Area","581","0.146022171523441","0.136113501155126","0.155930841891756"
"Quite unimportant","1990","no migration background","Rural Area","179","0.152426002420873","0.13418780041229","0.170664204429456"
"Quite unimportant","1990","direct migration background","Urban Area","55","0.177396679442864","0.13714555530241","0.217647803583319"
"Quite unimportant","1990","direct migration background","Rural Area","13","","",""
"Quite unimportant","1990","indirect migration background","Urban Area","4","","",""
"Quite unimportant","1990","indirect migration background","Rural Area","2","","",""
"Very important","1991","no migration background","Urban Area","","","",""
"Very important","1991","no migration background","Rural Area","","","",""
"Very important","1991","direct migration background","Urban Area","","","",""
"Very important","1991","direct migration background","Rural Area","","","",""
"Very important","1991","indirect migration background","Urban Area","","","",""
"Very important","1991","indirect migration background","Rural Area","","","",""
"Important","1991","no migration background","Urban Area","","","",""
"Important","1991","no migration background","Rural Area","","","",""
"Important","1991","direct migration background","Urban Area","","","",""
"Important","1991","direct migration background","Rural Area","","","",""
"Important","1991","indirect migration background","Urban Area","","","",""
"Important","1991","indirect migration background","Rural Area","","","",""
