"plh0107","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very important","1990","lower secondary degree","in school","","","",""
"Very important","1990","lower secondary degree","inadequately","","","",""
"Very important","1990","lower secondary degree","general elemantary","206","0.150689824018405","0.130785963164046","0.170593684872764"
"Very important","1990","lower secondary degree","middle vocational","532","0.208880964455663","0.192607334992478","0.225154593918849"
"Very important","1990","lower secondary degree","vocational + Abi","","","",""
"Very important","1990","lower secondary degree","higher vocational","46","0.220459654393409","0.164256743712732","0.276662565074086"
"Very important","1990","lower secondary degree","higher education","2","","",""
"Very important","1990","secondary school degree","in school","","","",""
"Very important","1990","secondary school degree","inadequately","","","",""
"Very important","1990","secondary school degree","general elemantary","86","0.271618781610989","0.220947544990034","0.322290018231944"
"Very important","1990","secondary school degree","middle vocational","216","0.200074553022103","0.175654902609698","0.224494203434509"
"Very important","1990","secondary school degree","vocational + Abi","","","",""
"Very important","1990","secondary school degree","higher vocational","34","0.191838095019216","0.129851346544672","0.253824843493761"
"Very important","1990","secondary school degree","higher education","14","","",""
"Very important","1990","college entrance qualification","in school","","","",""
"Very important","1990","college entrance qualification","inadequately","","","",""
"Very important","1990","college entrance qualification","general elemantary","","","",""
"Very important","1990","college entrance qualification","middle vocational","75","0.303914541941991","0.246670634395766","0.361158449488216"
"Very important","1990","college entrance qualification","vocational + Abi","61","0.336606386103419","0.27095130054073","0.402261471666108"
"Very important","1990","college entrance qualification","higher vocational","20","","",""
"Very important","1990","college entrance qualification","higher education","137","0.226064482622628","0.191786233326235","0.260342731919022"
"Very important","1990","Other degree","in school","","","",""
"Very important","1990","Other degree","inadequately","3","","",""
"Very important","1990","Other degree","general elemantary","1","","",""
"Very important","1990","Other degree","middle vocational","8","","",""
"Very important","1990","Other degree","vocational + Abi","","","",""
"Very important","1990","Other degree","higher vocational","","","",""
"Very important","1990","Other degree","higher education","2","","",""
"Very important","1990","no degree/no degree yet","in school","42","0.376807732783217","0.285836145305946","0.467779320260487"
"Very important","1990","no degree/no degree yet","inadequately","13","","",""
"Very important","1990","no degree/no degree yet","general elemantary","","","",""
"Very important","1990","no degree/no degree yet","middle vocational","1","","",""
"Very important","1990","no degree/no degree yet","vocational + Abi","","","",""
"Very important","1990","no degree/no degree yet","higher vocational","","","",""
"Very important","1990","no degree/no degree yet","higher education","","","",""
"Important","1990","lower secondary degree","in school","","","",""
"Important","1990","lower secondary degree","inadequately","","","",""
"Important","1990","lower secondary degree","general elemantary","472","0.356610321069998","0.329960383291364","0.383260258848633"
"Important","1990","lower secondary degree","middle vocational","1182","0.478639874117109","0.458641834784086","0.498637913450132"
"Important","1990","lower secondary degree","vocational + Abi","","","",""
"Important","1990","lower secondary degree","higher vocational","108","0.495284221669355","0.427500464859359","0.563067978479352"
"Important","1990","lower secondary degree","higher education","4","","",""
"Important","1990","secondary school degree","in school","","","",""
"Important","1990","secondary school degree","inadequately","","","",""
"Important","1990","secondary school degree","general elemantary","141","0.460296441529296","0.4035160105016","0.517076872556992"
"Important","1990","secondary school degree","middle vocational","584","0.543581022002564","0.51317688026959","0.573985163735538"
"Important","1990","secondary school degree","vocational + Abi","","","",""
"Important","1990","secondary school degree","higher vocational","78","0.483319047005858","0.404648816412486","0.561989277599231"
"Important","1990","secondary school degree","higher education","30","0.607669788739108","0.473664264628665","0.741675312849551"
"Important","1990","college entrance qualification","in school","","","",""
"Important","1990","college entrance qualification","inadequately","","","",""
"Important","1990","college entrance qualification","general elemantary","","","",""
"Important","1990","college entrance qualification","middle vocational","136","0.557550254485402","0.495734918427814","0.619365590542989"
