"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1984","college entrance qualification","West Germany","10.11","6","803","1","2","15","26","39","9.43","10.79","0","57","5","7"
"1984","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1984","lower secondary degree","West Germany","11.85","9","3271","1","4","18","27","42","11.51","12.19","0","59","8","9"
"1984","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1984","no degree/no degree yet","West Germany","7.99","7","668","1","3","12","16","22","7.54","8.44","0","30","8","10"
"1984","Other degree","East Germany","","","","","","","","","","","","","",""
"1984","Other degree","West Germany","8.09","7","1081","1","3","12","15","23","7.73","8.45","0","40","7","9"
"1984","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1984","secondary school degree","West Germany","9.1","6","1219","1","2","13","24","38","8.6","9.6","0","51","5","6"
"1985","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1985","college entrance qualification","West Germany","9.75","6","748","1","2","15","25","39","9.06","10.44","0","58","5","7"
"1985","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1985","lower secondary degree","West Germany","11.59","9","2883","1","4","17","26","40","11.23","11.95","0","67","7","8"
"1985","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","West Germany","8.8","8","519","1","4","13","16","23","8.29","9.31","0","38","9","11"
"1985","Other degree","East Germany","","","","","","","","","","","","","",""
"1985","Other degree","West Germany","8.19","6","895","1","3","12","16","25","7.78","8.6","0","41","8","9"
"1985","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1985","secondary school degree","West Germany","8.95","6","1150","1","2","13","23","36","8.45","9.45","0","49","5","6"
"1986","college entrance qualification","East Germany","","","","","","","","","","","","","",""
"1986","college entrance qualification","West Germany","2.82","1","165","0","0","2","9","22","2.09","3.55","0","31","1","1"
"1986","lower secondary degree","East Germany","","","","","","","","","","","","","",""
"1986","lower secondary degree","West Germany","3.83","1","419","0","1","4","13","32","3.23","4.43","0","44","1","1"
"1986","no degree/no degree yet","East Germany","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","West Germany","2.8","1","38","0","1","1","12","23","0.96","4.64","0","23","1","1"
"1986","Other degree","East Germany","","","","","","","","","","","","","",""
"1986","Other degree","West Germany","2.1","1","57","0","0","1","3","25","0.67","3.53","0","25","1","1"
"1986","secondary school degree","East Germany","","","","","","","","","","","","","",""
"1986","secondary school degree","West Germany","3.16","1","216","0","1","3","10","28","2.49","3.83","0","28","1","1"
"1987","college entrance qualification","East Germany","","","","","","","","","","","","","",""
