"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","direct migration background","8.97","5.02","62","1","2","13","27","33","6.67","11.27","0","33","2","6"
"1984","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1984","college entrance qualification","no migration background","10.23","7","736","1","2","15","26","39","9.51","10.95","0","57","5","7"
"1984","lower secondary degree","direct migration background","8.03","5","390","1","2","11","21","37","7.38","8.68","0","44","3","4"
"1984","lower secondary degree","indirect migration background","5.58","2.72","42","0","0","11","17","21","3.72","7.44","0","21","2","4"
"1984","lower secondary degree","no migration background","12.12","10","2839","1","4","18","27","42","11.75","12.49","0","59","9","10"
"1984","no degree/no degree yet","direct migration background","8.76","8","635","1","4","13","16","23","8.3","9.22","0","30","8","10"
"1984","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1984","no degree/no degree yet","no migration background","5.21","3","30","1","1","7","13","20","3.34","7.08","0","20","2","5"
"1984","Other degree","direct migration background","8.09","7","1056","1","4","12","15","23","7.73","8.45","0","34","7","9"
"1984","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1984","Other degree","no migration background","","","","","","","","","","","","","",""
"1984","secondary school degree","direct migration background","9.45","4","82","1","2","14","24","38","7.58","11.32","0","38","2","5"
"1984","secondary school degree","indirect migration background","","","","","","","","","","","","","",""
"1984","secondary school degree","no migration background","9.1","6","1123","1","2","13","24","38","8.58","9.62","0","51","5","6"
"1985","college entrance qualification","direct migration background","7.44","4.05","59","0","1","12","21","33","5.37","9.51","0","33","2","6"
"1985","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1985","college entrance qualification","no migration background","9.94","6","686","1","2","15","25","39","9.22","10.66","0","58","6","7"
"1985","lower secondary degree","direct migration background","8.28","5","359","1","2","12","20","35","7.59","8.97","0","36","3","4"
"1985","lower secondary degree","indirect migration background","6.05","3","40","1","1","7","20","20","4.27","7.83","0","20","2","4"
