"transab_cat","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Saxony","in school","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","higher education","","","","","5"
"Complete transfer dependency","1984","Brandenburg","higher vocational","","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","higher education","1","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","in school","","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","general elemantary","4","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","middle vocational","2","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","inadequately","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","5"
"Complete transfer dependency","1984","Brandenburg","higher education","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","in school","","","","","5"
"Complete transfer dependency","1984","Hesse","general elemantary","4","","","","5"
"Complete transfer dependency","1984","Hesse","middle vocational","9","","","","5"
"Complete transfer dependency","1984","Hesse","vocational + Abi","1","","","","5"
"Complete transfer dependency","1984","Hesse","higher vocational","","","","","5"
"Complete transfer dependency","1984","Hesse","higher education","2","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","in school","","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","inadequately","2","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","higher vocational","","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","in school","","","","","5"
"Complete transfer dependency","1984","Lower Saxony","vocational + Abi","1","","","","5"
"Complete transfer dependency","1984","Lower Saxony","higher vocational","","","","","5"
"Complete transfer dependency","1984","Lower Saxony","higher education","","","","","5"
"Complete transfer dependency","1984","Bremen","in school","","","","","5"
"Complete transfer dependency","1984","Bremen","inadequately","","","","","5"
"Complete transfer dependency","1984","Bremen","general elemantary","1","","","","5"
"Complete transfer dependency","1984","Bremen","middle vocational","2","","","","5"
"Complete transfer dependency","1984","Bremen","vocational + Abi","1","","","","5"
"Complete transfer dependency","1984","Bremen","higher vocational","","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","in school","","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","inadequately","6","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","general elemantary","16","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","middle vocational","25","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","inadequately","5","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","general elemantary","4","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","middle vocational","2","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","vocational + Abi","","","","","5"
