"transab_cat","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Schleswig-Holstein","Male","70","0.45164868643708","0.379148583465123","0.524148789409038"
"No transfer dependency","1984","Schleswig-Holstein","Female","78","0.500319219830894","0.428846701911905","0.571791737749883"
"No transfer dependency","1984","Hamburg","Male","74","0.596404891821713","0.516548876615318","0.676260907028108"
"No transfer dependency","1984","Hamburg","Female","83","0.631939400674333","0.556259043457295","0.707619757891372"
"No transfer dependency","1984","Lower Saxony","Male","203","0.391849746493641","0.352359097456007","0.431340395531274"
"No transfer dependency","1984","Lower Saxony","Female","218","0.415133562606162","0.376221880233178","0.454045244979145"
"No transfer dependency","1984","Bremen","Male","29","","",""
"No transfer dependency","1984","Bremen","Female","33","0.596785599651138","0.480193044715981","0.713378154586295"
"No transfer dependency","1984","North Rhine-Westphalia","Male","584","0.439290788077225","0.414631065389692","0.463950510764758"
"No transfer dependency","1984","North Rhine-Westphalia","Female","630","0.476377725535959","0.451905533081729","0.500849917990189"
"No transfer dependency","1984","Hesse","Male","255","0.514956987788228","0.474933928351451","0.554980047225005"
"No transfer dependency","1984","Hesse","Female","251","0.541766022126273","0.50173108649835","0.581800957754196"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","Male","179","0.494413422881077","0.445417381871538","0.543409463890616"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","Female","209","0.570827489773684","0.523264426903023","0.618390552644345"
"No transfer dependency","1984","Baden-Württemberg","Male","396","0.436833533777459","0.407347952266092","0.466319115288827"
"No transfer dependency","1984","Baden-Württemberg","Female","456","0.531326516714056","0.50175624149592","0.560896791932192"
"No transfer dependency","1984","Bavaria","Male","348","0.422779475295516","0.391513886066418","0.454045064524614"
"No transfer dependency","1984","Bavaria","Female","434","0.491285787691521","0.46120463771687","0.521366937666172"
"No transfer dependency","1984","Berlin","Male","97","0.542734178875044","0.472813000010551","0.612655357739537"
"No transfer dependency","1984","Berlin","Female","102","0.585461883104162","0.518512285463784","0.65241148074454"
"No transfer dependency","1984","Brandenburg","Male","","","",""
"No transfer dependency","1984","Brandenburg","Female","","","",""
"No transfer dependency","1984","Mecklenburg-Western Pomerania","Male","","","",""
"No transfer dependency","1984","Mecklenburg-Western Pomerania","Female","","","",""
"No transfer dependency","1984","Saxony","Male","","","",""
"No transfer dependency","1984","Saxony","Female","","","",""
"No transfer dependency","1984","Saxony-Anhalt","Male","","","",""
"No transfer dependency","1984","Saxony-Anhalt","Female","","","",""
"No transfer dependency","1984","Thuringia","Male","","","",""
"No transfer dependency","1984","Thuringia","Female","","","",""
"Very low transfer dependency","1984","Schleswig-Holstein","Male","95","0.479655595277899","0.406874429853758","0.55243676070204"
"Very low transfer dependency","1984","Schleswig-Holstein","Female","96","0.448826257563336","0.37772904820633","0.519923466920342"
"Very low transfer dependency","1984","Hamburg","Male","63","0.378231137113877","0.299298390735849","0.457163883491904"
"Very low transfer dependency","1984","Hamburg","Female","62","0.309413630798516","0.236875808394222","0.38195145320281"
"Very low transfer dependency","1984","Lower Saxony","Male","317","0.513931016600481","0.473498533899419","0.554363499301543"
"Very low transfer dependency","1984","Lower Saxony","Female","331","0.507317491914025","0.467837120915442","0.546797862912607"
"Very low transfer dependency","1984","Bremen","Male","22","","",""
"Very low transfer dependency","1984","Bremen","Female","21","","",""
"Very low transfer dependency","1984","North Rhine-Westphalia","Male","844","0.491262040797175","0.466422305102276","0.516101776492073"
"Very low transfer dependency","1984","North Rhine-Westphalia","Female","811","0.435607490027524","0.411311959340039","0.459903020715009"
"Very low transfer dependency","1984","Hesse","Male","299","0.434289895757521","0.394596202404688","0.473983589110354"
"Very low transfer dependency","1984","Hesse","Female","299","0.410711123964278","0.371181565579495","0.450240682349062"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","Male","207","0.471068383181723","0.422151380605167","0.519985385758279"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","Female","185","0.384820294110652","0.338064933669436","0.431575654551868"
"Very low transfer dependency","1984","Baden-Württemberg","Male","634","0.533207889945696","0.503549787846881","0.562865992044512"
"Very low transfer dependency","1984","Baden-Württemberg","Female","581","0.430320109468567","0.400980745448191","0.459659473488942"
"Very low transfer dependency","1984","Bavaria","Male","562","0.53267292474739","0.501095291941106","0.564250557553674"
"Very low transfer dependency","1984","Bavaria","Female","574","0.460895190290466","0.430901625168809","0.490888755412124"
"Very low transfer dependency","1984","Berlin","Male","91","0.4111543861423","0.342093209828543","0.480215562456058"
"Very low transfer dependency","1984","Berlin","Female","97","0.375970495970724","0.310144738099775","0.441796253841674"
"Very low transfer dependency","1984","Brandenburg","Male","","","",""
"Very low transfer dependency","1984","Brandenburg","Female","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Very low transfer dependency","1984","Saxony","Male","","","",""
"Very low transfer dependency","1984","Saxony","Female","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","Male","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","Female","","","",""
"Very low transfer dependency","1984","Thuringia","Male","","","",""
"Very low transfer dependency","1984","Thuringia","Female","","","",""
"Low transfer dependency","1984","Schleswig-Holstein","Male","9","","",""
"Low transfer dependency","1984","Schleswig-Holstein","Female","8","","",""
"Low transfer dependency","1984","Hamburg","Male","3","","",""
"Low transfer dependency","1984","Hamburg","Female","4","","",""
"Low transfer dependency","1984","Lower Saxony","Male","43","0.0613604700438452","0.041946122519737","0.0807748175679534"
"Low transfer dependency","1984","Lower Saxony","Female","39","0.0494867382276337","0.0323597405040011","0.0666137359512662"
"Low transfer dependency","1984","Bremen","Male","9","","",""
"Low transfer dependency","1984","Bremen","Female","9","","",""
"Low transfer dependency","1984","North Rhine-Westphalia","Male","71","0.0364393851575639","0.0271289852618998","0.0457497850532281"
"Low transfer dependency","1984","North Rhine-Westphalia","Female","80","0.0366715564814462","0.0274619735458098","0.0458811394170826"
"Low transfer dependency","1984","Hesse","Male","25","","",""
"Low transfer dependency","1984","Hesse","Female","25","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","Male","7","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","Female","14","","",""
"Low transfer dependency","1984","Baden-Württemberg","Male","47","0.0250009402887865","0.0157195381731349","0.0342823424044382"
"Low transfer dependency","1984","Baden-Württemberg","Female","38","0.0202885663121969","0.0119341868442312","0.0286429457801626"
"Low transfer dependency","1984","Bavaria","Male","36","0.0288600799938299","0.0182644092070224","0.0394557507806373"
"Low transfer dependency","1984","Bavaria","Female","32","0.0263300017442406","0.0166956668807697","0.0359643366077116"
"Low transfer dependency","1984","Berlin","Male","3","","",""
"Low transfer dependency","1984","Berlin","Female","4","","",""
"Low transfer dependency","1984","Brandenburg","Male","","","",""
"Low transfer dependency","1984","Brandenburg","Female","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Low transfer dependency","1984","Saxony","Male","","","",""
"Low transfer dependency","1984","Saxony","Female","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","Male","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","Female","","","",""
"Low transfer dependency","1984","Thuringia","Male","","","",""
"Low transfer dependency","1984","Thuringia","Female","","","",""
"High transfer dependency","1984","Schleswig-Holstein","Male","1","","",""
"High transfer dependency","1984","Schleswig-Holstein","Female","1","","",""
"High transfer dependency","1984","Hamburg","Male","1","","",""
"High transfer dependency","1984","Hamburg","Female","2","","",""
"High transfer dependency","1984","Lower Saxony","Male","8","","",""
"High transfer dependency","1984","Lower Saxony","Female","6","","",""
"High transfer dependency","1984","Bremen","Male","1","","",""
"High transfer dependency","1984","Bremen","Female","2","","",""
"High transfer dependency","1984","North Rhine-Westphalia","Male","26","","",""
"High transfer dependency","1984","North Rhine-Westphalia","Female","29","","",""
"High transfer dependency","1984","Hesse","Male","9","","",""
"High transfer dependency","1984","Hesse","Female","12","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","Male","2","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","Female","3","","",""
"High transfer dependency","1984","Baden-Württemberg","Male","5","","",""
"High transfer dependency","1984","Baden-Württemberg","Female","9","","",""
"High transfer dependency","1984","Bavaria","Male","6","","",""
"High transfer dependency","1984","Bavaria","Female","7","","",""
"High transfer dependency","1984","Berlin","Male","1","","",""
"High transfer dependency","1984","Berlin","Female","2","","",""
"High transfer dependency","1984","Brandenburg","Male","","","",""
"High transfer dependency","1984","Brandenburg","Female","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","Male","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","Female","","","",""
"High transfer dependency","1984","Saxony","Male","","","",""
"High transfer dependency","1984","Saxony","Female","","","",""
"High transfer dependency","1984","Saxony-Anhalt","Male","","","",""
"High transfer dependency","1984","Saxony-Anhalt","Female","","","",""
"High transfer dependency","1984","Thuringia","Male","","","",""
"High transfer dependency","1984","Thuringia","Female","","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","Male","3","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","Female","2","","",""
"Very high transfer dependency","1984","Hamburg","Male","3","","",""
"Very high transfer dependency","1984","Hamburg","Female","1","","",""
"Very high transfer dependency","1984","Lower Saxony","Male","7","","",""
"Very high transfer dependency","1984","Lower Saxony","Female","9","","",""
"Very high transfer dependency","1984","Bremen","Male","","","",""
"Very high transfer dependency","1984","Bremen","Female","","","",""
"Very high transfer dependency","1984","North Rhine-Westphalia","Male","9","","",""
"Very high transfer dependency","1984","North Rhine-Westphalia","Female","14","","",""
"Very high transfer dependency","1984","Hesse","Male","","","",""
"Very high transfer dependency","1984","Hesse","Female","","","",""
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","Male","","","",""
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","Female","1","","",""
"Very high transfer dependency","1984","Baden-Württemberg","Male","1","","",""
"Very high transfer dependency","1984","Baden-Württemberg","Female","3","","",""
"Very high transfer dependency","1984","Bavaria","Male","1","","",""
"Very high transfer dependency","1984","Bavaria","Female","1","","",""
"Very high transfer dependency","1984","Berlin","Male","1","","",""
"Very high transfer dependency","1984","Berlin","Female","","","",""
