"transab_cat","year","education","migback","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","lower secondary degree","no migration background","2510","0.519131249454964","0.505636664635878","0.532625834274049"
"No transfer dependency","1984","lower secondary degree","direct migration background","187","0.433982635068333","0.39368207528372","0.474283194852946"
"No transfer dependency","1984","lower secondary degree","indirect migration background","20","","",""
"No transfer dependency","1984","secondary school degree","no migration background","740","0.475740443681069","0.451930248628076","0.499550638734061"
"No transfer dependency","1984","secondary school degree","direct migration background","45","0.414753229904914","0.33428374040779","0.495222719402039"
"No transfer dependency","1984","secondary school degree","indirect migration background","7","","",""
"No transfer dependency","1984","college entrance qualification","no migration background","486","0.465708149664551","0.436296922475548","0.495119376853553"
"No transfer dependency","1984","college entrance qualification","direct migration background","27","","",""
"No transfer dependency","1984","college entrance qualification","indirect migration background","5","","",""
"No transfer dependency","1984","Other degree","no migration background","14","","",""
"No transfer dependency","1984","Other degree","direct migration background","359","0.279827776496554","0.256125662830078","0.303529890163029"
"No transfer dependency","1984","Other degree","indirect migration background","3","","",""
"No transfer dependency","1984","no degree/no degree yet","no migration background","36","0.191906663631281","0.139390014741759","0.244423312520803"
"No transfer dependency","1984","no degree/no degree yet","direct migration background","263","0.247839000265044","0.221445817598435","0.274232182931653"
"No transfer dependency","1984","no degree/no degree yet","indirect migration background","2","","",""
"Very low transfer dependency","1984","lower secondary degree","no migration background","2454","0.42496737052709","0.411615820083057","0.438318920971122"
"Very low transfer dependency","1984","lower secondary degree","direct migration background","338","0.505135081826018","0.464480722248491","0.545789441403545"
"Very low transfer dependency","1984","lower secondary degree","indirect migration background","41","0.497283949519888","0.378445430375834","0.616122468663941"
"Very low transfer dependency","1984","secondary school degree","no migration background","888","0.489766158484804","0.465932881770838","0.51359943519877"
"Very low transfer dependency","1984","secondary school degree","direct migration background","86","0.488500659915797","0.406857094707499","0.570144225124096"
"Very low transfer dependency","1984","secondary school degree","indirect migration background","15","","",""
"Very low transfer dependency","1984","college entrance qualification","no migration background","553","0.475204815917721","0.445760444379907","0.504649187455535"
"Very low transfer dependency","1984","college entrance qualification","direct migration background","76","0.639510051917687","0.553243015726305","0.72577708810907"
"Very low transfer dependency","1984","college entrance qualification","indirect migration background","3","","",""
"Very low transfer dependency","1984","Other degree","no migration background","16","","",""
"Very low transfer dependency","1984","Other degree","direct migration background","873","0.599783373205526","0.573915051278828","0.625651695132223"
"Very low transfer dependency","1984","Other degree","indirect migration background","3","","",""
"Very low transfer dependency","1984","no degree/no degree yet","no migration background","151","0.67615806897238","0.613754148714618","0.738561989230141"
"Very low transfer dependency","1984","no degree/no degree yet","direct migration background","631","0.593044838361419","0.563013922342777","0.623075754380061"
"Very low transfer dependency","1984","no degree/no degree yet","indirect migration background","10","","",""
