"transab_cat","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Schleswig-Holstein","lower secondary degree","95","0.525186825034221","0.456828808561546","0.593544841506896"
"No transfer dependency","1984","Schleswig-Holstein","secondary school degree","36","0.444031911478856","0.343051150184232","0.54501267277348"
"No transfer dependency","1984","Schleswig-Holstein","college entrance qualification","14","","",""
"No transfer dependency","1984","Schleswig-Holstein","Other degree","3","","",""
"No transfer dependency","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"No transfer dependency","1984","Hamburg","lower secondary degree","76","0.658264980470727","0.576099722197385","0.740430238744069"
"No transfer dependency","1984","Hamburg","secondary school degree","32","0.619174809713541","0.493113987117302","0.745235632309779"
"No transfer dependency","1984","Hamburg","college entrance qualification","24","","",""
"No transfer dependency","1984","Hamburg","Other degree","17","","",""
"No transfer dependency","1984","Hamburg","no degree/no degree yet","7","","",""
"No transfer dependency","1984","Lower Saxony","lower secondary degree","281","0.454154935991237","0.416538532352701","0.491771339629774"
"No transfer dependency","1984","Lower Saxony","secondary school degree","73","0.367232792442249","0.304105553947174","0.430360030937324"
"No transfer dependency","1984","Lower Saxony","college entrance qualification","32","0.334168797872863","0.249060460371619","0.419277135374108"
"No transfer dependency","1984","Lower Saxony","Other degree","25","","",""
"No transfer dependency","1984","Lower Saxony","no degree/no degree yet","10","","",""
"No transfer dependency","1984","Bremen","lower secondary degree","47","0.669731819381063","0.56184447716212","0.777619161600007"
"No transfer dependency","1984","Bremen","secondary school degree","10","","",""
"No transfer dependency","1984","Bremen","college entrance qualification","2","","",""
"No transfer dependency","1984","Bremen","Other degree","2","","",""
"No transfer dependency","1984","Bremen","no degree/no degree yet","1","","",""
"No transfer dependency","1984","North Rhine-Westphalia","lower secondary degree","697","0.506311234906306","0.481373336736048","0.531249133076564"
"No transfer dependency","1984","North Rhine-Westphalia","secondary school degree","182","0.430109447151907","0.38515834419747","0.475060550106345"
"No transfer dependency","1984","North Rhine-Westphalia","college entrance qualification","135","0.405700561559924","0.354404712393678","0.45699641072617"
"No transfer dependency","1984","North Rhine-Westphalia","Other degree","93","0.315490205550741","0.268329917507934","0.362650493593549"
"No transfer dependency","1984","North Rhine-Westphalia","no degree/no degree yet","97","0.219266783598083","0.178256057008782","0.260277510187383"
"No transfer dependency","1984","Hesse","lower secondary degree","255","0.57084193810949","0.528259454713962","0.613424421505017"
"No transfer dependency","1984","Hesse","secondary school degree","95","0.570779390252997","0.498869798659869","0.642688981846125"
"No transfer dependency","1984","Hesse","college entrance qualification","65","0.470108715280012","0.388305078469371","0.551912352090652"
"No transfer dependency","1984","Hesse","Other degree","59","0.264481327819845","0.203808472802779","0.325154182836911"
"No transfer dependency","1984","Hesse","no degree/no degree yet","30","0.225060656015954","0.154613274974901","0.295508037057008"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","lower secondary degree","274","0.562681188640213","0.520086101898885","0.605276275381542"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","secondary school degree","50","0.500729795599879","0.40599146146211","0.595468129737648"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","college entrance qualification","24","","",""
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","Other degree","17","","",""
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","21","","",""
"No transfer dependency","1984","Baden-Württemberg","lower secondary degree","465","0.521900117310328","0.491230100443481","0.552570134177175"
