"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1984","higher education","West Germany","6","","","","5"
"Complete transfer dependency","1984","higher education","East Germany","","","","","5"
"Complete transfer dependency","1984","general elemantary","West Germany","51","0.0159200684222473","0.01168282183416","0.0201573150103347","5"
"Complete transfer dependency","1984","inadequately","West Germany","21","","","","5"
"Complete transfer dependency","1984","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1984","higher vocational","West Germany","9","","","","5"
"Complete transfer dependency","1984","in school","East Germany","","","","","5"
"Complete transfer dependency","1984","general elemantary","East Germany","","","","","5"
"Complete transfer dependency","1984","in school","West Germany","","","","","5"
"Complete transfer dependency","1984","middle vocational","West Germany","63","0.0121137185216825","0.00922736542092034","0.0150000716224446","5"
"Complete transfer dependency","1984","middle vocational","East Germany","","","","","5"
"Complete transfer dependency","1984","vocational + Abi","West Germany","5","","","","5"
"Complete transfer dependency","1984","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1984","inadequately","West Germany","16","","","","3"
"High transfer dependency","1984","general elemantary","West Germany","46","0.0118255521610888","0.00816603650126861","0.015485067820909","3"
"High transfer dependency","1984","inadequately","East Germany","","","","","3"
"High transfer dependency","1984","higher vocational","East Germany","","","","","3"
"High transfer dependency","1984","in school","East Germany","","","","","3"
"High transfer dependency","1984","higher education","West Germany","4","","","","3"
"High transfer dependency","1984","higher education","East Germany","","","","","3"
"High transfer dependency","1984","general elemantary","East Germany","","","","","3"
"High transfer dependency","1984","in school","West Germany","1","","","","3"
"High transfer dependency","1984","middle vocational","West Germany","50","0.00781702831586804","0.00549336088896328","0.0101406957427728","3"
"High transfer dependency","1984","higher vocational","West Germany","5","","","","3"
"High transfer dependency","1984","middle vocational","East Germany","","","","","3"
"High transfer dependency","1984","vocational + Abi","West Germany","9","","","","3"
"High transfer dependency","1984","vocational + Abi","East Germany","","","","","3"
"Low transfer dependency","1984","in school","West Germany","15","","","","2"
"Low transfer dependency","1984","in school","East Germany","","","","","2"
"Low transfer dependency","1984","inadequately","West Germany","85","0.110733937169957","0.0911071787347135","0.130360695605201","2"
"Low transfer dependency","1984","inadequately","East Germany","","","","","2"
"Low transfer dependency","1984","general elemantary","West Germany","147","0.0323480752745633","0.0263587225405775","0.0383374280085491","2"
"Low transfer dependency","1984","general elemantary","East Germany","","","","","2"
"Low transfer dependency","1984","middle vocational","West Germany","206","0.030139828786313","0.025628731473215","0.034650926099411","2"
"Low transfer dependency","1984","middle vocational","East Germany","","","","","2"
"Low transfer dependency","1984","vocational + Abi","West Germany","17","","","","2"
"Low transfer dependency","1984","vocational + Abi","East Germany","","","","","2"
"Low transfer dependency","1984","higher vocational","West Germany","13","","","","2"
"Low transfer dependency","1984","higher vocational","East Germany","","","","","2"
"Low transfer dependency","1984","higher education","West Germany","18","","","","2"
"Low transfer dependency","1984","higher education","East Germany","","","","","2"
"No transfer dependency","1984","in school","West Germany","15","","","","0"
"No transfer dependency","1984","in school","East Germany","","","","","0"
"No transfer dependency","1984","inadequately","West Germany","262","0.287032355842829","0.258738464232631","0.315326247453027","0"
"No transfer dependency","1984","inadequately","East Germany","","","","","0"
"No transfer dependency","1984","general elemantary","West Germany","1347","0.501552541665555","0.484626165169279","0.518478918161831","0"
"No transfer dependency","1984","general elemantary","East Germany","","","","","0"
"No transfer dependency","1984","middle vocational","West Germany","2333","0.484636049318038","0.471449774608607","0.49782232402747","0"
"No transfer dependency","1984","middle vocational","East Germany","","","","","0"
"No transfer dependency","1984","vocational + Abi","West Germany","131","0.520695683263401","0.464258867538176","0.577132498988626","0"
"No transfer dependency","1984","vocational + Abi","East Germany","","","","","0"
"No transfer dependency","1984","higher vocational","West Germany","273","0.486017515348478","0.446707572617982","0.525327458078974","0"
"No transfer dependency","1984","higher vocational","East Germany","","","","","0"
"No transfer dependency","1984","higher education","West Germany","348","0.489042556942403","0.453385925925663","0.524699187959144","0"
"No transfer dependency","1984","higher education","East Germany","","","","","0"
"Very high transfer dependency","1984","in school","West Germany","2","","","","4"
"Very high transfer dependency","1984","in school","East Germany","","","","","4"
"Very high transfer dependency","1984","inadequately","West Germany","11","","","","4"
"Very high transfer dependency","1984","inadequately","East Germany","","","","","4"
"Very high transfer dependency","1984","general elemantary","West Germany","15","","","","4"
"Very high transfer dependency","1984","general elemantary","East Germany","","","","","4"
"Very high transfer dependency","1984","middle vocational","West Germany","19","","","","4"
"Very high transfer dependency","1984","middle vocational","East Germany","","","","","4"
"Very high transfer dependency","1984","vocational + Abi","West Germany","2","","","","4"
"Very high transfer dependency","1984","vocational + Abi","East Germany","","","","","4"
"Very high transfer dependency","1984","higher vocational","West Germany","5","","","","4"
"Very high transfer dependency","1984","higher vocational","East Germany","","","","","4"
"Very high transfer dependency","1984","higher education","West Germany","2","","","","4"
"Very high transfer dependency","1984","higher education","East Germany","","","","","4"
"Very low transfer dependency","1984","higher education","West Germany","377","0.472120112533461","0.436510403595295","0.507729821471626","1"
"Very low transfer dependency","1984","inadequately","West Germany","587","0.536068893718407","0.504877886650147","0.567259900786668","1"
"Very low transfer dependency","1984","inadequately","East Germany","","","","","1"
"Very low transfer dependency","1984","higher vocational","East Germany","","","","","1"
"Very low transfer dependency","1984","higher education","East Germany","","","","","1"
"Very low transfer dependency","1984","in school","East Germany","","","","","1"
"Very low transfer dependency","1984","general elemantary","West Germany","1746","0.434137443562214","0.417358477834741","0.450916409289686","1"
"Very low transfer dependency","1984","general elemantary","East Germany","","","","","1"
"Very low transfer dependency","1984","in school","West Germany","146","0.809310026551984","0.751760339660624","0.866859713443344","1"
"Very low transfer dependency","1984","higher vocational","West Germany","316","0.462696524158607","0.423480800419139","0.501912247898075","1"
"Very low transfer dependency","1984","middle vocational","West Germany","2847","0.462878107250491","0.449722012569667","0.476034201931314","1"
"Very low transfer dependency","1984","middle vocational","East Germany","","","","","1"
"Very low transfer dependency","1984","vocational + Abi","West Germany","137","0.384388130741106","0.329433623253343","0.439342638228868","1"
"Very low transfer dependency","1984","vocational + Abi","East Germany","","","","","1"
"Complete transfer dependency","1985","higher education","West Germany","","","","","5"
