"transab_cat","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","1-pers.-HH","(0) in school","","","",""
"No transfer dependency","1984","1-pers.-HH","(1a) inadequately completed","49","0.724800691541495","0.626933738766663","0.822667644316327"
"No transfer dependency","1984","1-pers.-HH","(1b) general elementary school","268","0.781600036909429","0.738621415543954","0.824578658274904"
"No transfer dependency","1984","1-pers.-HH","(1c) basic vocational qualification","325","0.820357631081877","0.782877459895368","0.857837802268387"
"No transfer dependency","1984","1-pers.-HH","(2b) intermediate general qualification","31","0.910710773001723","0.814859386126825","1.00656215987662"
"No transfer dependency","1984","1-pers.-HH","(2a) intermediate vocational","177","0.912802449718664","0.873305769310556","0.952299130126771"
"No transfer dependency","1984","1-pers.-HH","(2c_gen) general maturity certificate","31","0.605006475363968","0.46671275128087","0.743300199447066"
"No transfer dependency","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","58","0.790156980425266","0.696747573426208","0.883566387424324"
"No transfer dependency","1984","1-pers.-HH","(3a) lower tertiary education","28","","",""
"No transfer dependency","1984","1-pers.-HH","(3b) higher tertiary education","70","0.822005726997262","0.740689154584099","0.903322299410425"
"No transfer dependency","1984","(Married) couple without C. ","(0) in school","1","","",""
"No transfer dependency","1984","(Married) couple without C. ","(1a) inadequately completed","99","0.694789410340809","0.619313829051733","0.770264991629884"
"No transfer dependency","1984","(Married) couple without C. ","(1b) general elementary school","551","0.877857787975209","0.852684706216973","0.903030869733444"
"No transfer dependency","1984","(Married) couple without C. ","(1c) basic vocational qualification","954","0.886834755109792","0.868122233377773","0.905547276841812"
"No transfer dependency","1984","(Married) couple without C. ","(2b) intermediate general qualification","42","0.930782047684713","0.858216156222157","1.00334793914727"
"No transfer dependency","1984","(Married) couple without C. ","(2a) intermediate vocational","309","0.88251189484702","0.848873598453134","0.916150191240907"
"No transfer dependency","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","31","0.599893482471868","0.464097171040293","0.735689793903443"
"No transfer dependency","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","95","0.774841828702142","0.701619511315032","0.848064146089253"
"No transfer dependency","1984","(Married) couple without C. ","(3a) lower tertiary education","78","0.893737502410526","0.828980987853512","0.958494016967539"
"No transfer dependency","1984","(Married) couple without C. ","(3b) higher tertiary education","101","0.875529947053682","0.815195253571313","0.935864640536052"
"No transfer dependency","1984","Single parent ","(0) in school","3","","",""
"No transfer dependency","1984","Single parent ","(1a) inadequately completed","16","","",""
"No transfer dependency","1984","Single parent ","(1b) general elementary school","53","0.385062642704768","0.310129885019041","0.459995400390494"
"No transfer dependency","1984","Single parent ","(1c) basic vocational qualification","61","0.353632835827304","0.284363905533538","0.422901766121071"
"No transfer dependency","1984","Single parent ","(2b) intermediate general qualification","5","","",""
"No transfer dependency","1984","Single parent ","(2a) intermediate vocational","18","","",""
"No transfer dependency","1984","Single parent ","(2c_gen) general maturity certificate","4","","",""
"No transfer dependency","1984","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"No transfer dependency","1984","Single parent ","(3a) lower tertiary education","2","","",""
"No transfer dependency","1984","Single parent ","(3b) higher tertiary education","5","","",""
