"transab_cat","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Not Employed","Male","657","0.608739462855008","0.581951372790253","0.635527552919764"
"No transfer dependency","1984","Not Employed","Female","1378","0.536915129276939","0.519719029870382","0.554111228683495"
"No transfer dependency","1984","Employed","Male","1578","0.393460021897587","0.379180457437549","0.407739586357625"
"No transfer dependency","1984","Employed","Female","1116","0.455374648377415","0.436835711353403","0.473913585401426"
"Very low transfer dependency","1984","Not Employed","Male","430","0.2884302089498","0.263563281798793","0.313297136100806"
"Very low transfer dependency","1984","Not Employed","Female","1530","0.384447242998246","0.367670878800469","0.401223607196023"
"Very low transfer dependency","1984","Employed","Male","2704","0.56745234287387","0.552970740508838","0.581933945238903"
"Very low transfer dependency","1984","Employed","Female","1527","0.506009316641066","0.487397442213311","0.524621191068821"
"Low transfer dependency","1984","Not Employed","Male","80","0.0411478672115334","0.0302449558152609","0.052050778607806"
"Low transfer dependency","1984","Not Employed","Female","161","0.0345298497179634","0.0282331410586687","0.040826558377258"
"Low transfer dependency","1984","Employed","Male","173","0.0311123217392569","0.0260373004687795","0.0361873430097344"
"Low transfer dependency","1984","Employed","Female","92","0.0271960065040616","0.02114097065673","0.0332510423513931"
"High transfer dependency","1984","Not Employed","Male","29","","",""
"High transfer dependency","1984","Not Employed","Female","43","0.0113999370178454","0.00773886415150319","0.0150610098841877"
"High transfer dependency","1984","Employed","Male","31","0.00607335311546515","0.00380230480366145","0.00834440142726884"
"High transfer dependency","1984","Employed","Female","30","0.00987832379598369","0.00619671710155369","0.0135599304904137"
"Very high transfer dependency","1984","Not Employed","Male","15","","",""
"Very high transfer dependency","1984","Not Employed","Female","24","","",""
"Very high transfer dependency","1984","Employed","Male","10","","",""
"Very high transfer dependency","1984","Employed","Female","7","","",""
"Complete transfer dependency","1984","Not Employed","Male","64","0.0434126019269296","0.0322269002048018","0.0545983036490575"
"Complete transfer dependency","1984","Not Employed","Female","94","0.0266152624307112","0.0210644765823617","0.0321660482790607"
"Complete transfer dependency","1984","Employed","Male","","","",""
"Complete transfer dependency","1984","Employed","Female","","","",""
"No transfer dependency","1985","Not Employed","Male","605","0.621791622345913","0.594388295995215","0.649194948696611"
"No transfer dependency","1985","Not Employed","Female","1206","0.550756659018664","0.532668443445505","0.568844874591822"
"No transfer dependency","1985","Employed","Male","1338","0.39482928592049","0.379741293401551","0.409917278439428"
"No transfer dependency","1985","Employed","Female","969","0.453022404360874","0.433536725833432","0.472508082888316"
"Very low transfer dependency","1985","Not Employed","Male","433","0.281461212039279","0.256048579153046","0.306873844925511"
"Very low transfer dependency","1985","Not Employed","Female","1447","0.378366948940393","0.360731006706039","0.396002891174747"
"Very low transfer dependency","1985","Employed","Male","2555","0.577177342083076","0.561929036311366","0.592425647854786"
"Very low transfer dependency","1985","Employed","Female","1433","0.506093587968804","0.486522783691235","0.525664392246374"
"Low transfer dependency","1985","Not Employed","Male","69","0.0355854990091909","0.0251170179070835","0.0460539801112982"
"Low transfer dependency","1985","Not Employed","Female","108","0.0256037966364114","0.0198600536457597","0.0313475396270631"
"Low transfer dependency","1985","Employed","Male","106","0.0198261015653368","0.0155232332094087","0.024128969921265"
"Low transfer dependency","1985","Employed","Female","73","0.0273717539381653","0.0209847721691266","0.0337587357072041"
"High transfer dependency","1985","Not Employed","Male","34","0.0192055967829706","0.0114499473484488","0.0269612462174925"
"High transfer dependency","1985","Not Employed","Female","45","0.0137111010658951","0.00948233889066897","0.0179398632411212"
"High transfer dependency","1985","Employed","Male","25","","",""
"High transfer dependency","1985","Employed","Female","30","0.0124353896957961","0.0080974512713383","0.0167733281202539"
"Very high transfer dependency","1985","Not Employed","Male","24","","",""
"Very high transfer dependency","1985","Not Employed","Female","37","0.0118902418020427","0.00794863807357774","0.0158318455305077"
"Very high transfer dependency","1985","Employed","Male","8","","",""
"Very high transfer dependency","1985","Employed","Female","2","","",""
"Complete transfer dependency","1985","Not Employed","Male","38","0.0212223675695483","0.0130780591550077","0.0293666759840888"
"Complete transfer dependency","1985","Not Employed","Female","62","0.0196712525365939","0.0146214209015283","0.0247210841716594"
"Complete transfer dependency","1985","Employed","Male","","","",""
"Complete transfer dependency","1985","Employed","Female","","","",""
"No transfer dependency","1986","Not Employed","Male","568","0.619114620230731","0.590925706103476","0.647303534357985"
"No transfer dependency","1986","Not Employed","Female","1101","0.558382518025881","0.539557402648534","0.577207633403228"
"No transfer dependency","1986","Employed","Male","1347","0.405478664961119","0.390011730990688","0.42094559893155"
"No transfer dependency","1986","Employed","Female","1001","0.466836001565924","0.44722058782581","0.486451415306037"
"Very low transfer dependency","1986","Not Employed","Male","436","0.290086237902398","0.263743432367382","0.316429043437414"
"Very low transfer dependency","1986","Not Employed","Female","1346","0.371596155390354","0.353277076439167","0.389915234341542"
"Very low transfer dependency","1986","Employed","Male","2378","0.558303322201581","0.542659831160241","0.573946813242922"
"Very low transfer dependency","1986","Employed","Female","1386","0.494167451473101","0.474510084352671","0.51382481859353"
"Low transfer dependency","1986","Not Employed","Male","54","0.03520859546669","0.0245097545862073","0.0459074363471728"
"Low transfer dependency","1986","Not Employed","Female","95","0.0250588723408363","0.0191334601157495","0.030984284565923"
"Low transfer dependency","1986","Employed","Male","112","0.0268941220792848","0.0217979364453256","0.0319903077132439"
"Low transfer dependency","1986","Employed","Female","68","0.0267224811511146","0.0203817165537629","0.0330632457484664"
"High transfer dependency","1986","Not Employed","Male","24","","",""
